rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pgv,pga,0.01,0.02,0.025,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,2.5,3,4,5,7.5,10
7.6,4,323.23,1350,MEAN,5,0.4858806996,0.0045203491,0.0048883646,0.0053961617,0.0054708185,0.0056429264,0.0059661835,0.0066398398,0.0078833659,0.0089917029,0.0098547121,0.0108908590,0.0102940199,0.0090293793,0.0090955471,0.0087647070,0.0077476870,0.0074732623,0.0073281425,0.0058339405,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.6,4,323.23,1150,MEAN,5,0.4858806996,0.0048961044,0.0051961281,0.0055616088,0.0055799281,0.0057510612,0.0060766322,0.0068183873,0.0084623457,0.0097188610,0.0107563557,0.0120137702,0.0114946174,0.0096104694,0.0090955471,0.0087647070,0.0077476870,0.0074732623,0.0073281425,0.0058339405,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.6,4,323.23,760,MEAN,5,0.5196865219,0.0060177346,0.0063864896,0.0067793040,0.0067623072,0.0069179332,0.0072642882,0.0081139635,0.0101624776,0.0118811706,0.0134859628,0.0154799118,0.0152846284,0.0131008061,0.0126793209,0.0112852604,0.0090378642,0.0078367892,0.0073281425,0.0058339405,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
7.8,4,323.23,1350,MEAN,5,0.5961735699,0.0051200181,0.0055368543,0.0061303794,0.0062338677,0.0064492996,0.0068392370,0.0076343405,0.0090913525,0.0104006778,0.0114331663,0.0126732382,0.0120147116,0.0105703441,0.0106797956,0.0103222507,0.0091519144,0.0088542746,0.0087084237,0.0069536131,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.8,4,323.23,1150,MEAN,5,0.5961735699,0.0055456210,0.0058854458,0.0063183377,0.0063581956,0.0065728868,0.0069658481,0.0078396305,0.0097590507,0.0112417797,0.0124792285,0.0139799232,0.0134159944,0.0112506038,0.0106797956,0.0103222507,0.0091519144,0.0088542746,0.0087084237,0.0069536131,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.8,4,323.23,760,MEAN,5,0.6376531714,0.0068160464,0.0072337204,0.0077017161,0.0077054885,0.0079065045,0.0083272981,0.0093292553,0.0117196978,0.0137429172,0.0156460436,0.0180133275,0.0178395227,0.0153366055,0.0148877857,0.0132907222,0.0106759293,0.0092849791,0.0087084237,0.0069536131,0.0070809128,0.0052427619,0.0033600734,0.0024151266,0.0011847989,0.0007223060
7.2,4,323.23,1350,MEAN,5,0.2576537484,0.0023989819,0.0025943592,0.0028139766,0.0028529910,0.0029428577,0.0031117033,0.0034632205,0.0041118312,0.0046898872,0.0051316365,0.0056632367,0.0053463211,0.0046841413,0.0047108128,0.0045321862,0.0039948646,0.0038402881,0.0037517984,0.0029856298,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.2,4,323.23,1150,MEAN,5,0.2576537484,0.0025983979,0.0027576959,0.0029002535,0.0029098909,0.0029992514,0.0031693086,0.0035563477,0.0044138174,0.0050691579,0.0056011487,0.0062471495,0.0059698656,0.0049855915,0.0047108128,0.0045321862,0.0039948646,0.0038402881,0.0037517984,0.0029856298,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.2,4,323.23,760,MEAN,5,0.2755803647,0.0031936551,0.0033894461,0.0035352541,0.0035264928,0.0036077899,0.0037887386,0.0042320968,0.0053005776,0.0061969741,0.0070225349,0.0080495400,0.0079382527,0.0067962620,0.0065669395,0.0058355518,0.0046601061,0.0040270939,0.0037517984,0.0029856298,0.0030302992,0.0021792512,0.0013472382,0.0009274888,0.0004438533,0.0002525221
7.6,28,323.23,1350,MEAN,5,0.5944063163,0.0058112125,0.0061944752,0.0068488990,0.0069659099,0.0072080813,0.0076637961,0.0085496285,0.0101915093,0.0116150567,0.0127808726,0.0139116109,0.0131492291,0.0116917518,0.0115812217,0.0110976469,0.0095849518,0.0089901688,0.0080536231,0.0061699619,0.0059229468,0.0043722586,0.0027937760,0.0020020726,0.0009792232,0.0005951897
