per	-2	-1	0	0.010	0.020	0.030	0.050	0.075	0.10	0.15	0.20	0.25	0.30	0.40	0.50	0.75	1.0	1.5	2.0	3.0	4.0	5.0	7.5	10.0
c0	-5.270	0.954	-1.715	-1.715	-1.680	-1.552	-1.209	-0.657	-0.314	-0.133	-0.486	-0.890	-1.171	-1.466	-2.569	-4.844	-6.406	-8.692	-9.701	-10.556	-11.212	-11.684	-12.505	-13.087
c1	1.600	0.696	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.656	0.972	1.196	1.513	1.600	1.600	1.600	1.600	1.600	1.600
c2	-0.070	-0.309	-0.530	-0.530	-0.530	-0.530	-0.530	-0.530	-0.530	-0.530	-0.446	-0.362	-0.294	-0.186	-0.304	-0.578	-0.772	-1.046	-0.978	-0.638	-0.316	-0.070	-0.070	-0.070
c3	0.000	-0.019	-0.262	-0.262	-0.262	-0.262	-0.267	-0.302	-0.324	-0.339	-0.398	-0.458	-0.511	-0.592	-0.536	-0.406	-0.314	-0.185	-0.236	-0.491	-0.770	-0.986	-0.656	-0.422
c4	-2.000	-2.016	-2.118	-2.118	-2.123	-2.145	-2.199	-2.277	-2.318	-2.309	-2.220	-2.146	-2.095	-2.066	-2.041	-2.000	-2.000	-2.000	-2.000	-2.000	-2.000	-2.000	-2.000	-2.000
c5	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170	0.170
c6	4.00	4.00	5.60	5.60	5.60	5.60	5.74	7.09	8.05	8.79	7.60	6.58	6.04	5.30	4.73	4.00	4.00	4.00	4.00	4.00	4.00	4.00	4.00	4.00
c7	0.000	0.245	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.280	0.255	0.161	0.094	0.000	0.000	0.000	0.000	0.000
c8	0.000	0.000	-0.120	-0.120	-0.120	-0.120	-0.120	-0.120	-0.099	-0.048	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
c9	0.000	0.358	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.490	0.371	0.154	0.000	0.000	0.000	0.000
c10	-0.820	1.694	1.058	1.058	1.102	1.174	1.272	1.438	1.604	1.928	2.194	2.351	2.460	2.587	2.544	2.133	1.571	0.406	-0.456	-0.820	-0.820	-0.820	-0.820	-0.820
c11	0.300	0.092	0.040	0.040	0.040	0.040	0.040	0.040	0.040	0.040	0.040	0.040	0.040	0.040	0.040	0.077	0.150	0.253	0.300	0.300	0.300	0.300	0.300	0.300
c12	1.000	1.000	0.610	0.610	0.610	0.610	0.610	0.610	0.610	0.610	0.610	0.700	0.750	0.850	0.883	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
k1	400	400	865	865	865	908	1054	1086	1032	878	748	654	587	503	457	410	400	400	400	400	400	400	400	400
k2	0.000	-1.955	-1.186	-1.186	-1.219	-1.273	-1.346	-1.471	-1.624	-1.931	-2.188	-2.381	-2.518	-2.657	-2.669	-2.401	-1.955	-1.025	-0.299	0.000	0.000	0.000	0.000	0.000
k3	2.744	1.929	1.839	1.839	1.840	1.841	1.843	1.845	1.847	1.852	1.856	1.861	1.865	1.874	1.883	1.906	1.929	1.974	2.019	2.110	2.200	2.291	2.517	2.744
s_lny	0.667	0.484	0.478	0.478	0.480	0.489	0.510	0.520	0.531	0.532	0.534	0.534	0.544	0.541	0.550	0.568	0.568	0.564	0.571	0.558	0.576	0.601	0.628	0.667
t_lny	0.485	0.203	0.219	0.219	0.219	0.235	0.258	0.292	0.286	0.280	0.249	0.240	0.215	0.217	0.214	0.227	0.255	0.296	0.296	0.326	0.297	0.359	0.428	0.485
s_c	0.290	0.190	0.166	0.166	0.166	0.165	0.162	0.158	0.170	0.180	0.186	0.191	0.198	0.206	0.208	0.221	0.225	0.222	0.226	0.229	0.237	0.237	0.271	0.290
rho	0.174	0.691	1.000	1.000	0.999	0.989	0.963	0.922	0.898	0.890	0.871	0.852	0.831	0.785	0.735	0.628	0.534	0.411	0.331	0.289	0.261	0.200	0.174	0.174
