id,lon,lat,number,structural,night,taxonomy,NAME_2,NAME_1,NAME_3,NAME_4
a1,83.31382,29.46117,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Tinje
a2,83.31382,29.23617,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Tinje
a3,83.53882,29.08617,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Chharka
a4,80.68882,28.93617,1.0,11340.0,5.0,Wood,Seti,Far-Western,Kailali,Nigali
a5,83.53882,29.01117,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Chharka
a6,81.13882,28.78617,1.0,11340.0,5.0,Wood,Seti,Far-Western,Kailali,Sugarkhal
a7,83.98882,28.48617,1.0,11340.0,5.0,Wood,Gandaki,West,Kaski,Machhapuchchhre
a8,83.23882,29.38617,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Tinje
a9,83.01382,29.08617,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Raha
a10,83.31382,28.71117,1.0,11340.0,5.0,Wood,Dhaualagiri,West,Myagdi,Mudi
a11,86.91382,27.73617,1.0,11340.0,5.0,Wood,Sagarmatha,East,Solukhumbu,Chheskam
a12,83.16382,29.31117,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Saldang
a13,80.61382,28.93617,1.0,11340.0,5.0,Wood,Seti,Far-Western,Kailali,Godawari
a14,83.91382,29.01117,1.0,11340.0,5.0,Wood,Dhaualagiri,West,Mustang,Surkhang
a15,82.03882,30.28617,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Humla,Thehe
a16,83.38882,29.31117,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Tinje
a17,80.68882,28.86117,1.0,11340.0,5.0,Wood,Seti,Far-Western,Kailali,Khairala
a18,83.46382,28.71117,1.0,11340.0,5.0,Wood,Dhaualagiri,West,Myagdi,Mudi
a19,84.13882,28.41117,1.0,11340.0,5.0,Wood,Gandaki,West,Kaski,Namarjung
a20,83.08882,29.16117,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Phoksundo
a21,84.13882,28.78617,1.0,11340.0,5.0,Wood,Gandaki,West,Manang,Nar
a22,85.11382,28.33617,1.0,11340.0,5.0,Wood,Bagmati,Central,Dhading,Sertung
a23,84.06382,29.01117,1.0,11340.0,5.0,Wood,Dhaualagiri,West,Mustang,Surkhang
a24,83.01382,29.61117,1.0,11340.0,5.0,Wood,Karnali,Mid-Western,Dolpa,Bhijer
a25,86.83882,27.73617,2.0,11340.0,10.0,Wood,Sagarmatha,East,Solukhumbu,Chaurikharka
a26,84.36382,28.78617,2.0,11340.0,10.0,Wood,Gandaki,West,Manang,Fu
a27,84.13882,28.56117,2.0,11340.0,10.0,Wood,Gandaki,West,Manang,Pisang
a28,83.16382,29.01117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Mukot
a29,83.01382,29.23617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Phoksundo
a30,82.86382,28.86117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Dunai
a31,85.03882,28.56117,2.0,11340.0,10.0,Wood,Gandaki,West,Gorkha,Chumchet
a33,83.31382,28.78617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Mukot
a34,81.88882,28.18617,2.0,11340.0,10.0,Wood,Bheri,Mid-Western,Banke,Kanchanapur
a35,83.23882,29.31117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Tinje
a36,84.13882,29.16117,2.0,11340.0,10.0,Wood,Dhaualagiri,West,Mustang,Chhoser
a37,84.21382,28.78617,2.0,11340.0,10.0,Wood,Gandaki,West,Manang,Fu
a38,86.83882,27.96117,2.0,11340.0,10.0,Wood,Sagarmatha,East,Solukhumbu,Khumjung
a39,87.58882,27.73617,2.0,11340.0,10.0,Wood,Koshi,East,Sankhuwasabha,Chepuwa
a41,83.31382,28.93617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Mukot
a42,81.96382,30.06117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Humla,Thehe
a43,82.93882,29.08617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Phoksundo
a44,80.98882,28.78617,2.0,11340.0,10.0,Wood,Seti,Far-Western,Kailali,RamsikharJhala
a45,84.73882,28.48617,2.0,11340.0,10.0,Wood,Gandaki,West,Gorkha,Prok
a46,87.06382,27.73617,2.0,11340.0,10.0,Wood,Koshi,East,Sankhuwasabha,Makalu
a47,83.16382,29.23617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Tinje
a48,84.06382,28.41117,2.0,11340.0,10.0,Wood,Gandaki,West,Kaski,Parche
a50,82.63882,29.76117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Mugu,Mugu
a51,83.46382,29.08617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Chharka
a52,83.98882,28.41117,2.0,11340.0,10.0,Wood,Gandaki,West,Kaski,Machhapuchchhre
a53,85.03882,28.33617,2.0,11340.0,10.0,Wood,Gandaki,West,Gorkha,Kerauja
a54,87.06382,27.66117,2.0,11340.0,10.0,Wood,Koshi,East,Sankhuwasabha,Yafu
a55,81.88882,30.06117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Humla,Bargaun
a56,83.91382,29.31117,2.0,11340.0,10.0,Wood,Dhaualagiri,West,Mustang,Chhonhup
a57,83.23882,29.01117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Dho
a58,83.98882,28.78617,2.0,11340.0,10.0,Wood,Gandaki,West,Manang,TankiManang
a59,82.11382,30.13617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Humla,Kharpunath
a60,83.68882,28.93617,2.0,11340.0,10.0,Wood,Dhaualagiri,West,Mustang,Chhusang
a61,83.91382,28.86117,2.0,11340.0,10.0,Wood,Dhaualagiri,West,Mustang,Chhusang
a62,83.91382,28.71117,2.0,11340.0,10.0,Wood,Gandaki,West,Manang,Khangsar
a63,83.91382,28.48617,2.0,11340.0,10.0,Wood,Gandaki,West,Kaski,Lwangghale
a64,81.13882,29.83617,2.0,11340.0,10.0,Wood,Seti,Far-Western,Bajhang,Kanda
a65,83.08882,29.23617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Phoksundo
a66,82.93882,28.86117,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Dunai
a67,84.06382,29.16117,2.0,11340.0,10.0,Wood,Dhaualagiri,West,Mustang,Chhoser
a68,83.23882,28.93617,2.0,11340.0,10.0,Wood,Karnali,Mid-Western,Dolpa,Mukot
a69,84.58882,27.43617,2.0,11340.0,10.0,Wood,Narayani,Central,Parsa,Royal Chitawan Natio
a70,87.13882,27.66117,2.0,11340.0,10.0,Wood,Koshi,East,Sankhuwasabha,Makalu
a71,81.81382,30.28617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Limi
a72,82.78882,29.08617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Tripurakot
a73,82.63882,27.73617,3.0,11340.0,15.0,Wood,Rapti,Mid-Western,Dang,Gobardiya
a74,82.71382,29.16117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Kaigaun
a75,84.51382,28.48617,3.0,11340.0,15.0,Wood,Gandaki,West,Manang,Dharapani
a76,83.01382,29.16117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Phoksundo
a77,81.36382,28.56117,3.0,11340.0,15.0,Wood,Bheri,Mid-Western,Bardiya,Royal Bardiya Nation
a78,83.23882,29.23617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Tinje
a79,84.13882,29.23617,3.0,11340.0,15.0,Wood,Dhaualagiri,West,Mustang,Chhoser
a81,82.03882,30.21117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Kharpunath
a82,83.01382,29.01117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Lawan
a83,82.63882,29.31117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Kaigaun
a84,83.98882,29.08617,3.0,11340.0,15.0,Wood,Dhaualagiri,West,Mustang,Surkhang
a85,88.03882,27.58617,3.0,11340.0,15.0,Wood,Mechi,East,Taplejung,Yamfudin
a86,81.96382,30.28617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Thehe
a87,82.78882,29.23617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Phoksundo
a88,83.31382,29.01117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Chharka
a89,84.96382,28.41117,3.0,11340.0,15.0,Wood,Gandaki,West,Gorkha,Chumchet
a90,82.78882,29.31117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Kaigaun
a91,83.46382,29.01117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Chharka
a92,81.51382,29.98617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Muchu
a93,83.16382,29.53617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Saldang
a94,83.61382,28.93617,3.0,11340.0,15.0,Wood,Dhaualagiri,West,Mustang,Chhusang
a95,87.13882,27.73617,3.0,11340.0,15.0,Wood,Koshi,East,Sankhuwasabha,Makalu
a96,81.43882,30.06117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Muchu
a97,83.91382,28.41117,3.0,11340.0,15.0,Wood,Gandaki,West,Kaski,Lwangghale
a98,81.51382,30.28617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Limi
a99,82.18882,29.98617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Kharpunath
a100,82.56382,29.16117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Kaigaun
a101,83.68882,28.63617,3.0,11340.0,15.0,Wood,Dhaualagiri,West,Mustang,Kunjo
a102,87.58882,27.81117,3.0,11340.0,15.0,Wood,Koshi,East,Sankhuwasabha,Chepuwa
a103,83.08882,29.31117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Saldang
a104,87.51382,27.58617,3.0,11340.0,15.0,Wood,Mechi,East,Taplejung,Nalbu
a105,82.93882,29.61117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Bhijer
a106,84.28882,28.48617,3.0,11340.0,15.0,Wood,Gandaki,West,Manang,Chame
a107,87.13882,27.81117,3.0,11340.0,15.0,Wood,Koshi,East,Sankhuwasabha,Makalu
a108,81.58882,30.13617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Muchu
a109,81.96382,30.13617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Thehe
a110,81.66382,30.13617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Khagalgaun
a111,81.58882,28.33617,3.0,11340.0,15.0,Wood,Bheri,Mid-Western,Bardiya,Royal Bardiya Nation
a112,87.21382,27.73617,3.0,11340.0,15.0,Wood,Koshi,East,Sankhuwasabha,Makalu
a113,81.43882,28.56117,3.0,11340.0,15.0,Wood,Bheri,Mid-Western,Surkhet,Hariharpur
a114,82.86382,29.23617,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Phoksundo
a115,83.38882,29.01117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Chharka
a116,84.58882,28.41117,3.0,11340.0,15.0,Wood,Gandaki,West,Lamjung,Faleni
a118,80.38882,29.01117,3.0,11340.0,15.0,Wood,Mahakali,Far-Western,Kanchanpur,Jhalari
a119,81.96382,28.11117,3.0,11340.0,15.0,Wood,Bheri,Mid-Western,Banke,Kanchanapur
a120,85.86382,28.11117,3.0,11340.0,15.0,Wood,Bagmati,Central,Sindhupalchok,Gumba
a121,81.28882,30.06117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Humla,Muchu
a122,82.86382,29.61117,3.0,11340.0,15.0,Wood,Karnali,Mid-Western,Dolpa,Bhijer
a123,83.98882,29.31117,3.0,11340.0,15.0,Wood,Dhaualagiri,West,Mustang,Chhonhup
a124,83.01382,29.31117,4.0,11340.0,20.0,Wood,Karnali,Mid-Western,Dolpa,Bhijer
a125,83.46382,28.93617,4.0,11340.0,20.0,Wood,Karnali,Mid-Western,Dolpa,Chharka
a126,86.76382,27.96117,4.0,11340.0,20.0,Wood,Sagarmatha,East,Solukhumbu,Khumjung
a127,85.71382,28.18617,4.0,11340.0,20.0,Wood,Bagmati,Central,Rasuwa,Langtang
a128,84.66382,28.33617,4.0,11340.0,20.0,Wood,Gandaki,West,Lamjung,Dhodeni
