rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,pga,0.2,0.5,1.0
4.5,0.0,2.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
4.5,0.0,5.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
4.5,0.0,50.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
4.5,0.0,100.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
5.5,0.0,2.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
5.5,0.0,5.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
5.5,0.0,50.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
5.5,0.0,100.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
6.5,0.0,2.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
6.5,0.0,5.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
6.5,0.0,50.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
6.5,0.0,100.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
7.5,0.0,2.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
7.5,0.0,5.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
7.5,0.0,50.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
7.5,0.0,100.0,500.0,TOTAL_STDDEV,5,0.61953612,0.63452738,0.61953612,0.61214787
