rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,pga
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,180.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,180.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,180.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,760.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,760.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,760.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,1500.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,1500.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,0.00,0.00,0.00,1500.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,180.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,180.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,180.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,760.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,760.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,760.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,1500.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,1500.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,5.00,0.00,0.00,1500.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,10.00,8.66,8.66,180.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,10.00,8.66,8.66,180.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,10.00,8.66,8.66,180.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,10.00,8.66,8.66,760.00,1,5.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,10.00,8.66,8.66,760.00,1,10.00,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,10.00,8.66,8.66,760.00,1,23.50,TOTAL_STDDEV,5.00,0.65
3.50,90.00,-70.00,0.00,10.00,8.66,8.66,1500.00,1,5.00,TOTAL_STDDEV,5.00,0.65
