rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.12,0.15,0.17,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,3,4,5,7.5,10
3.5,90,-70,0,10,8.66,8.66,180,0,5,INTER_EVENT_STDDEV,5,0.39446,0.39718,0.40042,0.40299,0.40521,0.40899,0.41239,0.41493,0.41861,0.42091,0.42406,0.42844,0.43181,0.43658,0.43971,0.44475,0.44774,0.45123,0.4533,0.45578,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,180,0,10,INTER_EVENT_STDDEV,5,0.39446,0.39718,0.40042,0.40299,0.40521,0.40899,0.41239,0.41493,0.41861,0.42091,0.42406,0.42844,0.43181,0.43658,0.43971,0.44475,0.44774,0.45123,0.4533,0.45578,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,180,0,23.5,INTER_EVENT_STDDEV,5,0.39446,0.39718,0.40042,0.40299,0.40521,0.40899,0.41239,0.41493,0.41861,0.42091,0.42406,0.42844,0.43181,0.43658,0.43971,0.44475,0.44774,0.45123,0.4533,0.45578,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,760,0,5,INTER_EVENT_STDDEV,5,0.39991,0.40253,0.40622,0.40939,0.41225,0.41762,0.42158,0.42409,0.42723,0.42897,0.43112,0.43398,0.43622,0.43955,0.44187,0.44589,0.4484,0.4515,0.45339,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,760,0,10,INTER_EVENT_STDDEV,5,0.39991,0.40253,0.40622,0.40939,0.41225,0.41762,0.42158,0.42409,0.42723,0.42897,0.43112,0.43398,0.43622,0.43955,0.44187,0.44589,0.4484,0.4515,0.45339,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,760,0,23.5,INTER_EVENT_STDDEV,5,0.39991,0.40253,0.40622,0.40939,0.41225,0.41762,0.42158,0.42409,0.42723,0.42897,0.43112,0.43398,0.43622,0.43955,0.44187,0.44589,0.4484,0.4515,0.45339,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,1500,0,5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,1500,0,10,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,10,8.66,8.66,1500,0,23.5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,180,0,5,INTER_EVENT_STDDEV,5,0.39937,0.40199,0.40563,0.40875,0.41156,0.41688,0.42081,0.42331,0.42648,0.42825,0.43047,0.43346,0.4358,0.43927,0.44166,0.44578,0.44833,0.45147,0.45339,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,180,0,10,INTER_EVENT_STDDEV,5,0.39937,0.40199,0.40563,0.40875,0.41156,0.41688,0.42081,0.42331,0.42648,0.42825,0.43047,0.43346,0.4358,0.43927,0.44166,0.44578,0.44833,0.45147,0.45339,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,180,0,23.5,INTER_EVENT_STDDEV,5,0.39937,0.40199,0.40563,0.40875,0.41156,0.41688,0.42081,0.42331,0.42648,0.42825,0.43047,0.43346,0.4358,0.43927,0.44166,0.44578,0.44833,0.45147,0.45339,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,760,0,5,INTER_EVENT_STDDEV,5,0.39999,0.40259,0.40629,0.40949,0.41238,0.41787,0.42186,0.42436,0.42747,0.42917,0.43128,0.43409,0.43629,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,760,0,10,INTER_EVENT_STDDEV,5,0.39999,0.40259,0.40629,0.40949,0.41238,0.41787,0.42186,0.42436,0.42747,0.42917,0.43128,0.43409,0.43629,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,760,0,23.5,INTER_EVENT_STDDEV,5,0.39999,0.40259,0.40629,0.40949,0.41238,0.41787,0.42186,0.42436,0.42747,0.42917,0.43128,0.43409,0.43629,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,1500,0,5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,1500,0,10,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,5,50,49.75,49.75,1500,0,23.5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
