rup_mag,dist_rjb,site_vs30,result_type,damping,pga
7,20,800,MEAN,5,0.3056
6,20,800,MEAN,5,0.1253
5,20,800,MEAN,5,0.0514
7,40,800,MEAN,5,0.1513
6,40,800,MEAN,5,0.0621
5,40,800,MEAN,5,0.0255
