id,lon,lat,taxonomy,number,structural,nonstructural,contents,night,NAME_1,NAME_2,NAME_3,NAME_4
a1,83.31382,29.46117,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Tinje
a2,83.31382,29.23617,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Tinje
a3,83.53882,29.08617,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Chharka
a4,80.68882,28.93617,Wood,1,11340,19845,5670,5,Far-Western,Seti,Kailali,Nigali
a5,83.53882,29.01117,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Chharka
a6,81.13882,28.78617,Wood,1,11340,19845,5670,5,Far-Western,Seti,Kailali,Sugarkhal
a7,83.98882,28.48617,Wood,1,11340,19845,5670,5,West,Gandaki,Kaski,Machhapuchchhre
a8,83.23882,29.38617,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Tinje
a9,83.01382,29.08617,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Raha
a10,83.31382,28.71117,Wood,1,11340,19845,5670,5,West,Dhaualagiri,Myagdi,Mudi
a11,86.91382,27.73617,Wood,1,11340,19845,5670,5,East,Sagarmatha,Solukhumbu,Chheskam
a12,83.16382,29.31117,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Saldang
a13,80.61382,28.93617,Wood,1,11340,19845,5670,5,Far-Western,Seti,Kailali,Godawari
a14,83.91382,29.01117,Wood,1,11340,19845,5670,5,West,Dhaualagiri,Mustang,Surkhang
a15,82.03882,30.28617,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Humla,Thehe
a16,83.38882,29.31117,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Tinje
a17,80.68882,28.86117,Wood,1,11340,19845,5670,5,Far-Western,Seti,Kailali,Khairala
a18,83.46382,28.71117,Wood,1,11340,19845,5670,5,West,Dhaualagiri,Myagdi,Mudi
a19,84.13882,28.41117,Wood,1,11340,19845,5670,5,West,Gandaki,Kaski,Namarjung
a20,83.08882,29.16117,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Phoksundo
a21,84.13882,28.78617,Wood,1,11340,19845,5670,5,West,Gandaki,Manang,Nar
a22,85.11382,28.33617,Wood,1,11340,19845,5670,5,Central,Bagmati,Dhading,Sertung
a23,84.06382,29.01117,Wood,1,11340,19845,5670,5,West,Dhaualagiri,Mustang,Surkhang
a24,83.01382,29.61117,Wood,1,11340,19845,5670,5,Mid-Western,Karnali,Dolpa,Bhijer
a25,86.83882,27.73617,Wood,2,11340,19845,5670,10,East,Sagarmatha,Solukhumbu,Chaurikharka
a26,84.36382,28.78617,Wood,2,11340,19845,5670,10,West,Gandaki,Manang,Fu
a27,84.13882,28.56117,Wood,2,11340,19845,5670,10,West,Gandaki,Manang,Pisang
a28,83.16382,29.01117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Mukot
a29,83.01382,29.23617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Phoksundo
a30,82.86382,28.86117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Dunai
a31,85.03882,28.56117,Wood,2,11340,19845,5670,10,West,Gandaki,Gorkha,Chumchet
a33,83.31382,28.78617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Mukot
a34,81.88882,28.18617,Wood,2,11340,19845,5670,10,Mid-Western,Bheri,Banke,Kanchanapur
a35,83.23882,29.31117,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Tinje
a36,84.13882,29.16117,Wood,2,11340,19845,5670,10,West,Dhaualagiri,Mustang,Chhoser
a37,84.21382,28.78617,Wood,2,11340,19845,5670,10,West,Gandaki,Manang,Fu
a38,86.83882,27.96117,Wood,2,11340,19845,5670,10,East,Sagarmatha,Solukhumbu,Khumjung
a39,87.58882,27.73617,Wood,2,11340,19845,5670,10,East,Koshi,Sankhuwasabha,Chepuwa
a41,83.31382,28.93617,Wood,2,11340,19845,5670,10,Mid-Western,Karnali,Dolpa,Mukot
