lon,lat,intensity
-75.34365,4.93285,0
-75.32875,4.93285,0
-75.36730,4.93256,0
-75.31824,4.93256,0
-75.30948,4.93256,0
-75.30569,4.93256,0
-75.27853,4.93256,0
-75.27415,4.93256,0
-75.34627,4.93227,0
-75.33722,4.93227,0
-75.31707,4.93227,0
-75.37226,4.93198,0
-75.35941,4.93198,0
-75.31299,4.93198,0
-75.36379,4.93169,0
-75.37898,4.93139,0
-75.37664,4.93139,0
-75.37401,4.93139,0
-75.36555,4.93139,0
-75.36204,4.93139,0
-75.33284,4.93139,0
-75.32467,4.93139,0
-75.37197,4.93110,0
-75.34598,4.93110,0
-75.29488,4.93110,0
-75.29167,4.93110,0
-75.28174,4.93110,0
-75.36496,4.93081,0
-75.35533,4.93081,0
-75.33080,4.93081,0
-75.31182,4.93081,0
-75.34306,4.93052,0
-75.33109,4.93052,0
-75.32350,4.93052,0
-75.29722,4.93052,0
-75.28466,4.93052,0
-75.35387,4.93023,0
-75.35065,4.93023,0
-75.36730,4.92993,0
-75.34919,4.92993,0
-75.31707,4.92993,0
-75.31182,4.92993,0
-75.27415,4.92993,0
-75.35854,4.92964,0
-75.35387,4.92964,0
-75.34569,4.92964,0
-75.33722,4.92964,0
-75.31532,4.92964,0
-75.30072,4.92964,0
-75.29751,4.92964,0
-75.37080,4.92935,0
-75.34014,4.92935,0
-75.33751,4.92935,0
-75.29196,4.92935,0
-75.28583,4.92935,0
-75.29138,4.92906,0
-75.28846,4.92906,0
-75.37635,4.92877,0
-75.36555,4.92877,0
-75.34861,4.92877,0
-75.34160,4.92877,0
-75.33372,4.92877,0
-75.32496,4.92877,0
-75.32467,4.92877,0
-75.31970,4.92877,0
-75.30773,4.92877,0
-75.35649,4.92847,0
-75.34919,4.92847,0
-75.31445,4.92847,0
-75.30423,4.92847,0
-75.29722,4.92847,0
-75.29196,4.92847,0
-75.37022,4.92818,0
-75.33255,4.92818,0
-75.29225,4.92789,0
-75.28729,4.92789,0
-75.28233,4.92789,0
-75.37343,4.92760,0
-75.31737,4.92760,0
-75.30481,4.92760,0
-75.35620,4.92731,0
-75.35357,4.92731,0
-75.33956,4.92731,0
-75.29021,4.92731,0
-75.28729,4.92731,0
-75.34189,4.92701,0
-75.31999,4.92701,0
-75.29050,4.92701,0
-75.35182,4.92672,0
-75.30831,4.92672,0
-75.27065,4.92672,0
-75.37051,4.92643,0
-75.34627,4.92643,0
-75.33401,4.92643,0
-75.32613,4.92643,0
-75.31707,4.92643,0
-75.31415,4.92643,0
-75.28758,4.92643,0
-75.37577,4.92614,0
-75.37372,4.92614,0
-75.32729,4.92614,0
-75.32379,4.92614,0
-75.29751,4.92614,0
-75.28963,4.92614,0
-75.28233,4.92614,0
-75.27911,4.92614,0
-75.27357,4.92614,0
-75.34861,4.92585,0
-75.31211,4.92585,0
-75.28729,4.92585,0
-75.27795,4.92585,0
-75.30131,4.92555,0
-75.32613,4.92526,0
-75.31795,4.92526,0
-75.31474,4.92526,0
-75.29634,4.92526,0
-75.28875,4.92526,0
-75.27590,4.92526,0
-75.37869,4.92497,0
-75.34014,4.92497,0
-75.32846,4.92497,0
-75.31999,4.92497,0
-75.29167,4.92497,1
-75.35562,4.92468,0
-75.33372,4.92468,0
-75.32554,4.92468,0
-75.30773,4.92468,0
-75.36117,4.92439,0
-75.31153,4.92439,0
-75.33430,4.92409,0
-75.32116,4.92409,0
-75.28233,4.92409,0
-75.37810,4.92380,0
-75.36029,4.92380,0
-75.36117,4.92351,0
-75.28379,4.92351,0
-75.28028,4.92351,0
-75.30744,4.92322,0
-75.28116,4.92322,0
-75.27065,4.92322,0
-75.37869,4.92293,0
-75.32029,4.92293,0
-75.29547,4.92293,1
-75.28992,4.92293,0
-75.33897,4.92263,0
-75.33839,4.92263,0
-75.37168,4.92234,0
-75.31532,4.92234,0
-75.29138,4.92234,0
-75.27357,4.92234,0
-75.35941,4.92176,0
-75.28028,4.92176,0
-75.27649,4.92176,0
-75.35912,4.92147,0
-75.35153,4.92147,0
-75.35007,4.92147,0
-75.33956,4.92147,0
-75.32029,4.92147,0
-75.31036,4.92147,0
-75.29430,4.92147,0
-75.37109,4.92117,0
-75.36321,4.92117,0
-75.35124,4.92117,0
-75.35270,4.92088,0
-75.34919,4.92088,0
-75.34627,4.92088,0
-75.34306,4.92088,0
-75.33751,4.92088,0
-75.33430,4.92088,0
-75.32759,4.92088,0
-75.32613,4.92088,0
-75.29751,4.92088,1
-75.29225,4.92088,0
-75.31036,4.92059,0
-75.30802,4.92059,0
-75.29021,4.92059,0
-75.28992,4.92059,0
-75.35328,4.92030,0
-75.35182,4.92030,0
-75.32875,4.92030,0
-75.29079,4.92030,0
-75.28495,4.92030,0
-75.27649,4.92030,0
-75.33693,4.92001,0
-75.32291,4.92001,0
-75.36292,4.91971,0
-75.34160,4.91971,0
-75.30393,4.91971,0
-75.30014,4.91971,1
-75.29693,4.91971,0
-75.37109,4.91942,0
-75.35153,4.91942,0
-75.32467,4.91942,0
-75.32846,4.91913,0
-75.30131,4.91913,0
-75.29605,4.91913,1
-75.37051,4.91884,0
-75.35211,4.91884,0
-75.32963,4.91884,0
-75.31445,4.91884,0
-75.36029,4.91855,0
-75.35562,4.91855,0
-75.34744,4.91855,0
-75.32437,4.91855,0
-75.31591,4.91855,0
-75.35562,4.91825,0
-75.34832,4.91825,0
-75.32875,4.91825,0
-75.27035,4.91825,0
-75.35007,4.91796,0
-75.34890,4.91796,0
-75.30861,4.91796,0
-75.29693,4.91796,1
-75.28875,4.91796,0
-75.35883,4.91767,0
-75.30569,4.91767,0
-75.30160,4.91767,0
-75.37139,4.91738,0
-75.36263,4.91738,0
-75.35241,4.91738,0
