lon,lat,intensity
-75.2498,5.0031,1
-75.2578,5.0021,1
-75.2408,5.0021,1
-75.2208,5.0021,1
-75.2328,5.0011,1
-75.2218,5.0011,1
-75.2628,5.0001,1
-75.2488,5.0001,1
-75.2368,5.0001,1
-75.2648,4.9991,1
-75.2428,4.9991,1
-75.2308,4.9991,1
-75.2578,4.9981,1
-75.2468,4.9981,1
-75.2408,4.9981,1
-75.2568,4.9961,1
-75.2368,4.9961,1
-75.2298,4.9961,1
-75.2288,4.9961,1
-75.2168,4.9961,1
-75.2648,4.9951,1
-75.2308,4.9951,1
-75.2628,4.9941,1
-75.2468,4.9941,1
-75.2268,4.9941,1
-75.2578,4.9931,1
-75.2528,4.9931,1
-75.2278,4.9931,1
-75.2148,4.9931,1
-75.2808,4.9921,1
-75.2728,4.9921,1
-75.2688,4.9921,1
-75.2658,4.9921,1
-75.2328,4.9921,1
-75.2618,4.9911,1
-75.2588,4.9911,1
-75.2438,4.9911,1
-75.2408,4.9911,1
-75.2258,4.9911,1
-75.2218,4.9911,1
-75.2188,4.9911,1
-75.2168,4.9911,1
-75.2838,4.9901,1
-75.2638,4.9901,1
-75.2618,4.9901,1
-75.2398,4.9901,1
-75.2388,4.9901,1
-75.2248,4.9901,1
-75.2858,4.9891,1
-75.2548,4.9891,1
-75.2938,4.9881,1
-75.2958,4.9871,1
-75.2698,4.9871,1
-75.2168,4.9871,1
-75.3028,4.9861,1
-75.2788,4.9861,1
-75.2118,4.9861,1
-75.2688,4.9851,1
-75.2658,4.9851,1
-75.3008,4.9841,1
-75.2998,4.9841,1
-75.2848,4.9841,1
-75.2088,4.9841,1
-75.2708,4.9831,1
-75.2698,4.9831,1
-75.2668,4.9831,1
-75.2618,4.9831,1
-75.3078,4.9821,1
-75.2998,4.9821,1
-75.2818,4.9821,1
-75.2778,4.9821,1
-75.2738,4.9821,1
-75.3098,4.9811,1
-75.3008,4.9811,1
-75.2408,4.9801,1
-75.3098,4.9791,1
-75.3068,4.9791,1
-75.2668,4.9791,1
-75.3048,4.9781,1
-75.2968,4.9781,1
-75.2828,4.9781,1
-75.2898,4.9771,1
-75.2858,4.9771,1
-75.2138,4.9771,1
-75.2058,4.9771,1
-75.3198,4.9761,1
-75.3048,4.9761,1
-75.3018,4.9761,1
-75.2908,4.9761,1
-75.2818,4.9761,1
-75.2788,4.9761,1
-75.3328,4.9751,1
-75.3258,4.9751,1
-75.3208,4.9751,1
-75.3128,4.9751,1
-75.3058,4.9751,1
-75.2978,4.9751,1
-75.2918,4.9751,1
-75.2458,4.9751,1
-75.2288,4.9751,1
-75.2108,4.9751,1
-75.2078,4.9751,1
-75.2038,4.9751,1
-75.3278,4.9741,1
-75.3058,4.9741,1
-75.2978,4.9741,1
-75.2098,4.9741,1
-75.2968,4.9731,1
-75.2768,4.9731,1
-75.2748,4.9731,1
-75.2738,4.9731,1
-75.2328,4.9731,1
-75.3438,4.9721,1
-75.3098,4.9721,1
-75.3088,4.9721,1
-75.3058,4.9721,1
-75.2998,4.9721,1
-75.2248,4.9721,1
-75.3118,4.9711,1
-75.2788,4.9711,1
-75.2498,4.9711,1
-75.2318,4.9711,1
-75.2288,4.9711,1
-75.2218,4.9711,1
-75.2178,4.9711,1
-75.3498,4.9701,1
-75.3458,4.9701,1
-75.3258,4.9701,1
-75.3518,4.9691,1
-75.3308,4.9691,1
-75.3188,4.9691,1
-75.2998,4.9691,1
-75.2508,4.9691,1
-75.2138,4.9691,1
-75.2108,4.9691,1
-75.3528,4.9681,1
-75.3278,4.9681,1
-75.2978,4.9681,1
-75.2948,4.9681,1
-75.2878,4.9681,1
-75.2808,4.9681,1
-75.2248,4.9681,1
-75.2218,4.9681,1
-75.3468,4.9671,1
-75.3288,4.9671,1
-75.2258,4.9671,1
-75.3348,4.9661,1
-75.3098,4.9661,1
-75.2498,4.9661,1
-75.2328,4.9661,1
-75.3488,4.9651,1
-75.3458,4.9651,1
-75.3328,4.9651,1
-75.3178,4.9651,1
-75.3068,4.9651,1
-75.2488,4.9651,1
-75.2438,4.9651,1
-75.2218,4.9651,1
-75.3428,4.9641,1
-75.3368,4.9641,1
-75.3348,4.9641,1
-75.3218,4.9641,1
-75.3098,4.9641,1
-75.2918,4.9641,1
-75.2898,4.9641,1
-75.2508,4.9641,1
-75.2458,4.9641,1
-75.2208,4.9641,1
-75.3108,4.9631,1
-75.3068,4.9631,1
-75.2968,4.9631,1
-75.2958,4.9631,1
-75.2908,4.9631,1
-75.2868,4.9631,1
-75.3518,4.9621,1
-75.3408,4.9621,1
-75.3128,4.9621,1
-75.3118,4.9621,1
-75.3438,4.9611,1
-75.3328,4.9611,1
-75.2968,4.9611,1
-75.3418,4.9601,1
-75.3348,4.9601,1
-75.3338,4.9601,1
-75.3338,4.9591,1
-75.3258,4.9591,1
-75.3218,4.9591,1
-75.3028,4.9591,1
-75.2888,4.9591,1
-75.2498,4.9591,1
-75.3458,4.9581,1
-75.3438,4.9581,1
-75.3368,4.9581,1
-75.2888,4.9581,1
-75.3238,4.9571,1
-75.3058,4.9571,1
-75.3438,4.9561,1
-75.2828,4.9561,1
-75.2758,4.9561,1
-75.2638,4.9561,1
-75.2548,4.9561,1
-75.3548,4.9551,1
-75.2998,4.9551,1
-75.2898,4.9551,1
-75.2688,4.9551,1
-75.2598,4.9551,1
-75.3508,4.9541,1
-75.3458,4.9541,1
-75.3218,4.9541,1
-75.3118,4.9541,1
-75.2898,4.9541,1
-75.2888,4.9541,1
-75.3548,4.9531,1
-75.3318,4.9531,1
-75.3168,4.9531,1
-75.3158,4.9531,1
-75.3048,4.9531,1
-75.2938,4.9531,1
-75.2848,4.9531,1
-75.2758,4.9531,1
-75.2608,4.9531,1
-75.3458,4.9521,1
-75.3058,4.9521,1
-75.3048,4.9521,1
-75.2938,4.9521,1
-75.2878,4.9521,1
-75.2788,4.9521,1
-75.3238,4.9511,1
-75.3218,4.9511,1
-75.2928,4.9511,1
-75.2838,4.9511,1
-75.3488,4.9501,1
