rup_mag,dist_rhypo,rup_hypo_depth,result_type,mmi 
4.6,89,10,TOTAL_STDDEV,0.365
4.6,100,10,TOTAL_STDDEV,0.365
4.6,112,10,TOTAL_STDDEV,0.365
4.6,126,10,TOTAL_STDDEV,0.365
4.6,141,10,TOTAL_STDDEV,0.365
4.6,158,10,TOTAL_STDDEV,0.365
4.6,178,10,TOTAL_STDDEV,0.365
4.6,200,10,TOTAL_STDDEV,0.365
4.6,224,10,TOTAL_STDDEV,0.365
4.6,250,10,TOTAL_STDDEV,0.365
4.7,1.00E-01,10,TOTAL_STDDEV,0.365
4.7,1,10,TOTAL_STDDEV,0.365
4.7,2,10,TOTAL_STDDEV,0.365
4.7,3,10,TOTAL_STDDEV,0.365
4.7,4,10,TOTAL_STDDEV,0.365
4.7,5,10,TOTAL_STDDEV,0.365
4.7,6,10,TOTAL_STDDEV,0.365
4.7,7,10,TOTAL_STDDEV,0.365
4.7,8,10,TOTAL_STDDEV,0.365
4.7,9,10,TOTAL_STDDEV,0.365
4.7,10,10,TOTAL_STDDEV,0.365
4.7,11,10,TOTAL_STDDEV,0.365
4.7,12,10,TOTAL_STDDEV,0.365
4.7,14,10,TOTAL_STDDEV,0.365
4.7,16,10,TOTAL_STDDEV,0.365
4.7,18,10,TOTAL_STDDEV,0.365
4.7,20,10,TOTAL_STDDEV,0.365
4.7,22,10,TOTAL_STDDEV,0.365
4.7,25,10,TOTAL_STDDEV,0.365
4.7,28,10,TOTAL_STDDEV,0.365
4.7,32,10,TOTAL_STDDEV,0.365
4.7,35,10,TOTAL_STDDEV,0.365
4.7,40,10,TOTAL_STDDEV,0.365
4.7,45,10,TOTAL_STDDEV,0.365
4.7,50,10,TOTAL_STDDEV,0.365
4.7,56,10,TOTAL_STDDEV,0.365
4.7,63,10,TOTAL_STDDEV,0.365
4.7,71,10,TOTAL_STDDEV,0.365
4.7,79,10,TOTAL_STDDEV,0.365
4.7,89,10,TOTAL_STDDEV,0.365
4.7,100,10,TOTAL_STDDEV,0.365
4.7,112,10,TOTAL_STDDEV,0.365
4.7,126,10,TOTAL_STDDEV,0.365
4.7,141,10,TOTAL_STDDEV,0.365
4.7,158,10,TOTAL_STDDEV,0.365
4.7,178,10,TOTAL_STDDEV,0.365
4.7,200,10,TOTAL_STDDEV,0.365
4.7,224,10,TOTAL_STDDEV,0.365
4.7,250,10,TOTAL_STDDEV,0.365
4.8,1.00E-01,10,TOTAL_STDDEV,0.365
4.8,1,10,TOTAL_STDDEV,0.365
4.8,2,10,TOTAL_STDDEV,0.365
4.8,3,10,TOTAL_STDDEV,0.365
4.8,4,10,TOTAL_STDDEV,0.365
4.8,5,10,TOTAL_STDDEV,0.365
4.8,6,10,TOTAL_STDDEV,0.365
4.8,7,10,TOTAL_STDDEV,0.365
4.8,8,10,TOTAL_STDDEV,0.365
4.8,9,10,TOTAL_STDDEV,0.365
4.8,10,10,TOTAL_STDDEV,0.365
4.8,11,10,TOTAL_STDDEV,0.365
4.8,12,10,TOTAL_STDDEV,0.365
4.8,14,10,TOTAL_STDDEV,0.365
4.8,16,10,TOTAL_STDDEV,0.365
4.8,18,10,TOTAL_STDDEV,0.365
4.8,20,10,TOTAL_STDDEV,0.365
4.8,22,10,TOTAL_STDDEV,0.365
4.8,25,10,TOTAL_STDDEV,0.365
4.8,28,10,TOTAL_STDDEV,0.365
4.8,32,10,TOTAL_STDDEV,0.365
4.8,35,10,TOTAL_STDDEV,0.365
4.8,40,10,TOTAL_STDDEV,0.365
4.8,45,10,TOTAL_STDDEV,0.365
4.8,50,10,TOTAL_STDDEV,0.365
4.8,56,10,TOTAL_STDDEV,0.365
4.8,63,10,TOTAL_STDDEV,0.365
4.8,71,10,TOTAL_STDDEV,0.365
4.8,79,10,TOTAL_STDDEV,0.365
4.8,89,10,TOTAL_STDDEV,0.365
4.8,100,10,TOTAL_STDDEV,0.365
4.8,112,10,TOTAL_STDDEV,0.365
4.8,126,10,TOTAL_STDDEV,0.365
4.8,141,10,TOTAL_STDDEV,0.365
4.8,158,10,TOTAL_STDDEV,0.365
4.8,178,10,TOTAL_STDDEV,0.365
4.8,200,10,TOTAL_STDDEV,0.365
4.8,224,10,TOTAL_STDDEV,0.365
4.8,250,10,TOTAL_STDDEV,0.365
4.9,1.00E-01,10,TOTAL_STDDEV,0.365
4.9,1,10,TOTAL_STDDEV,0.365
4.9,2,10,TOTAL_STDDEV,0.365
4.9,3,10,TOTAL_STDDEV,0.365
4.9,4,10,TOTAL_STDDEV,0.365
4.9,5,10,TOTAL_STDDEV,0.365
4.9,6,10,TOTAL_STDDEV,0.365
4.9,7,10,TOTAL_STDDEV,0.365
4.9,8,10,TOTAL_STDDEV,0.365
4.9,9,10,TOTAL_STDDEV,0.365
4.9,10,10,TOTAL_STDDEV,0.365
4.9,11,10,TOTAL_STDDEV,0.365
4.9,12,10,TOTAL_STDDEV,0.365
4.9,14,10,TOTAL_STDDEV,0.365
4.9,16,10,TOTAL_STDDEV,0.365
4.9,18,10,TOTAL_STDDEV,0.365
4.9,20,10,TOTAL_STDDEV,0.365
4.9,22,10,TOTAL_STDDEV,0.365
4.9,25,10,TOTAL_STDDEV,0.365
4.9,28,10,TOTAL_STDDEV,0.365
4.9,32,10,TOTAL_STDDEV,0.365
4.9,35,10,TOTAL_STDDEV,0.365
4.9,40,10,TOTAL_STDDEV,0.365
4.9,45,10,TOTAL_STDDEV,0.365
4.9,50,10,TOTAL_STDDEV,0.365
4.9,56,10,TOTAL_STDDEV,0.365
4.9,63,10,TOTAL_STDDEV,0.365
4.9,71,10,TOTAL_STDDEV,0.365
4.9,79,10,TOTAL_STDDEV,0.365
4.9,89,10,TOTAL_STDDEV,0.365
4.9,100,10,TOTAL_STDDEV,0.365
4.9,112,10,TOTAL_STDDEV,0.365
4.9,126,10,TOTAL_STDDEV,0.365
4.9,141,10,TOTAL_STDDEV,0.365
4.9,158,10,TOTAL_STDDEV,0.365
4.9,178,10,TOTAL_STDDEV,0.365
4.9,200,10,TOTAL_STDDEV,0.365
4.9,224,10,TOTAL_STDDEV,0.365
4.9,250,10,TOTAL_STDDEV,0.365
5,1.00E-01,10,TOTAL_STDDEV,0.365
5,1,10,TOTAL_STDDEV,0.365
5,2,10,TOTAL_STDDEV,0.365
5,3,10,TOTAL_STDDEV,0.365
5,4,10,TOTAL_STDDEV,0.365
5,5,10,TOTAL_STDDEV,0.365
5,6,10,TOTAL_STDDEV,0.365
5,7,10,TOTAL_STDDEV,0.365
5,8,10,TOTAL_STDDEV,0.365
5,9,10,TOTAL_STDDEV,0.365
5,10,10,TOTAL_STDDEV,0.365
5,11,10,TOTAL_STDDEV,0.365
5,12,10,TOTAL_STDDEV,0.365
5,14,10,TOTAL_STDDEV,0.365
5,16,10,TOTAL_STDDEV,0.365
5,18,10,TOTAL_STDDEV,0.365
5,20,10,TOTAL_STDDEV,0.365
5,22,10,TOTAL_STDDEV,0.365
5,25,10,TOTAL_STDDEV,0.365
5,28,10,TOTAL_STDDEV,0.365
5,32,10,TOTAL_STDDEV,0.365
5,35,10,TOTAL_STDDEV,0.365
5,40,10,TOTAL_STDDEV,0.365
5,45,10,TOTAL_STDDEV,0.365
5,50,10,TOTAL_STDDEV,0.365
5,56,10,TOTAL_STDDEV,0.365
5,63,10,TOTAL_STDDEV,0.365
5,71,10,TOTAL_STDDEV,0.365
5,79,10,TOTAL_STDDEV,0.365
5,89,10,TOTAL_STDDEV,0.365
5,100,10,TOTAL_STDDEV,0.365
5,112,10,TOTAL_STDDEV,0.365
5,126,10,TOTAL_STDDEV,0.365
5,141,10,TOTAL_STDDEV,0.365
5,158,10,TOTAL_STDDEV,0.365
5,178,10,TOTAL_STDDEV,0.365
5,200,10,TOTAL_STDDEV,0.365
5,224,10,TOTAL_STDDEV,0.365
5,250,10,TOTAL_STDDEV,0.365
5.1,1.00E-01,10,TOTAL_STDDEV,0.365
5.1,1,10,TOTAL_STDDEV,0.365
5.1,2,10,TOTAL_STDDEV,0.365
5.1,3,10,TOTAL_STDDEV,0.365
5.1,4,10,TOTAL_STDDEV,0.365
5.1,5,10,TOTAL_STDDEV,0.365
5.1,6,10,TOTAL_STDDEV,0.365
5.1,7,10,TOTAL_STDDEV,0.365
5.1,8,10,TOTAL_STDDEV,0.365
5.1,9,10,TOTAL_STDDEV,0.365
5.1,10,10,TOTAL_STDDEV,0.365
5.1,11,10,TOTAL_STDDEV,0.365
5.1,12,10,TOTAL_STDDEV,0.365
5.1,14,10,TOTAL_STDDEV,0.365
5.1,16,10,TOTAL_STDDEV,0.365
5.1,18,10,TOTAL_STDDEV,0.365
5.1,20,10,TOTAL_STDDEV,0.365
5.1,22,10,TOTAL_STDDEV,0.365
5.1,25,10,TOTAL_STDDEV,0.365
5.1,28,10,TOTAL_STDDEV,0.365
5.1,32,10,TOTAL_STDDEV,0.365
5.1,35,10,TOTAL_STDDEV,0.365
5.1,40,10,TOTAL_STDDEV,0.365
5.1,45,10,TOTAL_STDDEV,0.365
5.1,50,10,TOTAL_STDDEV,0.365
5.1,56,10,TOTAL_STDDEV,0.365
5.1,63,10,TOTAL_STDDEV,0.365
5.1,71,10,TOTAL_STDDEV,0.365
5.1,79,10,TOTAL_STDDEV,0.365
5.1,89,10,TOTAL_STDDEV,0.365
5.1,100,10,TOTAL_STDDEV,0.365
5.1,112,10,TOTAL_STDDEV,0.365
5.1,126,10,TOTAL_STDDEV,0.365
5.1,141,10,TOTAL_STDDEV,0.365
5.1,158,10,TOTAL_STDDEV,0.365
5.1,178,10,TOTAL_STDDEV,0.365
5.1,200,10,TOTAL_STDDEV,0.365
5.1,224,10,TOTAL_STDDEV,0.365
5.1,250,10,TOTAL_STDDEV,0.365
5.2,1.00E-01,10,TOTAL_STDDEV,0.365
5.2,1,10,TOTAL_STDDEV,0.365
5.2,2,10,TOTAL_STDDEV,0.365
5.2,3,10,TOTAL_STDDEV,0.365
5.2,4,10,TOTAL_STDDEV,0.365
5.2,5,10,TOTAL_STDDEV,0.365
5.2,6,10,TOTAL_STDDEV,0.365
5.2,7,10,TOTAL_STDDEV,0.365
5.2,8,10,TOTAL_STDDEV,0.365
5.2,9,10,TOTAL_STDDEV,0.365
5.2,10,10,TOTAL_STDDEV,0.365
5.2,11,10,TOTAL_STDDEV,0.365
5.2,12,10,TOTAL_STDDEV,0.365
5.2,14,10,TOTAL_STDDEV,0.365
5.2,16,10,TOTAL_STDDEV,0.365
5.2,18,10,TOTAL_STDDEV,0.365
5.2,20,10,TOTAL_STDDEV,0.365
5.2,22,10,TOTAL_STDDEV,0.365
5.2,25,10,TOTAL_STDDEV,0.365
5.2,28,10,TOTAL_STDDEV,0.365
5.2,32,10,TOTAL_STDDEV,0.365
5.2,35,10,TOTAL_STDDEV,0.365
5.2,40,10,TOTAL_STDDEV,0.365
5.2,45,10,TOTAL_STDDEV,0.365
5.2,50,10,TOTAL_STDDEV,0.365
5.2,56,10,TOTAL_STDDEV,0.365
5.2,63,10,TOTAL_STDDEV,0.365
5.2,71,10,TOTAL_STDDEV,0.365
5.2,79,10,TOTAL_STDDEV,0.365
5.2,89,10,TOTAL_STDDEV,0.365
5.2,100,10,TOTAL_STDDEV,0.365
5.2,112,10,TOTAL_STDDEV,0.365
5.2,126,10,TOTAL_STDDEV,0.365
5.2,141,10,TOTAL_STDDEV,0.365
5.2,158,10,TOTAL_STDDEV,0.365
5.2,178,10,TOTAL_STDDEV,0.365
5.2,200,10,TOTAL_STDDEV,0.365
5.2,224,10,TOTAL_STDDEV,0.365
5.2,250,10,TOTAL_STDDEV,0.365
5.3,1.00E-01,10,TOTAL_STDDEV,0.365
5.3,1,10,TOTAL_STDDEV,0.365
5.3,2,10,TOTAL_STDDEV,0.365
5.3,3,10,TOTAL_STDDEV,0.365
5.3,4,10,TOTAL_STDDEV,0.365
5.3,5,10,TOTAL_STDDEV,0.365
5.3,6,10,TOTAL_STDDEV,0.365
5.3,7,10,TOTAL_STDDEV,0.365
5.3,8,10,TOTAL_STDDEV,0.365
5.3,9,10,TOTAL_STDDEV,0.365
5.3,10,10,TOTAL_STDDEV,0.365
5.3,11,10,TOTAL_STDDEV,0.365
5.3,12,10,TOTAL_STDDEV,0.365
5.3,14,10,TOTAL_STDDEV,0.365
5.3,16,10,TOTAL_STDDEV,0.365
5.3,18,10,TOTAL_STDDEV,0.365
5.3,20,10,TOTAL_STDDEV,0.365
5.3,22,10,TOTAL_STDDEV,0.365
5.3,25,10,TOTAL_STDDEV,0.365
5.3,28,10,TOTAL_STDDEV,0.365
5.3,32,10,TOTAL_STDDEV,0.365
5.3,35,10,TOTAL_STDDEV,0.365
5.3,40,10,TOTAL_STDDEV,0.365
5.3,45,10,TOTAL_STDDEV,0.365
5.3,50,10,TOTAL_STDDEV,0.365
5.3,56,10,TOTAL_STDDEV,0.365
5.3,63,10,TOTAL_STDDEV,0.365
5.3,71,10,TOTAL_STDDEV,0.365
5.3,79,10,TOTAL_STDDEV,0.365
5.3,89,10,TOTAL_STDDEV,0.365
5.3,100,10,TOTAL_STDDEV,0.365
5.3,112,10,TOTAL_STDDEV,0.365
5.3,126,10,TOTAL_STDDEV,0.365
5.3,141,10,TOTAL_STDDEV,0.365
5.3,158,10,TOTAL_STDDEV,0.365
5.3,178,10,TOTAL_STDDEV,0.365
5.3,200,10,TOTAL_STDDEV,0.365
5.3,224,10,TOTAL_STDDEV,0.365
5.3,250,10,TOTAL_STDDEV,0.365
5.4,1.00E-01,10,TOTAL_STDDEV,0.365
5.4,1,10,TOTAL_STDDEV,0.365
5.4,2,10,TOTAL_STDDEV,0.365
5.4,3,10,TOTAL_STDDEV,0.365
5.4,4,10,TOTAL_STDDEV,0.365
5.4,5,10,TOTAL_STDDEV,0.365
5.4,6,10,TOTAL_STDDEV,0.365
5.4,7,10,TOTAL_STDDEV,0.365
5.4,8,10,TOTAL_STDDEV,0.365
5.4,9,10,TOTAL_STDDEV,0.365
5.4,10,10,TOTAL_STDDEV,0.365
5.4,11,10,TOTAL_STDDEV,0.365
5.4,12,10,TOTAL_STDDEV,0.365
5.4,14,10,TOTAL_STDDEV,0.365
5.4,16,10,TOTAL_STDDEV,0.365
5.4,18,10,TOTAL_STDDEV,0.365
5.4,20,10,TOTAL_STDDEV,0.365
5.4,22,10,TOTAL_STDDEV,0.365
5.4,25,10,TOTAL_STDDEV,0.365
5.4,28,10,TOTAL_STDDEV,0.365
5.4,32,10,TOTAL_STDDEV,0.365
5.4,35,10,TOTAL_STDDEV,0.365
