id,lon,lat,number,structural,night,taxonomy,NAME_3,NAME_2,NAME_1,NAME_4
a1,83.31382,29.46117,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Tinje
a2,83.31382,29.23617,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Tinje
a3,83.53882,29.08617,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Chharka
a4,80.68882,28.93617,1.0,11340.0,5.0,Wood,Kailali,Seti,Far-Western,Nigali
a5,83.53882,29.01117,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Chharka
a6,81.13882,28.78617,1.0,11340.0,5.0,Wood,Kailali,Seti,Far-Western,Sugarkhal
a7,83.98882,28.48617,1.0,11340.0,5.0,Wood,Kaski,Gandaki,West,Machhapuchchhre
a8,83.23882,29.38617,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Tinje
a9,83.01382,29.08617,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Raha
a10,83.31382,28.71117,1.0,11340.0,5.0,Wood,Myagdi,Dhaualagiri,West,Mudi
a11,86.91382,27.73617,1.0,11340.0,5.0,Wood,Solukhumbu,Sagarmatha,East,Chheskam
a12,83.16382,29.31117,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Saldang
a13,80.61382,28.93617,1.0,11340.0,5.0,Wood,Kailali,Seti,Far-Western,Godawari
a14,83.91382,29.01117,1.0,11340.0,5.0,Wood,Mustang,Dhaualagiri,West,Surkhang
a15,82.03882,30.28617,1.0,11340.0,5.0,Wood,Humla,Karnali,Mid-Western,Thehe
a16,83.38882,29.31117,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Tinje
a17,80.68882,28.86117,1.0,11340.0,5.0,Wood,Kailali,Seti,Far-Western,Khairala
a18,83.46382,28.71117,1.0,11340.0,5.0,Wood,Myagdi,Dhaualagiri,West,Mudi
a19,84.13882,28.41117,1.0,11340.0,5.0,Wood,Kaski,Gandaki,West,Namarjung
a20,83.08882,29.16117,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Phoksundo
a21,84.13882,28.78617,1.0,11340.0,5.0,Wood,Manang,Gandaki,West,Nar
a22,85.11382,28.33617,1.0,11340.0,5.0,Wood,Dhading,Bagmati,Central,Sertung
a23,84.06382,29.01117,1.0,11340.0,5.0,Wood,Mustang,Dhaualagiri,West,Surkhang
a24,83.01382,29.61117,1.0,11340.0,5.0,Wood,Dolpa,Karnali,Mid-Western,Bhijer
a25,86.83882,27.73617,2.0,11340.0,10.0,Wood,Solukhumbu,Sagarmatha,East,Chaurikharka
a26,84.36382,28.78617,2.0,11340.0,10.0,Wood,Manang,Gandaki,West,Fu
a27,84.13882,28.56117,2.0,11340.0,10.0,Wood,Manang,Gandaki,West,Pisang
a28,83.16382,29.01117,2.0,11340.0,10.0,Wood,Dolpa,Karnali,Mid-Western,Mukot
a29,83.01382,29.23617,2.0,11340.0,10.0,Wood,Dolpa,Karnali,Mid-Western,Phoksundo
a30,82.86382,28.86117,2.0,11340.0,10.0,Wood,Dolpa,Karnali,Mid-Western,Dunai
a31,85.03882,28.56117,2.0,11340.0,10.0,Wood,Gorkha,Gandaki,West,Chumchet
a33,83.31382,28.78617,2.0,11340.0,10.0,Wood,Dolpa,Karnali,Mid-Western,Mukot
a34,81.88882,28.18617,2.0,11340.0,10.0,Wood,Banke,Bheri,Mid-Western,Kanchanapur
a35,83.23882,29.31117,2.0,11340.0,10.0,Wood,Dolpa,Karnali,Mid-Western,Tinje
a36,84.13882,29.16117,2.0,11340.0,10.0,Wood,Mustang,Dhaualagiri,West,Chhoser
a37,84.21382,28.78617,2.0,11340.0,10.0,Wood,Manang,Gandaki,West,Fu
a38,86.83882,27.96117,2.0,11340.0,10.0,Wood,Solukhumbu,Sagarmatha,East,Khumjung
a39,87.58882,27.73617,2.0,11340.0,10.0,Wood,Sankhuwasabha,Koshi,East,Chepuwa
