rup_mag,rup_ztor,dist_rrup,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2,3
5.00,50.00,50.2493782,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,52.2015343,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,55.9016991,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,61.0327797,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,67.2681198,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,74.3303452,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,82.0060959,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,90.1387787,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,98.6154175,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,107.3545530,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,116.2970350,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,125.3993610,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
5.00,50.00,134.6291200,TOTAL_STDDEV,5,0.9500000,0.9500000,0.950000048,0.950000048,0.950000048,0.950000048,1.0500000,1.14999998
