rup_mag,rup_rake,dist_rrup,site_vs30,rup_hypo_depth,result_type,damping,0.075,0.1,0.2,0.3,0.4,0.5,0.75,1,1.5,2,3,pga
5,0,5,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,5,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,5,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,20,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,20,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,20,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,50,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,50,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,50,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,100,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,100,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,100,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,200,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,200,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,0,200,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,5,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,5,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,5,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,20,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,20,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,20,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,50,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,50,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,50,800,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,100,200,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
5,90,100,500,10,TOTAL_STDDEV,5,0.703022688,0.681122493,0.654110021,0.670719763,0.731225335,0.727529738,0.673724513,0.670027559,0.59594816,0.59594816,0.533976825,0.668938301
