ZTOR,Delta sigma,kappa,Geometric spreading,Q,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
1,2,2,1,3,39,5,0.01,4.35887482,0.39871625,-0.13613776,-1.6758447,-0.00547211,0.000546,1.30073151,0.43635062,0.18048236,-0.14500137
1,2,2,2,1,40,5,0.01,7.21887926,0.23115104,-0.16953228,-2.12880643,-0.0075598,0.00093718,3.21402969,0.31872896,0.58126616,-0.49867182
1,2,2,2,2,41,5,0.01,6.10083503,0.28104645,-0.15790184,-1.92690264,-0.0068669,0.00080202,2.36998314,0.35573553,0.49227647,-0.44667019
1,2,2,2,3,42,5,0.01,4.44956438,0.39603006,-0.1366883,-1.69656999,-0.00550988,0.00054488,1.37173067,0.4286872,0.40885502,-0.32979013
1,2,2,3,1,43,5,0.01,6.79903806,0.2500356,-0.16675781,-2.05123429,-0.00750591,0.0009351,2.77480653,0.33878787,1.28455062,-1.30133625
1,2,2,3,2,44,5,0.01,5.75269438,0.30057833,-0.15514875,-1.86777344,-0.00680432,0.00079884,2.05437199,0.37595735,1.21155351,-1.24847272
1,2,2,3,3,45,5,0.01,4.1912185,0.41514955,-0.13414583,-1.65872661,-0.00543703,0.00054041,1.21169315,0.44733274,1.14841718,-1.13243754
1,2,3,1,1,46,5,0.01,6.69704708,0.19441019,-0.18606791,-1.97490138,-0.00730303,0.00088064,2.5960535,0.34843622,0.3167203,-0.27875689
1,2,3,1,2,47,5,0.01,5.80246634,0.23852596,-0.17599864,-1.82087121,-0.00659391,0.00074888,1.97228232,0.38266664,0.25525244,-0.2142363
1,2,3,1,3,48,5,0.01,4.47460757,0.3369684,-0.15799014,-1.64726325,-0.00523318,0.00050588,1.24384414,0.44497265,0.19615801,-0.09206205
1,2,3,2,1,49,5,0.01,6.84068584,0.19167012,-0.18670958,-2.00844177,-0.00733481,0.00087879,2.75467288,0.34040559,0.55684136,-0.46362285
1,2,3,2,2,50,5,0.01,5.92054615,0.23569276,-0.17661367,-1.84805348,-0.00662868,0.00074739,2.08892487,0.37466465,0.48974497,-0.39926288
1,2,3,2,3,51,5,0.01,4.56096986,0.33437945,-0.15851517,-1.66710319,-0.00527157,0.00050485,1.30908828,0.43751632,0.42363546,-0.27676722
1,2,3,3,1,52,5,0.01,6.45597264,0.2111104,-0.18391363,-1.9403073,-0.00727636,0.00087612,2.37884543,0.3608844,1.26828073,-1.26580365
1,2,3,3,2,53,5,0.01,5.59923276,0.25521389,-0.1739111,-1.79545291,-0.0065628,0.00074378,1.81986793,0.39455808,1.21515109,-1.20121519
1,2,3,3,3,54,5,0.01,4.31178062,0.35326736,-0.15602817,-1.63109809,-0.00519752,0.00050022,1.16166517,0.45567409,1.165091,-1.07964406
1,3,1,1,1,55,5,0.01,8.87033246,0.29526049,-0.15159341,-2.46769243,-0.00807027,0.00106654,3.95140101,0.29073458,0.44563659,-0.30756139
1,3,1,1,2,56,5,0.01,7.46453466,0.34480506,-0.13793661,-2.18450928,-0.00738691,0.00093215,2.98089279,0.32268079,0.29477081,-0.28659866
1,3,1,1,3,57,5,0.01,5.2058884,0.47728489,-0.11115593,-1.81663122,-0.00598731,0.00065707,1.58169134,0.40394926,0.13876444,-0.23810627
1,3,1,2,1,58,5,0.01,9.04702951,0.29350092,-0.15214329,-2.51081402,-0.0080976,0.00106411,4.15408519,0.28435255,0.69343968,-0.49135951
1,3,1,2,2,59,5,0.01,7.62158461,0.34231944,-0.13856909,-2.22174663,-0.00741675,0.00093001,3.15654141,0.31518485,0.53824227,-0.47136863
1,3,1,2,3,60,5,0.01,5.31425526,0.47428866,-0.11178859,-1.84115472,-0.00602285,0.00065565,1.67645298,0.39583553,0.37095404,-0.42324887
1,3,1,3,1,61,5,0.01,8.56849698,0.31077422,-0.14951228,-2.41645023,-0.00805156,0.00106305,3.64152937,0.30165004,1.3832391,-1.29587581
1,3,1,3,2,62,5,0.01,7.20649848,0.3612304,-0.13579577,-2.14527406,-0.00736238,0.00092789,2.73871772,0.33443372,1.24196952,-1.27353251
1,3,1,3,3,63,5,0.01,5.01791461,0.4941365,-0.10906594,-1.7952227,-0.00595456,0.00065176,1.46330729,0.41558909,1.10225343,-1.22494287
1,3,2,1,1,64,5,0.01,7.65751094,0.2302823,-0.17658198,-2.1257356,-0.00782799,0.00097879,3.13244378,0.32286792,0.36175453,-0.33897389
1,3,2,1,2,65,5,0.01,6.54794316,0.2746999,-0.16522705,-1.91728283,-0.00713696,0.00084299,2.29909683,0.35984456,0.27088124,-0.28240425
1,3,2,1,3,66,5,0.01,4.91973398,0.38444013,-0.14423305,-1.6844607,-0.0057228,0.00057651,1.3340419,0.43172809,0.18916908,-0.15779842
1,3,2,2,1,67,5,0.01,7.81933593,0.22783895,-0.17721029,-2.16415939,-0.00785747,0.00097664,3.32078574,0.31516424,0.60598309,-0.52348242
1,3,2,2,2,68,5,0.01,6.68022604,0.27190073,-0.1658635,-1.9479795,-0.00716991,0.00084127,2.43929959,0.35178848,0.50860862,-0.46744255
1,3,2,2,3,69,5,0.01,5.01091872,0.38179037,-0.14478018,-1.70536816,-0.00576042,0.00057536,1.40665699,0.42411179,0.41771379,-0.34259453
1,3,2,3,1,70,5,0.01,7.38683784,0.24668891,-0.17441941,-2.08348606,-0.0078051,0.00097476,2.86396586,0.33527167,1.30664191,-1.32634507
