ZTOR,Delta sigma,kappa,Geometric spreading,Q,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
1,1,1,1,1,1,5,0.01,7.81834596,0.17672615,-0.15311991,-2.36609974,-0.00678797,0.00088347,6.66204572,0.21180336,0.38014013,-0.2095927
1,1,1,1,2,2,5,0.01,6.91251381,0.22667865,-0.14233442,-2.20203711,-0.00608317,0.00075138,6.2818117,0.21745533,0.32544265,-0.20622781
1,1,1,1,3,3,5,0.01,5.458841,0.32581007,-0.12397057,-1.97047336,-0.00489496,0.0005147,5.59292293,0.2320128,0.29268847,-0.19675595
1,1,1,2,1,4,5,0.01,7.9753847,0.17746991,-0.15320904,-2.40879263,-0.00681708,0.0008816,6.88087641,0.20813226,0.62657965,-0.39307171
1,1,1,2,2,5,5,0.01,7.06467783,0.22736171,-0.14242648,-2.24351779,-0.00611279,0.00074957,6.5038402,0.21348029,0.57122156,-0.3901254
1,1,1,2,3,6,5,0.01,5.60318487,0.32636133,-0.12407295,-2.00991919,-0.0049254,0.000513,5.81599888,0.22742173,0.53721366,-0.38125614
1,1,1,3,1,7,5,0.01,7.49542079,0.18490409,-0.1519315,-2.29608646,-0.00678335,0.00088247,6.24769213,0.21936073,1.29479157,-1.19318052
1,1,1,3,2,8,5,0.01,6.60550659,0.23506611,-0.14114145,-2.13610872,-0.00607652,0.00075012,5.87458825,0.22545825,1.2429977,-1.18901734
1,1,1,3,3,9,5,0.01,5.17170144,0.33460996,-0.1227517,-1.90990314,-0.00488555,0.00051307,5.19846709,0.24101891,1.21411204,-1.17856444
1,1,2,1,1,10,5,0.01,6.82149353,0.13849559,-0.16880596,-2.12741187,-0.00671881,0.00083046,6.34389011,0.22169385,0.38184068,-0.2491537
1,1,2,1,2,11,5,0.01,6.02668848,0.18056044,-0.15982579,-1.98970686,-0.00604184,0.00070088,5.87121664,0.22934599,0.34920291,-0.2139681
1,1,2,1,3,12,5,0.01,4.86617567,0.26451256,-0.14477182,-1.82524268,-0.00485997,0.00047283,5.20858497,0.24414414,0.33176916,-0.12619873
1,1,2,2,1,13,5,0.01,6.97665358,0.13918057,-0.16890491,-2.16953104,-0.00674792,0.00082859,6.57874567,0.21746456,0.62776802,-0.43267215
