Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,1,5,0.01,6.80692486,0.07097268,-0.17624306,-2.00885266,-0.00711713,0.00085329,5.97768804,0.22242434,0.61085277,-0.44729839
original,2,5,0.01,7.12842201,0.19114959,-0.17428283,-2.00534217,-0.00696984,0.00082158,5.7062895,0.23547237,0.89659723,-0.81130904
original,3,5,0.01,8.38858859,0.33559081,-0.14590968,-2.41401716,-0.00512985,0.00056471,6.3500407,0.22099341,1.29747603,-0.82765564
original,1,5,0.025,7.54008087,0.03210334,-0.18052849,-2.09616897,-0.00698559,0.00087095,6.24314748,0.21488149,0.59529383,-0.44104206
original,2,5,0.025,7.68211395,0.21473752,-0.16449719,-2.1602384,-0.00690108,0.00087282,6.24646127,0.2250105,0.92354594,-0.8456262
original,3,5,0.025,8.7708497,0.32169363,-0.13481966,-2.39911155,-0.00525624,0.00066944,6.6119101,0.205503,0.90966749,-0.71673134
original,1,5,0.05,7.72932274,-0.00076927,-0.17673827,-2.03025087,-0.00687155,0.00095631,6.35257817,0.19743897,0.31342693,-0.46023891
original,2,5,0.05,7.67612548,0.12987884,-0.16680033,-1.94967404,-0.00693249,0.00096442,5.92477994,0.2098539,0.54436005,-0.8883117
original,3,5,0.05,8.41663935,0.19660138,-0.15250475,-2.04852409,-0.00504063,0.00063807,6.34222471,0.18863614,0.78510448,-1.00421811
original,1,5,0.075,7.23804075,0.01823279,-0.16865785,-1.91222082,-0.00687425,0.00100373,6.06000144,0.1922807,0.10918363,-0.43198038
original,2,5,0.075,7.36168465,0.10048303,-0.16751513,-1.7915355,-0.00685151,0.00097774,5.49575425,0.20365023,0.3271646,-0.83290585
original,3,5,0.075,8.10132574,0.16384048,-0.16125122,-1.90052487,-0.00468172,0.00055266,5.78803691,0.19343232,0.70491102,-0.9084634
original,1,5,0.1,6.95770735,0.00216177,-0.16682553,-1.79976499,-0.00720611,0.00104968,6.10082137,0.18123032,0.03078241,-0.43273056
original,2,5,0.1,7.28250633,0.06464203,-0.17250991,-1.68861607,-0.00702641,0.00097085,5.43461826,0.19606098,0.22298761,-0.71388576
original,3,5,0.1,8.02820329,0.12215744,-0.17210887,-1.79748725,-0.00457728,0.00049549,5.51047542,0.196877,0.58212863,-0.69271048
original,1,5,0.15,6.7584526,-0.04883231,-0.17471028,-1.635213,-0.00784239,0.00103514,6.31770291,0.16266643,-0.00310947,-0.31609111
original,2,5,0.15,7.60662099,-0.03528517,-0.19543758,-1.55946744,-0.00717992,0.00087651,5.50430474,0.18406445,0.25417929,-0.61601084
original,3,5,0.15,8.57052879,-0.01455575,-0.20426233,-1.67959676,-0.00451233,0.000417,5.63778761,0.18616153,0.57228666,-0.55317512
original,1,5,0.2,6.85730314,-0.10524259,-0.19228454,-1.53993317,-0.00804926,0.00092627,6.25547897,0.15975098,0.03896882,-0.16139902
original,2,5,0.2,8.06260522,-0.12071773,-0.22273873,-1.500753,-0.00703951,0.00072856,5.49189966,0.18266817,0.35376983,-0.51080554
original,3,5,0.2,9.15311444,-0.13364133,-0.23817845,-1.60513033,-0.00441093,0.00032247,5.6163761,0.18389108,0.69374365,-0.56314445
original,1,5,0.3,7.2666607,-0.20467879,-0.23026302,-1.45728581,-0.00756214,0.00067898,5.96292395,0.1664742,0.17251382,0.03490914
original,2,5,0.3,8.68281493,-0.23773725,-0.27027534,-1.43605609,-0.00636132,0.00046617,5.14510129,0.19463106,0.51545959,-0.34991172
original,3,5,0.3,9.75892827,-0.27547352,-0.28869759,-1.51749381,-0.00390429,0.00017133,5.50098348,0.18314109,0.88057389,-0.62365512
original,1,5,0.4,7.63117407,-0.29440124,-0.26130103,-1.40272522,-0.00730523,0.00055568,5.97334452,0.16327814,0.28133345,0.12442795
original,2,5,0.4,8.91787108,-0.3113754,-0.30165773,-1.38248464,-0.00615449,0.00036161,5.19629648,0.1892616,0.62537346,-0.27273924
original,3,5,0.4,9.861244,-0.33715768,-0.31868151,-1.46271238,-0.00386277,0.00012333,5.63143193,0.17526305,1.02756221,-0.66936434
original,1,5,0.5,7.90857617,-0.35473132,-0.28467248,-1.38524807,-0.00703766,0.00048099,6.11075911,0.1590438,0.37703617,0.16006984
original,2,5,0.5,8.91418242,-0.34082657,-0.32159375,-1.35532522,-0.0060277,0.0003122,5.33717996,0.18242935,0.6993831,-0.21864677
original,3,5,0.5,9.68214439,-0.34830044,-0.33611117,-1.43034494,-0.00385661,0.00010398,5.75712739,0.16901583,1.12611229,-0.69446825
original,1,5,0.75,8.16397448,-0.44080504,-0.32231209,-1.35832124,-0.0066121,0.00042998,6.32888016,0.15205667,0.47407767,0.19923388
original,2,5,0.75,8.32870571,-0.32352755,-0.34488673,-1.31462464,-0.00590089,0.00029981,5.51235644,0.17386018,0.7695333,-0.12211564
original,3,5,0.75,8.72226892,-0.28317295,-0.35252513,-1.3893224,-0.00404703,0.00013017,5.8831312,0.16398024,1.2506738,-0.68416826
original,1,5,1,8.04195625,-0.47805625,-0.34377973,-1.32577135,-0.00660586,0.00045936,6.50846789,0.14510041,0.50048339,0.23959274
original,2,5,1,7.45279573,-0.26313391,-0.35168968,-1.27925122,-0.00600224,0.00034509,5.61901521,0.16796811,0.7865293,-0.05913595
original,3,5,1,7.58417461,-0.18858613,-0.35393686,-1.35458447,-0.00444468,0.00020386,5.95883823,0.16084278,1.30488383,-0.65617047
original,1,5,1.5,7.37317079,-0.46105794,-0.36475857,-1.28868871,-0.0066567,0.00050512,6.57605587,0.14447482,0.55908388,0.24546915
original,2,5,1.5,5.65280271,-0.09470128,-0.34837841,-1.25220907,-0.00601804,0.00040837,5.65515227,0.16885838,0.84280566,-0.07762416
original,3,5,1.5,5.36936291,0.02874899,-0.34205015,-1.31703668,-0.0050929,0.00031357,5.89405112,0.16594527,1.39080795,-0.63808212
original,1,5,2,6.41627189,-0.37213659,-0.36946304,-1.28582684,-0.00642262,0.00051221,6.45934719,0.15106864,0.56424156,0.27860262
original,2,5,2,3.92490535,0.0949704,-0.33563205,-1.25558783,-0.00579981,0.00043536,5.5464873,0.17600103,0.84935124,-0.07325377
original,3,5,2,3.37794104,0.25184863,-0.32320302,-1.31897195,-0.00522554,0.00036746,5.71109571,0.17652035,1.41417887,-0.60670489
original,1,5,3,4.13880892,-0.13444881,-0.35853214,-1.2677561,-0.00626208,0.00052624,5.95100772,0.16729301,0.57960593,0.3060737
original,2,5,3,0.80131534,0.44301934,-0.30377978,-1.25203957,-0.00566495,0.00046754,5.07706021,0.19420639,0.89027097,-0.09976123
original,3,5,3,-0.02574052,0.63282302,-0.28427394,-1.31291267,-0.00549299,0.00044281,5.13764796,0.19864577,1.46423116,-0.60369907
original,1,5,4,1.87629879,0.09663451,-0.33798872,-1.23427032,-0.00632047,0.00058689,5.28423605,0.17971843,0.53018403,0.36687148
original,2,5,4,-1.80249725,0.70855686,-0.27372814,-1.21675465,-0.00590873,0.00055258,4.43769251,0.20712771,0.84835183,-0.04845071
original,3,5,4,-2.73319177,0.91333691,-0.25087419,-1.28426513,-0.00580965,0.00053768,4.40096035,0.21715837,1.43107439,-0.55091266
original,1,5,5,-0.1042661,0.30985522,-0.3157041,-1.22720731,-0.00637622,0.00064179,4.64483885,0.19603015,0.49573345,0.43449049
original,2,5,5,-3.84385178,0.92083703,-0.2478633,-1.21027483,-0.00611966,0.00062553,3.88611366,0.22206747,0.82088982,0.01900472
original,3,5,5,-4.78157062,1.12745883,-0.22401481,-1.2830848,-0.00604226,0.00061353,3.78770836,0.23655952,1.40803332,-0.48115848
original,1,5,7.5,-3.75678219,0.7553944,-0.26733938,-1.30858705,-0.00622428,0.00069242,3.78044612,0.23358012,0.52353808,0.54102213
original,2,5,7.5,-7.08621107,1.29323378,-0.20374185,-1.29292983,-0.00620774,0.0006945,3.25012099,0.25173533,0.85445405,0.14910208
original,3,5,7.5,-7.85919123,1.48514712,-0.18116863,-1.38601059,-0.00611943,0.00068341,3.15478164,0.26959748,1.45555663,-0.35174239
original,1,5,10,-6.24709413,1.09430774,-0.22964973,-1.43334048,-0.00587209,0.00067891,3.68065121,0.24999498,0.59043009,0.62557896
original,2,5,10,-8.94688083,1.53217809,-0.17668221,-1.41470674,-0.00597119,0.00068835,3.28727447,0.25972786,0.91911506,0.24831549
original,3,5,10,-9.49814716,1.7020949,-0.15690909,-1.52611061,-0.00587012,0.0006771,3.23126307,0.27658896,1.52814771,-0.2465918
updated,1,5,0.01,7.60858982,0.1506876,-0.17575542,-2.28097285,-0.00704325,0.00083931,6.96409233,0.22888745,1.42690486,-1.02493736
updated,2,5,0.01,7.19787281,0.17086324,-0.17679294,-1.99088011,-0.00668494,0.00080721,5.65571353,0.23461306,1.12716628,-1.06663771
updated,3,5,0.01,8.1733963,0.39757017,-0.137388,-2.45980039,-0.00505355,0.0005469,7.23237719,0.22489418,1.23351469,-0.68774722
updated,1,5,0.025,8.15314138,0.10893551,-0.18059652,-2.31179547,-0.00691739,0.00085628,6.90998044,0.22628567,1.30669924,-0.9554898
updated,2,5,0.025,7.65136952,0.21019647,-0.16512884,-2.14560765,-0.00660671,0.00085182,6.1496138,0.2263502,1.17529954,-1.12281158
updated,3,5,0.025,8.21615194,0.36654996,-0.12757904,-2.32981216,-0.00517728,0.00066267,7.28115744,0.20830927,0.72219396,-0.59209796
updated,1,5,0.05,7.86937011,0.08660138,-0.17539692,-2.14400271,-0.00679946,0.00094279,6.30535234,0.22328697,0.8873045,-0.93121322
updated,2,5,0.05,7.52644708,0.1149505,-0.16709087,-1.89079065,-0.00680707,0.00095636,5.74640407,0.2090991,0.74467393,-1.1198659
updated,3,5,0.05,6.91617197,0.23510204,-0.14349013,-1.75290701,-0.00507061,0.00065676,5.27879747,0.21819331,0.41742758,-0.91691303
updated,1,5,0.075,6.93225754,0.08771768,-0.16558956,-1.90073208,-0.00699724,0.0010329,5.52490069,0.22120619,0.61697575,-0.9822499
updated,2,5,0.075,7.43797147,0.07027511,-0.17141718,-1.75594032,-0.00679997,0.00096692,5.38049807,0.20399114,0.53123425,-1.00990526
updated,3,5,0.075,6.59124755,0.22303568,-0.14928574,-1.64803774,-0.00485905,0.00057239,4.60690506,0.23154689,0.37331562,-0.74019648
updated,1,5,0.1,6.58431834,0.06656919,-0.16337607,-1.7710758,-0.00741288,0.00108637,5.45723093,0.21007836,0.57432971,-1.02632961
updated,2,5,0.1,7.43383461,0.03530474,-0.17695506,-1.67258089,-0.00695758,0.00095733,5.37208519,0.19646843,0.45035703,-0.89572921
updated,3,5,0.1,6.53479155,0.20070245,-0.15603179,-1.59637428,-0.004762,0.00052161,4.67095793,0.2231845,0.4069562,-0.65976443
updated,1,5,0.15,6.64122072,-0.01185812,-0.1761771,-1.62573078,-0.00814727,0.0010716,5.58163611,0.19457414,0.6382357,-0.96665223
updated,2,5,0.15,7.78702075,-0.0605559,-0.19929653,-1.55976545,-0.00708176,0.00086444,5.53994623,0.18261328,0.45154246,-0.74625658
updated,3,5,0.15,7.42785646,0.05350639,-0.19225236,-1.53009958,-0.00460166,0.00041906,4.94162572,0.20717688,0.44587093,-0.52338078
