Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,1,5,0.05,5.6606507900E+00,9.6443460000E-02,-1.6432669000E-01,-1.7225966200E+00,-6.6940700000E-03,9.4093000000E-04,2.9053106100E+00,3.1364249000E-01,1.9275192000E-01,-6.7487700000E-01
original,2,5,0.05,5.6753622800E+00,2.0210113000E-01,-1.5660270000E-01,-1.7227934100E+00,-6.5496300000E-03,9.0222000000E-04,2.2001168700E+00,3.4227823000E-01,3.1956333000E-01,-8.1315923000E-01
original,3,5,0.05,5.9345679300E+00,2.7225986000E-01,-1.4436931000E-01,-1.7743778400E+00,-6.8603100000E-03,9.5849000000E-04,2.1828478600E+00,3.4912116000E-01,3.4882919000E-01,-8.7425210000E-01
original,4,5,0.05,6.1179505100E+00,2.7177664000E-01,-1.4154686000E-01,-1.7305662200E+00,-6.5418100000E-03,8.8297000000E-04,2.2468902800E+00,3.3588650000E-01,3.4031851000E-01,-8.6129932000E-01
original,5,5,0.05,4.9913619700E+00,4.2354761000E-01,-1.1591996000E-01,-1.6005104900E+00,-5.0568400000E-03,6.3678000000E-04,9.1546207000E-01,4.6942031000E-01,3.8744394000E-01,-1.0490928300E+00
original,1,5,0.075,5.6740884700E+00,1.0847059000E-01,-1.5586840000E-01,-1.7119354100E+00,-6.7367700000E-03,1.0040300000E-03,3.0619877000E+00,2.9666014000E-01,4.2463150000E-02,-6.1898949000E-01
original,2,5,0.075,5.7876958900E+00,1.7940830000E-01,-1.5367511000E-01,-1.6680241700E+00,-6.5925200000E-03,9.5429000000E-04,2.3016304000E+00,3.2555138000E-01,5.2986690000E-02,-6.4360682000E-01
original,3,5,0.075,5.5582433500E+00,2.4631576000E-01,-1.4525483000E-01,-1.6005352500E+00,-6.7918600000E-03,9.6415000000E-04,1.2975917100E+00,4.0504959000E-01,8.5924550000E-02,-7.6436820000E-01
original,4,5,0.075,6.4799821300E+00,2.1855815000E-01,-1.4965086000E-01,-1.6857911100E+00,-6.5734700000E-03,8.6302000000E-04,3.4783518800E+00,2.6868606000E-01,1.5404615000E-01,-5.8322355000E-01
original,5,5,0.075,4.9022603300E+00,4.1567422000E-01,-1.2094080000E-01,-1.5654297900E+00,-4.6452500000E-03,5.5086000000E-04,7.6859509000E-01,4.9232637000E-01,4.8371841000E-01,-1.0401962300E+00
original,1,5,0.1,5.4033277800E+00,1.0075981000E-01,-1.5131680000E-01,-1.6078712400E+00,-7.1968700000E-03,1.0584500000E-03,3.0781260400E+00,2.8463534000E-01,-1.0485472000E-01,-5.0989917000E-01
original,2,5,0.1,5.8421519700E+00,1.6256576000E-01,-1.5379243000E-01,-1.6212761000E+00,-6.8324200000E-03,9.7216000000E-04,2.9573694700E+00,2.8406529000E-01,-4.6176430000E-02,-5.2567547000E-01
original,3,5,0.1,5.6312467400E+00,2.0449465000E-01,-1.5140424000E-01,-1.5221377300E+00,-6.9786300000E-03,9.5423000000E-04,1.1133352800E+00,4.1911967000E-01,7.2487800000E-03,-6.4181007000E-01
original,4,5,0.1,6.2024408600E+00,1.8632490000E-01,-1.5515764000E-01,-1.5471181800E+00,-6.7205400000E-03,8.4774000000E-04,2.5987372500E+00,2.9976370000E-01,6.4842140000E-02,-4.9700227000E-01
