Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,1,5,0.01,9.1735820400E+00,1.5305517000E-01,-1.6783402000E-01,-2.6880489500E+00,-6.9210100000E-03,8.4013000000E-04,1.2853634350E+01,1.5605587000E-01,1.0590227300E+00,-2.8935369000E-01
original,2,5,0.01,6.0181079300E+00,2.8117508000E-01,-1.5941128000E-01,-1.8965836800E+00,-6.9798700000E-03,8.1798000000E-04,2.9595323300E+00,3.2681822000E-01,7.7767619000E-01,-7.8238981000E-01
original,3,5,0.01,5.5818607500E+00,5.1171798000E-01,-1.1633901000E-01,-2.0520056400E+00,-5.2308200000E-03,5.7033000000E-04,2.3749700000E+00,3.6657672000E-01,9.1597792000E-01,-7.2556058000E-01
original,1,5,0.025,9.8960241800E+00,1.2031310000E-01,-1.7103265000E-01,-2.7828563100E+00,-6.7756000000E-03,8.5931000000E-04,1.3009649420E+01,1.5235726000E-01,1.0367840700E+00,-2.7558976000E-01
original,2,5,0.025,7.0216117500E+00,3.0367757000E-01,-1.5130546000E-01,-2.1554411800E+00,-6.8268300000E-03,8.5707000000E-04,4.0855968000E+00,2.8928090000E-01,8.8716130000E-01,-8.0386304000E-01
original,3,5,0.025,5.6090011000E+00,4.8545701000E-01,-1.0562541000E-01,-1.9249298600E+00,-5.2872800000E-03,6.8486000000E-04,1.9776629800E+00,3.7360436000E-01,3.6809256000E-01,-6.0570006000E-01
original,1,5,0.05,8.9079550500E+00,7.4456300000E-02,-1.6752112000E-01,-2.4239497300E+00,-6.7217400000E-03,9.5869000000E-04,1.0750928440E+01,1.5642719000E-01,5.9219674000E-01,-4.2528508000E-01
original,2,5,0.05,5.9345679300E+00,2.7225986000E-01,-1.4436931000E-01,-1.7743778400E+00,-6.8603100000E-03,9.5849000000E-04,2.1828478600E+00,3.4912116000E-01,3.4882919000E-01,-8.7425210000E-01
original,3,5,0.05,4.8774428300E+00,4.1318054000E-01,-1.1489195000E-01,-1.5715938300E+00,-5.1109300000E-03,6.5464000000E-04,8.4185492000E-01,4.7394741000E-01,1.9624609000E-01,-8.2902974000E-01
original,1,5,0.075,7.7330258800E+00,9.5248200000E-02,-1.5806090000E-01,-2.1506832600E+00,-6.7773900000E-03,1.0158700000E-03,9.0142960900E+00,1.6434859000E-01,3.0771400000E-01,-4.7345987000E-01
original,2,5,0.075,5.5582433500E+00,2.4631576000E-01,-1.4525483000E-01,-1.6005352500E+00,-6.7918600000E-03,9.6415000000E-04,1.2975917100E+00,4.0504959000E-01,8.5924550000E-02,-7.6436820000E-01
original,3,5,0.075,4.7340020600E+00,4.1761351000E-01,-1.1815852000E-01,-1.5418568500E+00,-4.9503300000E-03,5.6838000000E-04,7.0864581000E-01,4.9786139000E-01,2.3548705000E-01,-6.4170006000E-01
original,1,5,0.1,7.2385014200E+00,7.6976910000E-02,-1.5561494000E-01,-1.9879728700E+00,-7.2413000000E-03,1.0703200000E-03,8.8025427300E+00,1.5581922000E-01,1.9625846000E-01,-4.5243980000E-01
original,2,5,0.1,5.6312467400E+00,2.0449465000E-01,-1.5140424000E-01,-1.5221377300E+00,-6.9786300000E-03,9.5423000000E-04,1.1133352800E+00,4.1911967000E-01,7.2487800000E-03,-6.4181007000E-01
original,3,5,0.1,4.8275929800E+00,3.9435325000E-01,-1.2644491000E-01,-1.5185284900E+00,-4.8069000000E-03,5.0566000000E-04,7.1931996000E-01,4.9358848000E-01,2.6885074000E-01,-5.2450071000E-01
