Model,Weighting Option,Branch,Damping (%),Period,Weight,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,sd1,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10,1,2,3,4,5,6,7,8,9,10,N,Neq,Nst,c
'5-branches',original,1,5,0.01,0.101,5.72532883,0.03673235,-0.18125109,-1.69847546,-0.00719598,0.00086644,5.12140454,0.23397659,0.35123435,-0.48042614,0.2302,0.63367,0.04888,0.00701,0.14489,0.0003,4.00E-05,1.09393,0.02486,0.16881,0.12636,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.01,0.244,6.63782832,0.07227506,-0.19241207,-1.76536955,-0.00668442,0.00077182,5.30917552,0.22295101,0.49000689,-0.59272749,0.2147,0.58813,0.04537,0.00653,0.13452,0.00028,4.00E-05,1.00005,0.02165,0.158,0.11781,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.01,0.309,7.38754378,0.18716304,-0.17447594,-2.06890914,-0.00695798,0.00081802,6.13825395,0.22594665,0.94244032,-0.78707877,0.199,0.62746,0.04271,0.00607,0.14687,0.00027,3.00E-05,1.00664,0.01887,0.15638,0.10944,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.01,0.244,7.19526982,0.1599901,-0.17760124,-1.89246411,-0.00660503,0.00075072,5.59275896,0.22148914,0.7619012,-0.72322831,0.2095,0.59763,0.04442,0.00638,0.13788,0.00028,4.00E-05,0.98318,0.02014,0.15753,0.11495,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.01,0.101,8.19251321,0.39468954,-0.13830536,-2.45721744,-0.00497408,0.00054415,7.18265563,0.22632152,1.32774051,-0.8435262,0.2179,0.80192,0.04754,0.00665,0.18977,0.0003,4.00E-05,1.19804,0.01934,0.18209,0.12131,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,1,5,0.025,0.101,5.91121575,0.02625018,-0.18180424,-1.70997438,-0.00697496,0.00087685,5.07651303,0.23561661,0.32860656,-0.55981052,0.2281,0.62653,0.04846,0.00695,0.14315,0.0003,4.00E-05,1.06789,0.02453,0.16693,0.12522,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,2,5,0.025,0.244,6.50323495,0.11658162,-0.18208398,-1.80251982,-0.00656674,0.00080019,5.3875258,0.22323661,0.50436185,-0.68567137,0.2165,0.60112,0.04581,0.00659,0.1379,0.00028,4.00E-05,1.01164,0.02158,0.16041,0.11879,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,3,5,0.025,0.309,8.00019524,0.2143111,-0.16534928,-2.23927472,-0.006832,0.0008596,6.662418,0.21864719,0.96867185,-0.80667132,0.2031,0.67605,0.04368,0.00619,0.15932,0.00027,4.00E-05,1.05648,0.01807,0.16423,0.11189,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,4,5,0.025,0.244,7.32345976,0.21213736,-0.16119047,-1.99528264,-0.00646404,0.00081609,5.82880027,0.21670457,0.81556608,-0.926089,0.2203,0.64172,0.04671,0.0067,0.14871,0.00029,4.00E-05,1.02948,0.0201,0.16783,0.12085,0,0,0,0,0,0,0,0,0,0,320,1,1,10
'5-branches',original,5,5,0.025,0.101,8.272916,0.3788375,-0.12679748,-2.35995518,-0.00517531,0.00065333,7.38818339,0.20884855,0.82747569,-0.67953553,0.2332,0.83254,0.05024,0.0071,0.19753,0.00032,4.00E-05,1.31659,0.02002,0.19552,0.1289,0,0,0,0,0,0,0,0,0,0,320,1,1,10
