lon,lat,unit,susc_cat,gwd,vs30,cti
-76.54054847,3.4436166810000004,Qd,l,1.25,425.0,4.886984
-76.56501261,3.454420839,Qd,l,1.25,425.0,3.6548288
-76.5602969,3.454564697,Qd,l,1.25,425.0,2.8816383
-76.53851896,3.4426929530000003,Qd,l,1.25,425.0,5.4466
-76.56828446,3.4518966210000004,Qd,l,1.25,555.0,9.813133
-76.54365228,3.43949469,Qd,l,1.25,425.0,7.274729
-76.54591753,3.4396598010000003,Qd,l,1.25,555.0,5.0836954
-76.53868506,3.44474574,Qd,l,1.25,425.0,4.7534504
-76.56148625,3.4535564410000004,Qd,l,1.25,555.0,3.4151561
-76.53951971,3.442881879,Qd,l,1.25,425.0,5.4466
-76.54394253,3.441290543,Qd,l,1.25,425.0,5.0836954
-76.53953379,3.448614794,Qd,l,1.25,425.0,4.434992
-76.56758894,3.454532373,Qd,l,1.25,425.0,3.6548288
-76.54551747,3.448581064,Qd,l,1.25,425.0,3.555742
-76.57336316,3.453597864,Qd,l,1.25,555.0,3.6548288
-76.54489688,3.439161375,Qd,l,1.25,425.0,6.5705357
-76.56299585,3.454390157,Qd,l,1.25,425.0,3.4151561
-76.54094972,3.436794774,Qd,l,1.25,330.0,7.274729
-76.56298254,3.450906703,Qd,l,1.25,555.0,10.132632
-76.54682466,3.441567725,Qd,l,1.25,555.0,5.0836954
-76.57876613,3.454084408,Qd,l,1.25,555.0,10.063603
-76.55955779,3.45408754,Qd,l,1.25,555.0,2.8816383
-76.5425123,3.4385546010000003,Qd,l,1.25,425.0,7.274729
-76.53829492,3.448197167,Qd,l,1.25,425.0,4.434992
-76.53989413,3.44269818,Qd,l,1.25,425.0,4.886984
-76.53968995,3.440307205,Qd,l,1.25,425.0,4.886984
-76.53994959999999,3.447472352,Qd,l,1.25,425.0,4.4349966
-76.53971201,3.4465790710000004,Qd,l,1.25,425.0,4.4349966
-76.54493181,3.43892759,Qd,l,1.25,425.0,6.5705357
-76.53994544,3.4440561730000003,Qd,l,1.25,425.0,4.4349966
-76.57690194,3.454947046,Qd,l,1.25,555.0,3.6548288
-76.56533344,3.453430033,Qd,l,1.25,555.0,3.6548288
-76.55620803,3.454699774,Qd,l,1.25,425.0,12.397426
-76.56343793,3.454923715,Qd,l,1.25,425.0,3.4151561
-76.54479559,3.443571121,Qd,l,1.25,425.0,5.0836954
-76.53916644,3.44351525,Qd,l,1.25,425.0,5.4466
-76.56441749,3.454429684,Qd,l,1.25,425.0,3.4151561
-76.53887841,3.449268721,Qd,l,1.25,425.0,4.434992
-76.58244476,3.456737346,Qd,l,1.25,555.0,2.6432273
-76.58245744,3.457049033,Qd,l,1.25,555.0,2.6432273
-76.540221,3.4394907439999995,Qd,l,1.25,425.0,7.274729
-76.56279229,3.454508788,Qd,l,1.25,425.0,3.4151561
-76.54286841,3.449093271,Qd,l,1.25,425.0,3.9706867
-76.55904743,3.453711573,Qd,l,1.25,555.0,2.8816383
-76.57209538,3.4526441,Qd,l,1.25,555.0,3.195296
-76.54468509,3.443794739,Qd,l,1.25,425.0,4.0603037
-76.56412602,3.453958392,Qd,l,1.25,555.0,3.4151561
-76.5850285,3.459618377,Qd,l,1.25,555.0,2.6432273
-76.54223890000002,3.444078962,Qd,l,1.25,425.0,4.4349966
-76.54926946,3.445357534,Qd,l,1.25,555.0,3.634219
-76.54212764,3.448711114,Qd,l,1.25,425.0,3.9706867
-76.54947572,3.444909738,Qd,l,1.25,555.0,3.634219
-76.5595416,3.452723645,Qd,l,1.25,555.0,2.8816383
-76.56143169,3.453318365,Qd,l,1.25,555.0,3.4151561
-76.53897061,3.4402748830000003,Qd,l,1.25,425.0,5.4466
-76.5461686,3.438880862,Qd,l,1.25,555.0,6.5705357
-76.56529257,3.454698519,Qd,l,1.25,425.0,3.6548288
-76.53857215,3.4420630780000003,Qd,l,1.25,425.0,5.4466
-76.53607229,3.442765483,Qd,l,1.25,330.0,5.4466
-76.56006386,3.453928276,Qd,l,1.25,555.0,2.8816383
-76.54155759,3.4392265230000003,Qd,l,1.25,425.0,7.274729
-76.56284670000002,3.453590933,Qd,l,1.25,555.0,3.4151561
-76.54631015,3.442932698,Qd,l,1.25,555.0,5.0836954
-76.53960338,3.442466602,Qd,l,1.25,425.0,4.886984
-76.53782609999998,3.444764462,Qd,l,1.25,425.0,4.7534504
-76.54201547,3.441878317,Qd,l,1.25,425.0,4.886984
-76.56251266,3.4546205530000003,Qd,l,1.25,425.0,3.4151561
-76.55330491,3.45389504,Qd,l,1.25,555.0,12.397426
-76.54081307,3.443794307,Qd,l,1.25,425.0,4.4349966
-76.54999537,3.447150831,Qd,l,1.25,555.0,3.634219
-76.56122927,3.450641747,Qd,l,1.25,555.0,10.132632
-76.55683847,3.455244659,Qd,l,1.25,425.0,2.8816383
-76.58269259,3.4568174,Qd,l,1.25,555.0,2.6432273
-76.57517827,3.4541345480000003,Qd,l,1.25,555.0,3.6548288
-76.53906761,3.438704804,Qd,l,1.25,425.0,5.223463
-76.56122046,3.452428411,Qd,l,1.25,555.0,3.4151561
-76.54004643,3.446170274,Qd,l,1.25,425.0,4.4349966
-76.56350676,3.454631983,Qd,l,1.25,425.0,3.4151561
-76.55678452,3.449805793,Qd,l,1.25,555.0,10.6869135
-76.54106055,3.4423056360000004,Qd,l,1.25,425.0,4.886984
-76.54850087,3.449680948,Qd,l,1.25,555.0,3.277539
-76.55218519,3.454282039,Qd,l,1.25,555.0,12.397426
-76.54606690000001,3.44966202,Qd,l,1.25,555.0,3.555742
-76.54284636,3.435235759,Qd,l,1.25,330.0,8.145085
-76.56641201,3.454139795,Qd,l,1.25,555.0,3.6548288
-76.54550523,3.442784328,Qd,l,1.25,425.0,5.0836954
-76.56269513,3.454776255,Qd,l,1.25,425.0,3.4151561
-76.57684816,3.455358317,Qd,l,1.25,555.0,3.6548288
-76.5373172,3.441303904,Qd,l,1.25,330.0,5.4466
-76.55505418,3.443672378,Qd,l,1.25,690.0,2.0707223
-76.54174214,3.44012191,Qd,l,1.25,425.0,4.886984
-76.53861409999998,3.445767072,Qd,l,1.25,425.0,4.7534504
-76.57449238,3.455117688,Qd,l,1.25,555.0,3.6548288
-76.53483064,3.447738991,Qd,l,1.25,425.0,5.041133
-76.54743095,3.443910105,Qd,l,1.25,555.0,4.0603037
-76.56423933,3.454526052,Qd,l,1.25,425.0,3.4151561
-76.56643435,3.454644936,Qd,l,1.25,425.0,3.6548288
-76.56471643,3.4533821060000003,Qd,l,1.25,555.0,3.6548288
-76.53923787,3.441963523,Qd,l,1.25,425.0,5.4466
-76.54214079,3.4449371280000003,Qd,l,1.25,425.0,4.4349966
-76.54099998,3.437428836,Qd,l,1.25,330.0,7.274729
-76.55424039,3.4536002480000003,Qd,l,1.25,555.0,12.397426
-76.56131909,3.453496334,Qd,l,1.25,555.0,3.4151561
-76.53826508,3.4415966360000003,Qd,l,1.25,425.0,5.4466
-76.54137289,3.4446547830000003,Qd,l,1.25,425.0,4.4349966
-76.56290282,3.454929844,Qd,l,1.25,425.0,3.4151561
-76.56325341,3.45340003,Qd,l,1.25,555.0,3.4151561
-76.54196387,3.4486153980000003,Qd,l,1.25,425.0,3.9706867
-76.54720219,3.443260083,Qd,l,1.25,555.0,5.0836954
-76.54158284,3.434728378,Qd,l,1.25,330.0,8.145085
-76.55227606,3.453663337,Qd,l,1.25,555.0,12.397426
-76.5644061,3.450448256,Qd,l,1.25,555.0,10.132632
-76.53739827,3.450168555,Qd,l,1.25,425.0,4.434992
-76.56391173,3.454808017,Qd,l,1.25,425.0,3.4151561
-76.53681111,3.442123305,Qd,l,1.25,330.0,5.4466
-76.53681676,3.443433445,Qd,l,1.25,330.0,5.4466
-76.56146032,3.4507809760000003,Qd,l,1.25,555.0,10.132632
-76.53544572,3.444819793,Qd,l,1.25,330.0,4.7534504
-76.54168406,3.441934767,Qd,l,1.25,425.0,4.886984
-76.53854907,3.437974645,Qd,l,1.25,425.0,5.223463
-76.54874783,3.449739671,Qd,l,1.25,555.0,3.277539
-76.55935972,3.454052916,Qd,l,1.25,555.0,2.8816383
-76.55933776,3.454294571,Qd,l,1.25,425.0,2.8816383
-76.53822501,3.447521582,Qd,l,1.25,425.0,4.7534504
-76.54791576,3.446571091,Qd,l,1.25,555.0,4.0603037
-76.56375325,3.452029817,Qd,l,1.25,555.0,10.132632
-76.57030915,3.454095368,Qd,l,1.25,555.0,3.195296
-76.54160753,3.4370655510000003,Qd,l,1.25,330.0,7.274729
-76.56508379,3.451391034,Qd,l,1.25,555.0,9.813133
-76.55077479,3.454053136,Qd,l,1.25,555.0,4.8869753
-76.568816,3.4541878230000003,Qd,l,1.25,425.0,3.195296
-76.53791563,3.44575362,Qd,l,1.25,425.0,4.7534504
-76.54084615,3.442085726,Qd,l,1.25,425.0,4.886984
-76.58392805,3.458562684,Qd,l,1.25,555.0,2.6432273
-76.53897255,3.440751168,Qd,l,1.25,425.0,5.4466
-76.53805723,3.443163785,Qd,l,1.25,425.0,5.4466
-76.53765484,3.4420912180000003,Qd,l,1.25,425.0,5.4466
-76.53929253,3.448205352,Qd,l,1.25,425.0,4.434992
-76.54521372,3.442605925,Qd,l,1.25,425.0,5.0836954
-76.56615136,3.451924479,Qd,l,1.25,555.0,9.813133
-76.53670236,3.449740322,Qd,l,1.25,425.0,4.434992
-76.56156857,3.450445116,Qd,l,1.25,555.0,10.132632
-76.56642373,3.454285318,Qd,l,1.25,425.0,3.6548288
-76.55415206,3.444636711,Qd,l,1.25,555.0,2.5288265
-76.54222481,3.442516132,Qd,l,1.25,425.0,4.886984
-76.57328449,3.452120761,Qd,l,1.25,555.0,3.6548288
-76.55390899,3.445527167,Qd,l,1.25,555.0,2.5288265
-76.55242666,3.454297207,Qd,l,1.25,555.0,12.397426
-76.53712586,3.441977107,Qd,l,1.25,330.0,5.4466
-76.56112965,3.454287491,Qd,l,1.25,425.0,3.4151561
-76.54303625,3.442714383,Qd,l,1.25,425.0,4.886984
-76.53723192,3.447286399,Qd,l,1.25,425.0,4.7534504
-76.56978211,3.455265892,Qd,l,1.25,425.0,3.195296
-76.56028688,3.453885262,Qd,l,1.25,555.0,2.8816383
-76.55917769,3.375574974,TQplp,n,3.0,425.0,3.2086256
-76.5548166,3.372807668,TQplp,n,3.0,425.0,8.900974
-76.56005692,3.385384254,TQplp,n,3.0,555.0,2.9828098
-76.55662642,3.370829277,TQplp,n,3.0,425.0,10.594161
-76.55657894,3.3763864210000003,TQplp,n,3.0,425.0,3.2086256
-76.55406115,3.370337009,TQplp,n,3.0,425.0,8.900974
