rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,pgv,pga,0.10,0.20,0.50,1.00,2.00,3.00
4.5,0.0,0.0,850.0,MEAN,5.0,2.34168200e+00,7.48096684e-02,1.63449370e-01,1.29223613e-01,3.96934892e-02,1.05947843e-02,2.38966689e-03,9.80159603e-04,
4.5,0.0,20.0,850.0,MEAN,5.0,3.34937251e-01,1.05806738e-02,2.51224043e-02,2.26965072e-02,6.45765091e-03,1.70969792e-03,4.69978835e-04,2.21994884e-04,
4.5,0.0,50.0,850.0,MEAN,5.0,8.79624274e-02,2.51975786e-03,5.49706699e-03,6.23043042e-03,2.09918721e-03,5.79605140e-04,1.57426725e-04,7.12090084e-05,
4.5,0.0,100.0,850.0,MEAN,5.0,3.10268341e-02,7.83692792e-04,1.50240897e-03,1.99473639e-03,8.54405481e-04,2.51796107e-04,6.72328944e-05,2.90726583e-05,
4.5,0.0,0.0,570.0,MEAN,5.0,3.10302959e+00,1.02724191e-01,2.33678766e-01,1.77954870e-01,5.09920271e-02,1.29296812e-02,3.00396845e-03,1.31503950e-03,
4.5,0.0,20.0,570.0,MEAN,5.0,4.43834903e-01,1.45287525e-02,3.59167639e-02,3.12555415e-02,8.29578645e-03,2.08648412e-03,5.90794306e-04,2.97841333e-04,
4.5,0.0,50.0,570.0,MEAN,5.0,1.16561521e-01,3.45998176e-03,7.85899530e-03,8.57997554e-03,2.69670954e-03,7.07339528e-04,1.97895747e-04,9.55381744e-05,
4.5,0.0,100.0,570.0,MEAN,5.0,4.11145426e-02,1.07612037e-03,2.14795000e-03,2.74696743e-03,1.09760740e-03,3.07287370e-04,8.45161701e-05,3.90055804e-05,
4.5,0.0,0.0,300.0,MEAN,5.0,4.42859451e+00,1.27939818e-01,2.65186401e-01,2.12777586e-01,8.01704418e-02,2.34586015e-02,5.10559506e-03,2.04164768e-03,
4.5,0.0,20.0,300.0,MEAN,5.0,6.33434119e-01,1.80951141e-02,4.07595330e-02,3.73717150e-02,1.30427618e-02,3.78555346e-03,1.00412389e-03,4.62409733e-04,
4.5,0.0,50.0,300.0,MEAN,5.0,1.66354750e-01,4.30930079e-03,8.91864812e-03,1.02589296e-02,4.23980781e-03,1.28334147e-03,3.36346924e-04,1.48326565e-04,
4.5,0.0,100.0,300.0,MEAN,5.0,5.86780217e-02,1.34027480e-03,2.43756479e-03,3.28450185e-03,1.72567507e-03,5.57518150e-04,1.43645097e-04,6.05576124e-05,
4.5,0.0,0.0,150.0,MEAN,5.0,5.62126316e+00,1.22513721e-01,2.34118240e-01,2.04569968e-01,9.32627628e-02,4.12351063e-02,9.60537593e-03,3.88047419e-03,
4.5,0.0,20.0,150.0,MEAN,5.0,8.04024813e-01,1.73276763e-02,3.59843117e-02,3.59301498e-02,1.51727242e-02,6.65417754e-03,1.88910153e-03,8.78882803e-04,
4.5,0.0,50.0,150.0,MEAN,5.0,2.11155893e-01,4.12653762e-03,7.87377552e-03,9.86320478e-03,4.93219423e-03,2.25583447e-03,6.32783958e-04,2.81918086e-04,
4.5,0.0,100.0,150.0,MEAN,5.0,7.44806509e-02,1.28343197e-03,2.15198960e-03,3.15780647e-03,2.00748831e-03,9.79995340e-04,2.70245710e-04,1.15099316e-04,
4.5,90.0,0.0,850.0,MEAN,5.0,2.53728363e+00,9.26972456e-02,2.09151436e-01,1.65207089e-01,4.60414589e-02,1.11948639e-02,2.29325509e-03,8.35161180e-04,
4.5,90.0,20.0,850.0,MEAN,5.0,3.62914693e-01,1.31105957e-02,3.21468778e-02,2.90165536e-02,7.49038885e-03,1.80653377e-03,4.51017404e-04,1.89154408e-04,
4.5,90.0,50.0,850.0,MEAN,5.0,9.53099640e-02,3.12225169e-03,7.03410147e-03,7.96534975e-03,2.43489911e-03,6.12433485e-04,1.51075298e-04,6.06748118e-05,
4.5,90.0,100.0,850.0,MEAN,5.0,3.36185179e-02,9.71079871e-04,1.92249743e-03,2.55018866e-03,9.91046029e-04,2.66057625e-04,6.45203639e-05,2.47718387e-05,
4.5,90.0,0.0,570.0,MEAN,5.0,3.36222689e+00,1.27286349e-01,2.99017668e-01,2.27508003e-01,5.91469122e-02,1.36620075e-02,2.88277247e-03,1.12050113e-03,
4.5,90.0,20.0,570.0,MEAN,5.0,4.80908609e-01,1.80026909e-02,4.59594476e-02,3.99589279e-02,9.62248769e-03,2.20466082e-03,5.66958539e-04,2.53780627e-04,
4.5,90.0,50.0,570.0,MEAN,5.0,1.26297951e-01,4.28729048e-03,1.00564484e-02,1.09691468e-02,3.12798002e-03,7.47402641e-04,1.89911586e-04,8.14048796e-05,
