rup_mag,dist_rrup,site_vs30,result_type,damping,pgv,0.010,0.020,0.030,0.040,0.050,0.075,0.100,0.150,0.200,0.250,0.300,0.400,0.500,0.750,1.000,1.500,2.000,3.000,4.000,5.000,7.500,10.000
4.0,10.0,3000.0,TOTAL_STDDEV,5,0.9048,0.9259,0.9263,0.9305,0.9396,0.9604,0.9925,1.0005,0.9873,0.967,0.9497,0.936,0.9171,0.9051,0.889,0.8814,0.8742,0.8709,0.8677,0.8663,0.8655,0.8645,0.8638
4.5,10.0,3000.0,TOTAL_STDDEV,5,0.9048,0.9259,0.9263,0.9305,0.9396,0.9604,0.9925,1.0005,0.9873,0.967,0.9497,0.936,0.9171,0.9051,0.889,0.8814,0.8742,0.8709,0.8677,0.8663,0.8655,0.8645,0.8638
5.0,10.0,3000.0,TOTAL_STDDEV,5,0.9008,0.9153,0.9157,0.92,0.9292,0.9501,0.9826,0.9907,0.9773,0.9568,0.9393,0.9255,0.9064,0.8943,0.878,0.8703,0.8631,0.8596,0.8565,0.855,0.8542,0.8532,0.8525
5.5,10.0,3000.0,TOTAL_STDDEV,5,0.8435,0.8543,0.8549,0.8596,0.8697,0.8923,0.9272,0.9361,0.9234,0.9047,0.8891,0.8777,0.8635,0.855,0.8452,0.8411,0.8381,0.8372,0.834,0.8325,0.8317,0.8307,0.83
6.0,10.0,3000.0,TOTAL_STDDEV,5,0.7998,0.80095,0.8017,0.80685,0.8179,0.8423,0.87985,0.8897,0.87705,0.8594,0.8451,0.8357,0.82615,0.82145,0.8191,0.81945,0.8218,0.82415,0.8209,0.8194,0.8186,0.8176,0.81685
6.5,10.0,3000.0,TOTAL_STDDEV,5,0.7561,0.7476,0.7485,0.7541,0.7661,0.7923,0.8325,0.8433,0.8307,0.8141,0.8011,0.7937,0.7888,0.7879,0.793,0.7978,0.8055,0.8111,0.8078,0.8063,0.8055,0.8045,0.8037
7.0,10.0,3000.0,TOTAL_STDDEV,5,0.7561,0.7476,0.7485,0.7541,0.7661,0.7923,0.8325,0.8433,0.8307,0.8141,0.8011,0.7937,0.7888,0.7879,0.793,0.7978,0.8055,0.8111,0.8078,0.8063,0.8055,0.8045,0.8037
