loss_type,damage_state,damage_value
structural,no_damage_mean,"4,975.13"
structural,no_damage_stdv,767.36
structural,ds1_mean,904.06
structural,ds1_stdv,442.56
structural,ds2_mean,564.35
structural,ds2_stdv,207.71
structural,ds3_mean,246.44
structural,ds3_stdv,161.54
structural,ds4_mean,310.03
structural,ds4_stdv,231.92
