event_id,year,magnitude,centroid_lon,centroid_lat,centroid_depth,structural
grp=00~ses=0001~rup=297176-01,1,6.05,-122.2,37.7,7.50,2.63933E+10
grp=00~ses=0001~rup=92276-01,2,6.05,-120.6,39.4,17.20,3.10979E+06
grp=00~ses=0001~rup=342752-01,2,5.55,-121.4,36.8,2.15,7.87414E+07
grp=00~ses=0001~rup=374635-01,4,5.65,-121.4,37.1,12.50,1.25105E+08
grp=00~ses=0001~rup=145877-01,5,5.25,-122.9,38.9,21.00,6.30566E+06
grp=00~ses=0001~rup=506902-01,6,5.95,-120.5,39.7,9.90,5.80147E+05
...
