rup_mag,rup_rake,dist_rrup,site_vs30,result_type,damping,pga,0.02,0.05,0.10,0.20,0.50,1.00,2.00,3.00,5.00,10.00
4.5,0.0,1.0,450.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,10.0,450.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,20.0,450.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,50.0,450.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,100.0,450.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,1.0,750.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,10.0,750.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,20.0,750.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,50.0,750.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,100.0,750.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,1.0,1000.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,10.0,1000.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,20.0,1000.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,50.0,1000.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,100.0,1000.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,1.0,1500.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,10.0,1500.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,20.0,1500.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,50.0,1500.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
4.5,0.0,100.0,1500.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
5.0,0.0,1.0,450.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
5.0,0.0,10.0,450.0,TOTAL_STDDEV,5.0,7.75149370e-01,7.75149370e-01,7.75149370e-01,7.99409522e-01,8.23669673e-01,8.55739849e-01,8.80000000e-01,9.04260151e-01,9.18451430e-01,9.18451430e-01,9.18451430e-01,
