rup_mag,rup_rake,dist_rrup,site_vs30,result_type,damping,pga,0.02,0.05,0.10,0.20,0.50,1.00,2.00,3.00,5.00,10.00
4.5,0.0,1.0,450.0,MEAN,5.0,3.77908561e-01,3.88251088e-01,4.01333555e-01,6.15482220e-01,6.03512577e-01,2.13706305e-01,6.80870729e-02,1.33849853e-02,5.04984915e-03,1.05961138e-03,1.41199973e-04
4.5,0.0,10.0,450.0,MEAN,5.0,1.13976371e-01,1.17095653e-01,1.31204786e-01,1.91829548e-01,1.93437766e-01,7.13070695e-02,2.45985304e-02,5.05326068e-03,1.86929811e-03,4.34233732e-04,6.41250047e-05
4.5,0.0,20.0,450.0,MEAN,5.0,5.00246441e-02,5.13937087e-02,6.00225755e-02,8.55906150e-02,8.83743171e-02,3.35955798e-02,1.21791204e-02,2.57773804e-03,9.41268655e-04,2.31730135e-04,3.66612556e-05
4.5,0.0,50.0,450.0,MEAN,5.0,1.18216442e-02,1.21451766e-02,1.45719306e-02,2.04042975e-02,2.22797741e-02,9.03146319e-03,3.51381762e-03,7.82632505e-04,2.79875638e-04,7.33942348e-05,1.30291503e-05
4.5,0.0,100.0,450.0,MEAN,5.0,3.14014582e-03,3.22608471e-03,3.65540107e-03,5.27030642e-03,6.21800209e-03,2.72381441e-03,1.09819680e-03,2.55760462e-04,9.00209161e-05,2.33413089e-05,4.56104309e-06
4.5,0.0,1.0,750.0,MEAN,5.0,2.44302493e-01,2.50988515e-01,2.90749456e-01,4.18095996e-01,3.62477683e-01,1.26726099e-01,4.06648595e-02,8.66611831e-03,3.42335160e-03,7.68429007e-04,1.04672174e-04
4.5,0.0,10.0,750.0,MEAN,5.0,7.36810814e-02,7.56975707e-02,9.50524062e-02,1.30309476e-01,1.16181296e-01,4.22845115e-02,1.46914200e-02,3.27173724e-03,1.26721898e-03,3.14905825e-04,4.75361541e-05
4.5,0.0,20.0,750.0,MEAN,5.0,3.23388950e-02,3.32239395e-02,4.34838577e-02,5.81415551e-02,5.30787906e-02,1.99219053e-02,7.27395374e-03,1.66895834e-03,6.38096993e-04,1.68050439e-04,2.71771535e-05
4.5,0.0,50.0,750.0,MEAN,5.0,7.64221146e-03,7.85136200e-03,1.05567572e-02,1.38606036e-02,1.33815288e-02,5.35558412e-03,2.09862010e-03,5.06715974e-04,1.89730958e-04,5.32254183e-05,9.65856768e-06
4.5,0.0,100.0,750.0,MEAN,5.0,2.02997637e-03,2.08553237e-03,2.64818593e-03,3.58010993e-03,3.73461478e-03,1.61519976e-03,6.55895701e-04,1.65592294e-04,6.10262284e-05,1.69270916e-05,3.38112174e-06
