taxonomy,structural,nonstructural
W1,15,0
W2,15,1
W3,15,1
W4,15,0
S1L,44,5
S1M,44,5
S1H,44,5
S2L,44,5
S2M,44,5
S2H,44,5
S3,67,1.5
S4L,65,4
S4M,65,4
S4H,65,4
S5L,45,4
S5M,45,4
S5H,45,4
C1L,98,4
C1M,98,4
C1H,98,4
C2L,112,4
C2M,112,4
C2H,112,4
C3L,90,4
C3M,90,4
C3H,90,4
PC1,40,1.5
PC2L,100,4
PC2M,100,4
PC2H,100,4
RM1L,28,4
RM1M,28,4
RM2L,78,4
RM2M,78,4
RM2H,78,4
URML,41,4
URMM,41,4
MH,22,0
