taxonomy,slight,moderate,extreme,complete,collapse
W1,0,0.030,0.1,1,20
W2,0,0.025,0.1,1,20
W3,0,0.025,0.1,1,20
W4,0,0.030,0.1,1,20
S1L,0,0.025,0.1,1,20
S1M,0,0.025,0.1,1,20
S1H,0,0.025,0.1,1,20
S2L,0,0.025,0.1,1,20
S2M,0,0.025,0.1,1,20
S2H,0,0.025,0.1,1,20
S3,0,0.025,0.1,1,20
S4L,0,0.030,0.1,1,20
S4M,0,0.030,0.1,1,20
S4H,0,0.030,0.1,1,20
S5L,0,0.025,0.1,1,20
S5M,0,0.025,0.1,1,20
S5H,0,0.025,0.1,1,20
C1L,0,0.030,0.1,1,20
C1M,0,0.030,0.1,1,20
C1H,0,0.030,0.1,1,20
C2L,0,0.030,0.1,1,20
C2M,0,0.030,0.1,1,20
C2H,0,0.030,0.1,1,20
C3L,0,0.025,0.1,1,20
C3M,0,0.025,0.1,1,20
C3H,0,0.025,0.1,1,20
PC1,0,0.030,0.1,1,20
PC2L,0,0.030,0.1,1,20
PC2M,0,0.030,0.1,1,20
PC2H,0,0.030,0.1,1,20
RM1L,0,0.025,0.1,1,20
RM1M,0,0.025,0.1,1,20
RM2L,0,0.025,0.1,1,20
RM2M,0,0.025,0.1,1,20
RM2H,0,0.025,0.1,1,20
URML,0,0.400,0.2,2,20
URMM,0,0.400,0.2,2,20
MH,0,0.030,0.1,1,20
