taxonomy,slight,moderate,extensive,complete
W1,2,8,35,100
W2,2,10,40,100
W3,2,10,40,100
W4,2,8,35,100
S1L,1,7,35,100
S1M,1,7,35,100
S1H,1,7,35,100
S2L,0,0,0,100
S2M,0,0,0,100
S2H,0,0,0,100
S3,0,0,0,100
S4L,1,7,35,100
S4M,1,7,35,100
S4H,1,7,35,100
S5L,1,7,35,100
S5M,1,7,35,100
S5H,1,7,35,100
C1L,1,7,35,100
C1M,1,7,35,100
C1H,1,7,35,100
C2L,1,7,35,100
C2M,1,7,35,100
C2H,1,7,35,100
C3L,1,7,35,100
C3M,1,7,35,100
C3H,1,7,35,100
PC1,2,11,42,100
PC2L,1,7,35,100
PC2M,1,7,35,100
PC2H,1,7,35,100
RM1L,2,10,40,100
RM1M,2,10,40,100
RM2L,1,7,35,100
RM2M,1,7,35,100
RM2H,1,7,35,100
URML,2,12,45,100
URMM,2,12,45,100
MH,2,8,35,100
