taxonomy,slight,moderate,extensive,complete
W1,0,0,0,100
W2,0,10,28,100
W3,0,10,28,100
W4,0,0,0,100
S1L,0.1,8,28,100
S1M,0.1,8,28,100
S1H,0.1,8,28,100
S2L,0.1,8,28,100
S2M,0.1,8,28,100
S2H,0.1,8,28,100
S3,0,10,30,100
S4L,0.1,10,30,100
S4M,0.1,10,30,100
S4H,0.1,10,30,100
S5L,0.1,10,30,100
S5M,0.1,10,30,100
S5H,0.1,10,30,100
C1L,0.1,8,28,100
C1M,0.1,8,28,100
C1H,0.1,8,28,100
C2L,0.1,10,30,100
C2M,0.1,10,30,100
C2H,0.1,10,30,100
C3L,0.1,10,30,100
C3M,0.1,10,30,100
C3H,0.1,10,30,100
PC1,0.1,10,30,100
PC2L,0.1,9,30,100
PC2M,0.1,9,30,100
PC2H,0.1,9,30,100
RM1L,0.1,10,30,100
RM1M,0.1,10,31,100
RM2L,0.1,9,30,100
RM2M,0.1,9,30,100
RM2H,0.1,9,30,100
URML,0,10,29,100
URMM,0,10,29,100
MH,0,0,0,100
