taxonomy,slight,moderate,extreme,complete,collapse
W1,0,0,0.001,0.01,3
W2,0,0,0.001,0.01,5
W3,0,0,0.001,0.01,5
W4,0,0,0.001,0.01,3
S1L,0,0,0.001,0.01,5
S1M,0,0,0.001,0.01,5
S1H,0,0,0.001,0.01,5
S2L,0,0,0.001,0.01,5
S2M,0,0,0.001,0.01,5
S2H,0,0,0.001,0.01,5
S3,0,0,0.001,0.01,3
S4L,0,0,0.001,0.01,5
S4M,0,0,0.001,0.01,5
S4H,0,0,0.001,0.01,5
S5L,0,0,0.001,0.01,5
S5M,0,0,0.001,0.01,5
S5H,0,0,0.001,0.01,5
C1L,0,0,0.001,0.01,5
C1M,0,0,0.001,0.01,5
C1H,0,0,0.001,0.01,5
C2L,0,0,0.001,0.01,5
C2M,0,0,0.001,0.01,5
C2H,0,0,0.001,0.01,5
C3L,0,0,0.001,0.01,5
C3M,0,0,0.001,0.01,5
C3H,0,0,0.001,0.01,5
PC1,0,0,0.001,0.01,5
PC2L,0,0,0.001,0.01,5
PC2M,0,0,0.001,0.01,5
PC2H,0,0,0.001,0.01,5
RM1L,0,0,0.001,0.01,5
RM1M,0,0,0.001,0.01,5
RM2L,0,0,0.001,0.01,5
RM2M,0,0,0.001,0.01,5
RM2H,0,0,0.001,0.01,5
URML,0,0.001,0.002,0.02,5
URMM,0,0.001,0.002,0.02,5
MH,0,0,0.001,0.01,3
