taxonomy,structural,nonstructural
W1,6.5,12.1
W2,4,8.1
W3,4,8.1
W4,6.5,12.1
S1L,0,5.3
S1M,0,5.3
S1H,0,5.3
S2L,0,5.3
S2M,0,5.3
S2H,0,5.3
S3,0,0
S4L,0,5.3
S4M,0,5.3
S4H,0,5.3
S5L,20,5.3
S5M,20,5.3
S5H,20,5.3
C1L,0,5.3
C1M,0,5.3
C1H,0,5.3
C2L,0,5.3
C2M,0,5.3
C2H,0,5.3
C3L,20,5.3
C3M,20,5.3
C3H,20,5.3
PC1,5.5,5.3
PC2L,0,5.3
PC2M,0,5.3
PC2H,0,5.3
RM1L,17.5,5.3
RM1M,17.5,5.3
RM2L,17.5,5.3
RM2M,24.5,5.3
RM2H,24.5,5.3
URML,35,10.5
URMM,35,10.5
MH,10,18
