taxonomy,slight,moderate,extreme,complete,collapse
W1,0,0,0.001,0.01,5
W2,0,0,0.001,0.01,10
W3,0,0,0.001,0.01,10
W4,0,0,0.001,0.01,5
S1L,0,0,0.001,0.01,10
S1M,0,0,0.001,0.01,10
S1H,0,0,0.001,0.01,10
S2L,0,0,0.001,0.01,10
S2M,0,0,0.001,0.01,10
S2H,0,0,0.001,0.01,10
S3,0,0,0.001,0.01,5
S4L,0,0,0.001,0.01,10
S4M,0,0,0.001,0.01,10
S4H,0,0,0.001,0.01,10
S5L,0,0,0.001,0.01,10
S5M,0,0,0.001,0.01,10
S5H,0,0,0.001,0.01,10
C1L,0,0,0.001,0.01,10
C1M,0,0,0.001,0.01,10
C1H,0,0,0.001,0.01,10
C2L,0,0,0.001,0.01,10
C2M,0,0,0.001,0.01,10
C2H,0,0,0.001,0.01,10
C3L,0,0,0.001,0.01,10
C3M,0,0,0.001,0.01,10
C3H,0,0,0.001,0.01,10
PC1,0,0,0.001,0.01,10
PC2L,0,0,0.001,0.01,10
PC2M,0,0,0.001,0.01,10
PC2H,0,0,0.001,0.01,10
RM1L,0,0,0.001,0.01,10
RM1M,0,0,0.001,0.01,10
RM2L,0,0,0.001,0.01,10
RM2M,0,0,0.001,0.01,10
RM2H,0,0,0.001,0.01,10
URML,0,0.001,0.002,0.02,10
URMM,0,0.001,0.002,0.02,10
MH,0,0,0.001,0.01,5
