occupancy,slight,moderate,extreme,complete
RES1,5,120,360,720
RES2,5,20,120,240
RES3A,10,120,480,960
RES3B,10,120,480,960
RES3C,10,120,480,960
RES3D,10,120,480,960
RES3E,10,120,480,960
RES3F,10,120,480,960
RES4,10,90,360,480
RES5,10,90,360,480
RES6,10,120,480,960
COM1,10,90,270,360
COM2,10,90,270,360
COM3,10,90,270,360
COM4,20,90,360,480
COM5,20,90,180,360
COM6,20,135,540,720
COM7,20,135,270,540
COM8,20,90,180,360
COM9,20,90,180,360
COM10,5,60,180,360
IND1,10,90,240,360
IND2,10,90,240,360
IND3,10,90,240,360
IND4,10,90,240,360
IND5,20,135,360,540
IND6,10,60,160,320
AGR1,2,20,60,120
REL1,5,120,480,960
GOV1,10,90,360,480
GOV2,10,60,270,360
EDU1,10,90,360,480
EDU2,10,120,480,960
