taxonomy,slight,moderate,extensive,complete
W1,0,5,34,100
W2,0,6,33,100
W3,0,6,33,100
W4,0,5,34,100
S1L,0,0,0,100
S1M,0,0,0,100
S1H,0,0,0,100
S2L,0,0,0,100
S2M,0,0,0,100
S2H,0,0,0,100
S3,0,0,0,100
S4L,0,0,0,100
S4M,0,0,0,100
S4H,0,0,0,100
S5L,5,25,60,100
S5M,5,25,60,100
S5H,5,25,60,100
C1L,0,0,0,100
C1M,0,0,0,100
C1H,0,0,0,100
C2L,0,0,0,100
C2M,0,0,0,100
C2H,0,0,0,100
C3L,5,25,60,100
C3M,5,25,60,100
C3H,5,25,60,100
PC1,0,6,32,100
PC2L,0,0,0,100
PC2M,0,0,0,100
PC2H,0,0,0,100
RM1L,3.5,20,50,100
RM1M,3.5,20,50,100
RM2L,5,25,60,100
RM2M,5,25,60,100
RM2H,5,25,60,100
URML,5,25,55,100
URMM,5,25,55,100
MH,0,5,33,100
