rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,0.05,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.25,1.5,2,2.5,3,4,5,pga
5,5,5,150,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,5,250,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,5,500,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,5,800,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,10,150,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,10,250,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,10,500,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,10,800,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,30,150,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
5,5,30,250,INTER_EVENT_STDDEV,5,0.34299999,0.403,0.36700001,0.32800001,0.289,0.28,0.271,0.27700001,0.296,0.31299999,0.329,0.324,0.32800001,0.33899999,0.352,0.36000001,0.35600001,0.338,0.30700001,0.27200001,0.308
