rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pga,0.05,0.1,0.3,0.5,1.0,2.0,5.0
4.5,5.0,5.0,200.0,MEAN,5.0,3.99430267e-01,5.37747817e-01,5.60313856e-01,8.38527097e-01,8.70063191e-01,2.06096505e-01,2.34661293e-02,2.28356409e-03
4.5,5.0,20.0,200.0,MEAN,5.0,4.86684796e-02,6.38280746e-02,8.11354959e-02,1.18800335e-01,1.03761646e-01,2.57155193e-02,4.20826751e-03,5.07478563e-04
4.5,5.0,50.0,200.0,MEAN,5.0,1.03451017e-02,1.29288708e-02,1.80438324e-02,2.77130283e-02,2.29485595e-02,6.09445420e-03,1.27351536e-03,1.72401451e-04
4.5,5.0,100.0,200.0,MEAN,5.0,2.72482954e-03,3.18234960e-03,4.60250570e-03,7.89890038e-03,6.63697865e-03,1.92404003e-03,4.86316019e-04,7.08792000e-05
4.5,5.0,200.0,200.0,MEAN,5.0,5.39456226e-04,5.57630543e-04,7.87545131e-04,1.72743767e-03,1.61654946e-03,5.43337275e-04,1.67712141e-04,2.58072038e-05
4.5,5.0,500.0,200.0,MEAN,5.0,2.45470830e-05,1.80324823e-05,2.02935755e-05,9.64256534e-05,1.41430696e-04,7.05239795e-05,2.92705554e-05,4.55039151e-06
4.5,5.0,5.0,360.0,MEAN,5.0,3.70198445e-01,5.26572861e-01,5.90811541e-01,7.68658584e-01,5.60352384e-01,1.03166536e-01,1.57455546e-02,1.77311417e-03
4.5,5.0,20.0,360.0,MEAN,5.0,4.51067357e-02,6.25016611e-02,8.55516721e-02,1.08901546e-01,6.68262793e-02,1.28725183e-02,2.82370836e-03,3.94040805e-04
4.5,5.0,50.0,360.0,MEAN,5.0,9.58800793e-03,1.26601955e-02,1.90259517e-02,2.54038983e-02,1.47797081e-02,3.05072482e-03,8.54516963e-04,1.33864189e-04
4.5,5.0,100.0,360.0,MEAN,5.0,2.52541617e-03,3.11621708e-03,4.85301845e-03,7.24074106e-03,4.27445597e-03,9.63124258e-04,3.26313527e-04,5.50354223e-05
4.5,5.0,200.0,360.0,MEAN,5.0,4.99976773e-04,5.46042403e-04,8.30410933e-04,1.58350254e-03,1.04111673e-03,2.71980469e-04,1.12533287e-04,2.00384648e-05
4.5,5.0,500.0,360.0,MEAN,5.0,2.27506344e-05,1.76577487e-05,2.13981476e-05,8.83911879e-05,9.10865193e-05,3.53024648e-05,1.96402705e-05,3.53323286e-06
4.5,5.0,5.0,570.0,MEAN,5.0,3.70198445e-01,5.26572861e-01,5.90811541e-01,7.68658584e-01,5.60352384e-01,1.03166536e-01,1.57455546e-02,1.77311417e-03
4.5,5.0,20.0,570.0,MEAN,5.0,4.51067357e-02,6.25016611e-02,8.55516721e-02,1.08901546e-01,6.68262793e-02,1.28725183e-02,2.82370836e-03,3.94040805e-04
4.5,5.0,50.0,570.0,MEAN,5.0,9.58800793e-03,1.26601955e-02,1.90259517e-02,2.54038983e-02,1.47797081e-02,3.05072482e-03,8.54516963e-04,1.33864189e-04
4.5,5.0,100.0,570.0,MEAN,5.0,2.52541617e-03,3.11621708e-03,4.85301845e-03,7.24074106e-03,4.27445597e-03,9.63124258e-04,3.26313527e-04,5.50354223e-05
4.5,5.0,200.0,570.0,MEAN,5.0,4.99976773e-04,5.46042403e-04,8.30410933e-04,1.58350254e-03,1.04111673e-03,2.71980469e-04,1.12533287e-04,2.00384648e-05
4.5,5.0,500.0,570.0,MEAN,5.0,2.27506344e-05,1.76577487e-05,2.13981476e-05,8.83911879e-05,9.10865193e-05,3.53024648e-05,1.96402705e-05,3.53323286e-06
4.5,5.0,5.0,800.0,MEAN,5.0,2.93254021e-01,4.72193901e-01,5.48669954e-01,4.61114736e-01,3.59446678e-01,7.08343840e-02,1.08651245e-02,1.31882003e-03
4.5,5.0,20.0,800.0,MEAN,5.0,3.57314619e-02,5.60471407e-02,7.94494163e-02,6.53295347e-02,4.28667474e-02,8.83830108e-03,1.94848285e-03,2.93082597e-04
4.5,5.0,50.0,800.0,MEAN,5.0,7.59517475e-03,1.13527824e-02,1.76688628e-02,1.52396813e-02,9.48067168e-03,2.09463478e-03,5.89654253e-04,9.95665012e-05
4.5,5.0,100.0,800.0,MEAN,5.0,2.00051745e-03,2.79440664e-03,4.50686086e-03,4.34368714e-03,2.74191570e-03,6.61283362e-04,2.25170672e-04,4.09346552e-05
4.5,5.0,200.0,800.0,MEAN,5.0,3.96058387e-04,4.89652832e-04,7.71179128e-04,9.49935864e-04,6.67840382e-04,1.86742425e-04,7.76529130e-05,1.49043582e-05
4.5,5.0,500.0,800.0,MEAN,5.0,1.80219963e-05,1.58342404e-05,1.98718540e-05,5.30254656e-05,5.84288524e-05,2.42387547e-05,1.35526497e-05,2.62797418e-06
4.5,20.0,5.0,200.0,MEAN,5.0,4.28649342e-01,5.78558525e-01,6.01632675e-01,9.01939006e-01,9.19900804e-01,2.16717472e-01,2.44641328e-02,2.34254377e-03
4.5,20.0,20.0,200.0,MEAN,5.0,5.22286704e-02,6.86721090e-02,8.71186119e-02,1.27784369e-01,1.09705160e-01,2.70407415e-02,4.38724314e-03,5.20585672e-04
4.5,20.0,50.0,200.0,MEAN,5.0,1.11018654e-02,1.39100675e-02,1.93744256e-02,2.98087698e-02,2.42630633e-02,6.40852548e-03,1.32767737e-03,1.76854219e-04
4.5,20.0,100.0,200.0,MEAN,5.0,2.92415594e-03,3.42386418e-03,4.94190494e-03,8.49623868e-03,7.01714778e-03,2.02319340e-03,5.06998811e-04,7.27098614e-05
