rup_mag,rup_rake,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,0.05,0.10,0.15,0.20,0.25,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00,1.25,1.50,2.00,2.50,3.00,4.00,5.00,pga
5.0,  0.0,  5.0,  5.0, 150.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0,  5.0, 250.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0,  5.0, 500.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0,  5.0, 800.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 10.0, 150.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 10.0, 250.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 10.0, 500.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 10.0, 800.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 30.0, 150.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 30.0, 250.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 30.0, 500.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 30.0, 800.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 60.0, 150.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 60.0, 250.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 60.0, 500.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
5.0,  0.0,  5.0, 60.0, 800.0,TOTAL_STDDEV,5.0, 0.71815598, 0.77333367, 0.77585042, 0.75881016, 0.74453831, 0.73373306, 0.74422121, 0.73529106, 0.74014747, 0.74012399, 0.73821199, 0.73949999, 0.73884571, 0.73054838, 0.73111689, 0.72676361, 0.72943360, 0.72270769, 0.70205355, 0.69943023, 0.67565095
