rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,pga
5.0,20.0,1.000,600.0,MEAN,0.96348980
5.0,20.0,15.950,600.0,MEAN,0.13456120
5.0,20.0,30.900,600.0,MEAN,0.06577173
5.0,20.0,45.850,600.0,MEAN,0.04068372
5.0,20.0,60.800,600.0,MEAN,0.02792072
5.0,20.0,75.750,600.0,MEAN,0.02032301
5.0,20.0,90.700,600.0,MEAN,0.01536467
5.0,20.0,105.650,600.0,MEAN,0.01192802
5.0,20.0,120.600,600.0,MEAN,0.00944307
5.0,20.0,135.550,600.0,MEAN,0.00758915
5.0,20.0,150.500,600.0,MEAN,0.00617238
5.0,20.0,165.450,600.0,MEAN,0.00506898
5.0,20.0,180.400,600.0,MEAN,0.00419639
5.0,20.0,195.350,600.0,MEAN,0.00349757
5.0,20.0,210.300,600.0,MEAN,0.00293199
5.0,20.0,225.250,600.0,MEAN,0.00247015
5.0,20.0,240.200,600.0,MEAN,0.00209013
5.0,20.0,255.150,600.0,MEAN,0.00177535
5.0,20.0,270.100,600.0,MEAN,0.00151310
5.0,20.0,285.050,600.0,MEAN,0.00129350
5.0,20.0,300.000,600.0,MEAN,0.00110879
5.0,50.0,1.000,600.0,MEAN,1.29672326
5.0,50.0,15.950,600.0,MEAN,0.18110066
5.0,50.0,30.900,600.0,MEAN,0.08851950
5.0,50.0,45.850,600.0,MEAN,0.05475457
5.0,50.0,60.800,600.0,MEAN,0.03757740
5.0,50.0,75.750,600.0,MEAN,0.02735191
5.0,50.0,90.700,600.0,MEAN,0.02067868
5.0,50.0,105.650,600.0,MEAN,0.01605345
5.0,50.0,120.600,600.0,MEAN,0.01270907
5.0,50.0,135.550,600.0,MEAN,0.01021393
5.0,50.0,150.500,600.0,MEAN,0.00830716
5.0,50.0,165.450,600.0,MEAN,0.00682215
5.0,50.0,180.400,600.0,MEAN,0.00564776
5.0,50.0,195.350,600.0,MEAN,0.00470723
5.0,50.0,210.300,600.0,MEAN,0.00394606
5.0,50.0,225.250,600.0,MEAN,0.00332448
5.0,50.0,240.200,600.0,MEAN,0.00281302
5.0,50.0,255.150,600.0,MEAN,0.00238937
5.0,50.0,270.100,600.0,MEAN,0.00203641
5.0,50.0,285.050,600.0,MEAN,0.00174087
5.0,50.0,300.000,600.0,MEAN,0.00149227
5.0,70.0,1.000,600.0,MEAN,1.58069207
5.0,70.0,15.950,600.0,MEAN,0.22075980
5.0,70.0,30.900,600.0,MEAN,0.10790445
5.0,70.0,45.850,600.0,MEAN,0.06674532
5.0,70.0,60.800,600.0,MEAN,0.04580646
5.0,70.0,75.750,600.0,MEAN,0.03334172
5.0,70.0,90.700,600.0,MEAN,0.02520712
5.0,70.0,105.650,600.0,MEAN,0.01956900
5.0,70.0,120.600,600.0,MEAN,0.01549222
5.0,70.0,135.550,600.0,MEAN,0.01245067
5.0,70.0,150.500,600.0,MEAN,0.01012635
5.0,70.0,165.450,600.0,MEAN,0.00831612
5.0,70.0,180.400,600.0,MEAN,0.00688455
5.0,70.0,195.350,600.0,MEAN,0.00573808
5.0,70.0,210.300,600.0,MEAN,0.00481021
5.0,70.0,225.250,600.0,MEAN,0.00405251
5.0,70.0,240.200,600.0,MEAN,0.00342904
5.0,70.0,255.150,600.0,MEAN,0.00291262
5.0,70.0,270.100,600.0,MEAN,0.00248238
5.0,70.0,285.050,600.0,MEAN,0.00212210
5.0,70.0,300.000,600.0,MEAN,0.00181906
6.0,20.0,1.000,600.0,MEAN,1.28400246
6.0,20.0,15.950,600.0,MEAN,0.35091507
6.0,20.0,30.900,600.0,MEAN,0.18649966
6.0,20.0,45.850,600.0,MEAN,0.11923099
6.0,20.0,60.800,600.0,MEAN,0.08328479
6.0,20.0,75.750,600.0,MEAN,0.06129231
6.0,20.0,90.700,600.0,MEAN,0.04668791
6.0,20.0,105.650,600.0,MEAN,0.03644346
6.0,20.0,120.600,600.0,MEAN,0.02897105
6.0,20.0,135.550,600.0,MEAN,0.02335911
6.0,20.0,150.500,600.0,MEAN,0.01904824
6.0,20.0,165.450,600.0,MEAN,0.01567689
6.0,20.0,180.400,600.0,MEAN,0.01300170
6.0,20.0,195.350,600.0,MEAN,0.01085320
6.0,20.0,210.300,600.0,MEAN,0.00911021
6.0,20.0,225.250,600.0,MEAN,0.00768400
6.0,20.0,240.200,600.0,MEAN,0.00650840
6.0,20.0,255.150,600.0,MEAN,0.00553314
6.0,20.0,270.100,600.0,MEAN,0.00471954
6.0,20.0,285.050,600.0,MEAN,0.00403746
6.0,20.0,300.000,600.0,MEAN,0.00346313
6.0,50.0,1.000,600.0,MEAN,1.72808775
6.0,50.0,15.950,600.0,MEAN,0.47228290
6.0,50.0,30.900,600.0,MEAN,0.25100233
6.0,50.0,45.850,600.0,MEAN,0.16046816
6.0,50.0,60.800,600.0,MEAN,0.11208975
6.0,50.0,75.750,600.0,MEAN,0.08249083
6.0,50.0,90.700,600.0,MEAN,0.06283536
6.0,50.0,105.650,600.0,MEAN,0.04904783
6.0,50.0,120.600,600.0,MEAN,0.03899100
6.0,50.0,135.550,600.0,MEAN,0.03143808
6.0,50.0,150.500,600.0,MEAN,0.02563626
6.0,50.0,165.450,600.0,MEAN,0.02109892
6.0,50.0,180.400,600.0,MEAN,0.01749847
6.0,50.0,195.350,600.0,MEAN,0.01460687
6.0,50.0,210.300,600.0,MEAN,0.01226106
6.0,50.0,225.250,600.0,MEAN,0.01034159
6.0,50.0,240.200,600.0,MEAN,0.00875940
6.0,50.0,255.150,600.0,MEAN,0.00744683
6.0,50.0,270.100,600.0,MEAN,0.00635184
6.0,50.0,285.050,600.0,MEAN,0.00543386
6.0,50.0,300.000,600.0,MEAN,0.00466088
6.0,70.0,1.000,600.0,MEAN,2.10652084
6.0,70.0,15.950,600.0,MEAN,0.57570754
6.0,70.0,30.900,600.0,MEAN,0.30596939
6.0,70.0,45.850,600.0,MEAN,0.19560920
6.0,70.0,60.800,600.0,MEAN,0.13663621
6.0,70.0,75.750,600.0,MEAN,0.10055557
6.0,70.0,90.700,600.0,MEAN,0.07659573
6.0,70.0,105.650,600.0,MEAN,0.05978880
6.0,70.0,120.600,600.0,MEAN,0.04752962
6.0,70.0,135.550,600.0,MEAN,0.03832273
6.0,70.0,150.500,600.0,MEAN,0.03125037
6.0,70.0,165.450,600.0,MEAN,0.02571936
6.0,70.0,180.400,600.0,MEAN,0.02133045
6.0,70.0,195.350,600.0,MEAN,0.01780564
6.0,70.0,210.300,600.0,MEAN,0.01494611
6.0,70.0,225.250,600.0,MEAN,0.01260630
6.0,70.0,240.200,600.0,MEAN,0.01067761
6.0,70.0,255.150,600.0,MEAN,0.00907762
6.0,70.0,270.100,600.0,MEAN,0.00774284
6.0,70.0,285.050,600.0,MEAN,0.00662382
6.0,70.0,300.000,600.0,MEAN,0.00568157
7.0,20.0,1.000,600.0,MEAN,1.43495270
7.0,20.0,15.950,600.0,MEAN,0.71388886
7.0,20.0,30.900,600.0,MEAN,0.44452818
7.0,20.0,45.850,600.0,MEAN,0.30614005
7.0,20.0,60.800,600.0,MEAN,0.22331287
7.0,20.0,75.750,600.0,MEAN,0.16907567
7.0,20.0,90.700,600.0,MEAN,0.13139643
7.0,20.0,105.650,600.0,MEAN,0.10410549
7.0,20.0,120.600,600.0,MEAN,0.08371889
