rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,pga
5.0,10.0,1.000,600.0,MEAN,0.53808061
5.0,10.0,15.950,600.0,MEAN,0.07514846
5.0,10.0,30.900,600.0,MEAN,0.03673152
5.0,10.0,45.850,600.0,MEAN,0.02272063
5.0,10.0,60.800,600.0,MEAN,0.01559290
5.0,10.0,75.750,600.0,MEAN,0.01134979
5.0,10.0,90.700,600.0,MEAN,0.00858070
5.0,10.0,105.650,600.0,MEAN,0.00666145
5.0,10.0,120.600,600.0,MEAN,0.00527368
5.0,10.0,135.550,600.0,MEAN,0.00423831
5.0,10.0,150.500,600.0,MEAN,0.00344709
5.0,10.0,165.450,600.0,MEAN,0.00283087
5.0,10.0,180.400,600.0,MEAN,0.00234356
5.0,10.0,195.350,600.0,MEAN,0.00195329
5.0,10.0,210.300,600.0,MEAN,0.00163743
5.0,10.0,225.250,600.0,MEAN,0.00137950
5.0,10.0,240.200,600.0,MEAN,0.00116728
5.0,10.0,255.150,600.0,MEAN,0.00099148
5.0,10.0,270.100,600.0,MEAN,0.00084502
5.0,10.0,285.050,600.0,MEAN,0.00072238
5.0,10.0,300.000,600.0,MEAN,0.00061922
5.0,20.0,1.000,600.0,MEAN,0.59408296
5.0,20.0,15.950,600.0,MEAN,0.08296975
5.0,20.0,30.900,600.0,MEAN,0.04055451
5.0,20.0,45.850,600.0,MEAN,0.02508538
5.0,20.0,60.800,600.0,MEAN,0.01721577
5.0,20.0,75.750,600.0,MEAN,0.01253106
5.0,20.0,90.700,600.0,MEAN,0.00947378
5.0,20.0,105.650,600.0,MEAN,0.00735475
5.0,20.0,120.600,600.0,MEAN,0.00582255
5.0,20.0,135.550,600.0,MEAN,0.00467943
5.0,20.0,150.500,600.0,MEAN,0.00380586
5.0,20.0,165.450,600.0,MEAN,0.00312551
5.0,20.0,180.400,600.0,MEAN,0.00258747
5.0,20.0,195.350,600.0,MEAN,0.00215659
5.0,20.0,210.300,600.0,MEAN,0.00180785
5.0,20.0,225.250,600.0,MEAN,0.00152309
5.0,20.0,240.200,600.0,MEAN,0.00128876
5.0,20.0,255.150,600.0,MEAN,0.00109468
5.0,20.0,270.100,600.0,MEAN,0.00093297
5.0,20.0,285.050,600.0,MEAN,0.00079756
5.0,20.0,300.000,600.0,MEAN,0.00068367
5.0,50.0,1.000,600.0,MEAN,0.79955299
5.0,50.0,15.950,600.0,MEAN,0.11166575
5.0,50.0,30.900,600.0,MEAN,0.05458068
5.0,50.0,45.850,600.0,MEAN,0.03376140
5.0,50.0,60.800,600.0,MEAN,0.02317003
5.0,50.0,75.750,600.0,MEAN,0.01686505
5.0,50.0,90.700,600.0,MEAN,0.01275037
5.0,50.0,105.650,600.0,MEAN,0.00989848
5.0,50.0,120.600,600.0,MEAN,0.00783635
5.0,50.0,135.550,600.0,MEAN,0.00629785
5.0,50.0,150.500,600.0,MEAN,0.00512216
5.0,50.0,165.450,600.0,MEAN,0.00420650
5.0,50.0,180.400,600.0,MEAN,0.00348238
5.0,50.0,195.350,600.0,MEAN,0.00290246
5.0,50.0,210.300,600.0,MEAN,0.00243311
5.0,50.0,225.250,600.0,MEAN,0.00204986
5.0,50.0,240.200,600.0,MEAN,0.00173450
5.0,50.0,255.150,600.0,MEAN,0.00147328
5.0,50.0,270.100,600.0,MEAN,0.00125565
5.0,50.0,285.050,600.0,MEAN,0.00107341
5.0,50.0,300.000,600.0,MEAN,0.00092013
6.0,10.0,1.000,600.0,MEAN,0.71707746
6.0,10.0,15.950,600.0,MEAN,0.19597570
6.0,10.0,30.900,600.0,MEAN,0.10415444
6.0,10.0,45.850,600.0,MEAN,0.06658691
6.0,10.0,60.800,600.0,MEAN,0.04651210
6.0,10.0,75.750,600.0,MEAN,0.03422991
6.0,10.0,90.700,600.0,MEAN,0.02607379
6.0,10.0,105.650,600.0,MEAN,0.02035260
6.0,10.0,120.600,600.0,MEAN,0.01617947
6.0,10.0,135.550,600.0,MEAN,0.01304536
6.0,10.0,150.500,600.0,MEAN,0.01063787
6.0,10.0,165.450,600.0,MEAN,0.00875508
6.0,10.0,180.400,600.0,MEAN,0.00726106
6.0,10.0,195.350,600.0,MEAN,0.00606118
6.0,10.0,210.300,600.0,MEAN,0.00508777
6.0,10.0,225.250,600.0,MEAN,0.00429129
6.0,10.0,240.200,600.0,MEAN,0.00363475
6.0,10.0,255.150,600.0,MEAN,0.00309010
6.0,10.0,270.100,600.0,MEAN,0.00263572
6.0,10.0,285.050,600.0,MEAN,0.00225481
6.0,10.0,300.000,600.0,MEAN,0.00193405
6.0,20.0,1.000,600.0,MEAN,0.79170937
6.0,20.0,15.950,600.0,MEAN,0.21637245
6.0,20.0,30.900,600.0,MEAN,0.11499474
6.0,20.0,45.850,600.0,MEAN,0.07351723
6.0,20.0,60.800,600.0,MEAN,0.05135298
6.0,20.0,75.750,600.0,MEAN,0.03779253
6.0,20.0,90.700,600.0,MEAN,0.02878753
6.0,20.0,105.650,600.0,MEAN,0.02247085
6.0,20.0,120.600,600.0,MEAN,0.01786340
6.0,20.0,135.550,600.0,MEAN,0.01440311
6.0,20.0,150.500,600.0,MEAN,0.01174505
6.0,20.0,165.450,600.0,MEAN,0.00966630
6.0,20.0,180.400,600.0,MEAN,0.00801677
6.0,20.0,195.350,600.0,MEAN,0.00669202
6.0,20.0,210.300,600.0,MEAN,0.00561730
