rup_mag,rup_hypo_depth,dist_rrup,site_lons,site_lats,site_vs30,result_type,pgv
5,10,0,143.8,37.7,400,MEAN,93.3385567505
5,10,25,143.8,37.7,400,MEAN,2.84553281945
5,10,50,143.8,37.7,400,MEAN,1.29010660213
5,10,100,143.8,37.7,400,MEAN,0.516881073371
5,10,0,144.027324,37.699782,400,MEAN,93.3385567505
5,10,25,144.027324,37.699782,400,MEAN,2.84553281945
5,10,50,144.027324,37.699782,400,MEAN,1.29010660213
5,10,100,144.027324,37.699782,400,MEAN,0.516881073371
5,10,0,144.936566,37.694545,400,MEAN,93.3385567505
5,10,25,144.936566,37.694545,400,MEAN,2.84553281945
5,10,50,144.936566,37.694545,400,MEAN,1.29010660213
5,10,100,144.936566,37.694545,400,MEAN,0.516881073371
5,10,0,148.342925,37.6128,400,MEAN,93.3385567505
5,10,25,148.342925,37.6128,400,MEAN,2.84553281945
5,10,50,148.342925,37.6128,400,MEAN,1.29010660213
5,10,100,148.342925,37.6128,400,MEAN,0.516881073371
5,50,0,143.8,37.7,400,MEAN,209.007120169
5,50,25,143.8,37.7,400,MEAN,6.37182147061
5,50,50,143.8,37.7,400,MEAN,2.88885402783
5,50,100,143.8,37.7,400,MEAN,1.15741905999
5,50,0,144.027324,37.699782,400,MEAN,201.562469118
5,50,25,144.027324,37.699782,400,MEAN,6.14486275568
5,50,50,144.027324,37.699782,400,MEAN,2.7859555708
5,50,100,144.027324,37.699782,400,MEAN,1.11619280409
5,50,0,144.936566,37.694545,400,MEAN,174.342857375
5,50,25,144.936566,37.694545,400,MEAN,5.31504171234
5,50,50,144.936566,37.694545,400,MEAN,2.4097316175
5,50,100,144.936566,37.694545,400,MEAN,0.965458717082
5,50,0,148.342925,37.6128,400,MEAN,101.190900393
5,50,25,148.342925,37.6128,400,MEAN,3.08492051004
5,50,50,148.342925,37.6128,400,MEAN,1.39864010348
5,50,100,148.342925,37.6128,400,MEAN,0.56036500918
7,10,0,143.8,37.7,400,MEAN,134.915262071
7,10,25,143.8,37.7,400,MEAN,31.4488146364
7,10,50,143.8,37.7,400,MEAN,16.1227953892
7,10,100,143.8,37.7,400,MEAN,6.92425756701
7,10,0,144.027324,37.699782,400,MEAN,134.915262071
7,10,25,144.027324,37.699782,400,MEAN,31.4488146364
7,10,50,144.027324,37.699782,400,MEAN,16.1227953892
7,10,100,144.027324,37.699782,400,MEAN,6.92425756701
7,10,0,144.936566,37.694545,400,MEAN,134.915262071
7,10,25,144.936566,37.694545,400,MEAN,31.4488146364
7,10,50,144.936566,37.694545,400,MEAN,16.1227953892
7,10,100,144.936566,37.694545,400,MEAN,6.92425756701
7,10,0,148.342925,37.6128,400,MEAN,134.915262071
7,10,25,148.342925,37.6128,400,MEAN,31.4488146364
7,10,50,148.342925,37.6128,400,MEAN,16.1227953892
7,10,100,148.342925,37.6128,400,MEAN,6.92425756701
7,50,0,143.8,37.7,400,MEAN,302.107203861
7,50,25,143.8,37.7,400,MEAN,70.4213393554
7,50,50,143.8,37.7,400,MEAN,36.1027548602
7,50,100,143.8,37.7,400,MEAN,15.5050515432
7,50,0,144.027324,37.699782,400,MEAN,291.346409153
7,50,25,144.027324,37.699782,400,MEAN,67.9129927613
7,50,50,144.027324,37.699782,400,MEAN,34.8168062681
7,50,100,144.027324,37.699782,400,MEAN,14.9527751511
7,50,0,144.936566,37.694545,400,MEAN,252.002099796
7,50,25,144.936566,37.694545,400,MEAN,58.7418146976
7,50,50,144.936566,37.694545,400,MEAN,30.1150383602
7,50,100,144.936566,37.694545,400,MEAN,12.9335067036
7,50,0,148.342925,37.6128,400,MEAN,146.265351865
7,50,25,148.342925,37.6128,400,MEAN,34.0945262079
7,50,50,148.342925,37.6128,400,MEAN,17.4791665854
7,50,100,148.342925,37.6128,400,MEAN,7.50677835773
8.5,10,0,143.8,37.7,400,MEAN,171.419838385
8.5,10,25,143.8,37.7,400,MEAN,93.60860932
8.5,10,50,143.8,37.7,400,MEAN,60.1379229356
8.5,10,100,143.8,37.7,400,MEAN,30.6539186299
8.5,10,0,144.027324,37.699782,400,MEAN,171.419838385
8.5,10,25,144.027324,37.699782,400,MEAN,93.60860932
8.5,10,50,144.027324,37.699782,400,MEAN,60.1379229356
8.5,10,100,144.027324,37.699782,400,MEAN,30.6539186299
8.5,10,0,144.936566,37.694545,400,MEAN,171.419838385
8.5,10,25,144.936566,37.694545,400,MEAN,93.60860932
8.5,10,50,144.936566,37.694545,400,MEAN,60.1379229356
8.5,10,100,144.936566,37.694545,400,MEAN,30.6539186299
8.5,10,0,148.342925,37.6128,400,MEAN,171.419838385
8.5,10,25,148.342925,37.6128,400,MEAN,93.60860932
8.5,10,50,148.342925,37.6128,400,MEAN,60.1379229356
8.5,10,100,148.342925,37.6128,400,MEAN,30.6539186299
8.5,50,0,143.8,37.7,400,MEAN,383.849590222
8.5,50,25,143.8,37.7,400,MEAN,209.611831788
8.5,50,50,143.8,37.7,400,MEAN,134.663043048
8.5,50,100,143.8,37.7,400,MEAN,68.6413790588
8.5,50,0,144.027324,37.699782,400,MEAN,370.177203115
8.5,50,25,144.027324,37.699782,400,MEAN,202.145641438
8.5,50,50,144.027324,37.699782,400,MEAN,129.866463084
8.5,50,100,144.027324,37.699782,400,MEAN,66.1964330956
8.5,50,0,144.936566,37.694545,400,MEAN,320.187342459
8.5,50,25,144.936566,37.694545,400,MEAN,174.847276323
8.5,50,50,144.936566,37.694545,400,MEAN,112.328899077
8.5,50,100,144.936566,37.694545,400,MEAN,57.2570644944
8.5,50,0,148.342925,37.6128,400,MEAN,185.840968569
8.5,50,25,148.342925,37.6128,400,MEAN,101.483671822
8.5,50,50,148.342925,37.6128,400,MEAN,65.1971787594
8.5,50,100,148.342925,37.6128,400,MEAN,33.2327575518
