rup_mag,rup_hypo_depth,dist_rhypo,dist_rrup,site_vs30,result_type,damping,pga,0.04,0.05,0.07,0.10,0.20,0.30,0.40,0.50,0.75,1.00,1.50,2.00,3.00,4.00,5.00,pgv
5.0,0,0,0,760,MEAN,5,0.15453077,0.24419091,0.30705442,0.33707737,0.31495137,0.29497551,0.24593170,0.12376956,0.09854677,0.05554827,0.03513168,0.01571133,0.00884560,0.00497719,0.00222455,0.00125169,4.84519298
5.0,0,10,10,760,MEAN,5,0.03607979,0.05650688,0.07080050,0.07800123,0.07314190,0.06924068,0.05814222,0.02962914,0.02376016,0.01348899,0.00859230,0.00385633,0.00217891,0.00122821,0.00054993,0.00030998,1.16820224
5.0,0,50,50,760,MEAN,5,0.00535242,0.00800787,0.00985153,0.01105394,0.01055674,0.01055771,0.00919594,0.00499623,0.00415594,0.00244735,0.00161704,0.00073915,0.00042535,0.00024197,0.00010934,0.00006220,0.20433261
5.0,0,75,75,760,MEAN,5,0.00290306,0.00422021,0.00513246,0.00582551,0.00562785,0.00582598,0.00519263,0.00293709,0.00249997,0.00150644,0.00101852,0.00047096,0.00027415,0.00015685,0.00007128,0.00004079,0.12291484
5.0,0,150,150,760,MEAN,5,0.00078000,0.00104013,0.00122203,0.00143577,0.00143579,0.00164855,0.00157439,0.00100491,0.00091651,0.00059176,0.00042870,0.00020519,0.00012364,0.00007197,0.00003328,0.00001937,0.04506145
5.0,0,200,200,760,MEAN,5,0.00038655,0.00048663,0.00055872,0.00067173,0.00068739,0.00084569,0.00084570,0.00058510,0.00055877,0.00037778,0.00028658,0.00014036,0.00008655,0.00005096,0.00002384,0.00001404,0.02747288
5.0,0,250,250,760,MEAN,5,0.00020432,0.00024284,0.00027247,0.00033521,0.00035101,0.00046273,0.00048454,0.00036336,0.00036337,0.00025725,0.00020434,0.00010241,0.00006462,0.00003849,0.00001821,0.00001085,0.01786541
5.0,0,300,300,760,MEAN,5,0.00011250,0.00012623,0.00013840,0.00017424,0.00018670,0.00026373,0.00028918,0.00023506,0.00024614,0.00018246,0.00015177,0.00007784,0.00005026,0.00003028,0.00001449,0.00000873,0.01210160
5.0,0,400,400,760,MEAN,5,0.00003683,0.00003683,0.00003857,0.00005084,0.00005705,0.00009252,0.00011123,0.00010623,0.00012197,0.00009914,0.00009042,0.00004856,0.00003283,0.00002024,0.00000991,0.00000611,0.00599675
5.0,0,500,500,760,MEAN,5,0.00001286,0.00001146,0.00001146,0.00001582,0.00001859,0.00003462,0.00004564,0.00005121,0.00006447,0.00005746,0.00005746,0.00003231,0.00002287,0.00001443,0.00000723,0.00000456,0.00316966
5.0,5,0,0,760,MEAN,5,0.16558271,0.26165527,0.33282455,0.36536724,0.34138427,0.30887728,0.25457427,0.12811910,0.10084222,0.05684216,0.03553848,0.01578385,0.00879482,0.00495432,0.00221688,0.00124882,4.95805203
5.0,5,10,10,760,MEAN,5,0.03866019,0.06054821,0.07674257,0.08454763,0.07928047,0.07250389,0.06018547,0.03067037,0.02431360,0.01380318,0.00869179,0.00387413,0.00216640,0.00122256,0.00054803,0.00030927,1.19541317
5.0,5,50,50,760,MEAN,5,0.00573522,0.00858059,0.01067834,0.01198166,0.01144274,0.01105528,0.00951911,0.00517181,0.00425274,0.00250435,0.00163577,0.00074257,0.00042291,0.00024085,0.00010896,0.00006205,0.20909213
5.0,5,75,75,760,MEAN,5,0.00311069,0.00452204,0.00556321,0.00631443,0.00610018,0.00610055,0.00537511,0.00304031,0.00255821,0.00154153,0.00103032,0.00047313,0.00027258,0.00015613,0.00007104,0.00004069,0.12577790
5.0,5,150,150,760,MEAN,5,0.00083579,0.00111451,0.00132459,0.00155627,0.00155629,0.00172625,0.00162972,0.00104023,0.00093786,0.00060554,0.00043366,0.00020614,0.00012293,0.00007164,0.00003316,0.00001933,0.04611107
5.0,5,200,200,760,MEAN,5,0.00041420,0.00052143,0.00060561,0.00072811,0.00074508,0.00088554,0.00087542,0.00060566,0.00057179,0.00038658,0.00028990,0.00014101,0.00008605,0.00005073,0.00002376,0.00001400,0.02811281
