rlzi,sid,eid,gmv_PGA,gmv_SA(0.3),gmv_SA(1.0)
0,0,0,0.062,0.119,0.157
0,1,0,0.086,1.533,0.26
0,2,0,0.223,1.647,0.232
0,3,0,0.218,2.753,0.359
0,4,0,0.17,1.731,0.873
0,5,0,0.37,3.137,0.353
0,6,0,0.082,1.967,0.186
0,0,1,0.107,0.125,0.067
0,1,1,0.174,0.44,0.137
0,2,1,0.074,0.675,0.34
0,3,1,0.283,0.393,1.65
0,4,1,0.613,0.607,0.318
0,5,1,0.414,0.938,1.08
0,6,1,0.135,0.187,0.186
0,0,2,0.087,0.102,0.07
0,1,2,0.153,0.353,0.131
0,2,2,0.113,0.366,0.348
0,3,2,0.37,1.319,1.003
0,4,2,0.405,1.937,0.217
0,5,2,0.316,0.716,0.157
0,6,2,0.112,0.51,0.064
0,0,3,0.061,0.108,0.118
0,1,3,0.163,0.401,0.379
0,2,3,0.301,0.299,0.472
0,3,3,0.605,0.357,1.933
0,4,3,0.658,0.536,0.91
0,5,3,0.633,0.994,0.851
0,6,3,0.128,0.128,0.517
0,0,4,0.029,0.102,0.096
0,1,4,0.271,0.617,0.314
0,2,4,0.181,0.549,0.534
0,3,4,0.584,1.982,3.131
0,4,4,0.428,1.238,1.176
0,5,4,0.464,2.1,1.118
0,6,4,0.103,0.909,0.588
0,0,5,0.078,0.146,0.149
0,1,5,0.268,0.219,0.684
0,2,5,0.115,0.594,0.483
0,3,5,1.17,0.677,0.785
0,4,5,1.486,0.993,1.539
0,5,5,0.604,0.69,1.872
0,6,5,0.426,0.782,0.456
0,0,6,0.029,0.047,0.271
0,1,6,0.162,0.381,0.68
0,2,6,0.098,0.409,0.575
0,3,6,0.34,1.97,1.2
0,4,6,0.358,0.973,1.611
0,5,6,0.7,1.334,1.565
0,6,6,0.124,0.324,0.82
0,0,7,0.156,0.262,0.252
0,1,7,0.389,0.333,0.331
0,2,7,0.351,0.294,0.656
0,3,7,0.667,0.744,1.632
0,4,7,0.296,1.296,0.999
0,5,7,0.742,2.138,1.339
0,6,7,0.173,0.896,0.664
0,0,8,0.068,0.074,0.119
0,1,8,0.125,0.39,0.3
0,2,8,0.049,0.205,0.281
0,3,8,0.325,0.54,1.039
0,4,8,0.614,0.375,0.713
0,5,8,0.901,0.457,0.677
0,6,8,0.219,0.174,0.379
0,0,9,0.106,0.145,0.078
0,1,9,0.12,0.515,0.401
0,2,9,0.132,0.213,0.461
0,3,9,0.298,0.477,0.729
0,4,9,0.213,0.873,3.15
0,5,9,0.46,2.718,2.301
0,6,9,0.183,0.786,1.189
