rlzi,sid,eid,gmv_PGA,gmv_SA(0.3),gmv_SA(1.0)
0,0,0,0.062,0.119,0.157
0,1,0,0.086,1.533,0.260
0,2,0,0.223,1.647,0.232
0,3,0,0.218,2.753,0.359
0,4,0,0.170,1.731,0.873
0,5,0,0.370,3.137,0.353
0,6,0,0.082,1.967,0.186
0,0,1,0.107,0.125,0.067
0,1,1,0.174,0.440,0.137
0,2,1,0.074,0.675,0.340
0,3,1,0.283,0.393,1.650
0,4,1,0.613,0.607,0.318
0,5,1,0.414,0.938,1.080
0,6,1,0.135,0.187,0.186
0,0,2,0.087,0.102,0.070
0,1,2,0.153,0.353,0.131
0,2,2,0.113,0.366,0.348
0,3,2,0.370,1.319,1.003
0,4,2,0.405,1.937,0.217
0,5,2,0.316,0.716,0.157
0,6,2,0.112,0.510,0.064
0,0,3,0.061,0.108,0.118
0,1,3,0.163,0.401,0.379
0,2,3,0.301,0.299,0.472
0,3,3,0.605,0.357,1.933
0,4,3,0.658,0.536,0.910
0,5,3,0.633,0.994,0.851
0,6,3,0.128,0.128,0.517
0,0,4,0.029,0.102,0.096
0,1,4,0.271,0.617,0.314
0,2,4,0.181,0.549,0.534
0,3,4,0.584,1.982,3.131
0,4,4,0.428,1.238,1.176
0,5,4,0.464,2.100,1.118
0,6,4,0.103,0.909,0.588
0,0,5,0.078,0.146,0.149
0,1,5,0.268,0.219,0.684
0,2,5,0.115,0.594,0.483
0,3,5,1.170,0.677,0.785
0,4,5,1.486,0.993,1.539
0,5,5,0.604,0.690,1.872
0,6,5,0.426,0.782,0.456
0,0,6,0.029,0.047,0.271
0,1,6,0.162,0.381,0.680
0,2,6,0.098,0.409,0.575
0,3,6,0.340,1.970,1.200
0,4,6,0.358,0.973,1.611
0,5,6,0.700,1.334,1.565
0,6,6,0.124,0.324,0.820
0,0,7,0.156,0.262,0.252
0,1,7,0.389,0.333,0.331
0,2,7,0.351,0.294,0.656
0,3,7,0.667,0.744,1.632
0,4,7,0.296,1.296,0.999
0,5,7,0.742,2.138,1.339
0,6,7,0.173,0.896,0.664
0,0,8,0.068,0.074,0.119
0,1,8,0.125,0.390,0.300
0,2,8,0.049,0.205,0.281
0,3,8,0.325,0.540,1.039
0,4,8,0.614,0.375,0.713
0,5,8,0.901,0.457,0.677
0,6,8,0.219,0.174,0.379
0,0,9,0.106,0.145,0.078
0,1,9,0.120,0.515,0.401
0,2,9,0.132,0.213,0.461
0,3,9,0.298,0.477,0.729
0,4,9,0.213,0.873,3.150
0,5,9,0.460,2.718,2.301
0,6,9,0.183,0.786,1.189
0,0,10,0.031,0.291,0.467
0,1,10,0.184,0.273,0.605
0,2,10,0.255,0.544,0.355
0,3,10,0.543,0.823,1.714
0,4,10,0.436,0.355,1.372
0,5,10,0.547,0.403,0.646
0,6,10,0.104,0.375,0.338
0,0,11,0.193,0.256,0.233
0,1,11,0.146,0.275,0.344
0,2,11,0.272,0.835,1.377
0,3,11,0.300,2.432,1.250
0,4,11,0.779,0.604,0.996
0,5,11,0.491,0.624,1.776
0,6,11,0.347,0.679,0.282
0,0,12,0.113,0.159,0.110
0,1,12,0.447,0.705,0.754
0,2,12,0.288,0.347,1.502
0,3,12,0.311,3.630,1.745
0,4,12,1.198,3.235,1.149
0,5,12,1.392,0.948,1.468
0,6,12,0.355,0.283,0.439
0,0,13,0.045,0.137,0.125
0,1,13,0.304,0.501,0.183
0,2,13,0.147,0.178,0.081
0,3,13,1.006,0.676,0.350
0,4,13,0.769,0.635,0.638
0,5,13,0.905,1.827,0.775
0,6,13,0.156,0.943,0.108
0,0,14,0.041,0.229,0.159
0,1,14,0.223,0.373,0.323
0,2,14,0.259,0.371,0.393
0,3,14,0.843,1.145,0.956
0,4,14,0.677,1.355,1.026
0,5,14,0.228,1.897,0.730
0,6,14,0.356,0.948,0.358
0,0,15,0.066,0.144,0.056
0,1,15,0.536,1.345,0.167
0,2,15,0.238,1.104,0.373
0,3,15,0.959,2.312,0.671
0,4,15,0.959,1.571,0.349
0,5,15,0.340,0.663,0.453
0,6,15,0.561,0.370,0.350
0,0,16,0.071,0.495,0.148
0,1,16,0.413,0.177,0.330
0,2,16,0.233,0.268,0.260
0,3,16,0.624,1.194,0.459
0,4,16,0.617,0.614,0.425
0,5,16,0.550,0.647,0.755
0,6,16,0.130,0.542,0.118
0,0,17,0.117,0.178,0.152
0,1,17,0.218,0.574,1.325
0,2,17,0.439,0.666,0.710
0,3,17,0.565,1.447,3.222
0,4,17,0.521,2.255,3.060
0,5,17,0.911,1.471,2.561
0,6,17,0.220,0.479,0.533
0,0,18,0.049,0.157,0.041
0,1,18,0.292,1.391,0.430
0,2,18,0.211,0.605,0.650
0,3,18,0.332,1.324,0.877
0,4,18,0.570,0.659,1.086
0,5,18,1.204,0.500,0.434
0,6,18,0.305,0.587,0.314
0,0,19,0.064,0.201,0.148
0,1,19,0.259,0.300,0.345
0,2,19,0.417,0.354,0.220
0,3,19,0.583,0.787,0.529
0,4,19,0.813,1.022,0.714
0,5,19,0.386,1.692,0.503
0,6,19,0.353,0.255,0.674
0,0,20,0.123,0.208,0.111
0,1,20,0.494,0.369,0.429
0,2,20,0.416,0.393,0.337
0,3,20,1.028,1.423,1.368
0,4,20,1.405,2.849,1.933
0,5,20,1.026,2.521,0.631
0,6,20,0.293,1.140,0.331
0,0,21,0.033,0.077,0.051
0,1,21,0.307,0.277,0.573
0,2,21,0.201,0.262,0.461
0,3,21,0.653,0.237,2.867
0,4,21,0.834,0.696,1.144
0,5,21,0.449,0.947,0.795
0,6,21,0.166,0.364,0.551
0,0,22,0.037,0.179,0.082
0,1,22,0.112,0.378,0.644
0,2,22,0.072,0.563,0.779
0,3,22,0.294,1.350,2.304
0,4,22,0.176,2.253,1.329
0,5,22,0.577,3.276,1.692
0,6,22,0.101,0.400,0.232
0,0,23,0.071,0.340,0.068
0,1,23,0.135,0.210,0.395
0,2,23,0.192,0.562,0.718
0,3,23,0.371,0.799,1.644
0,4,23,0.418,0.333,1.961
0,5,23,0.716,0.546,0.623
0,6,23,0.211,0.186,0.278
0,0,24,0.071,0.118,0.121
0,1,24,0.154,0.767,0.346
0,2,24,0.154,0.746,0.844
0,3,24,0.873,2.402,1.584
0,4,24,0.280,1.607,0.965
0,5,24,0.586,4.136,2.199
