rup_mag,dist_rrup,damping,result_type,PGA,0.1,0.2,1.0
7.6,10,5,MEAN,0.44334,0.75962,0.7071,0.33796
7.6,12,5,MEAN,0.42077,0.73154,0.67011,0.32204
7.6,15,5,MEAN,0.37524,0.678,0.60382,0.291
7.6,18,5,MEAN,0.33539,0.62286,0.54736,0.26506
7.6,22,5,MEAN,0.2903,0.56302,0.48124,0.2369
7.6,27,5,MEAN,0.24595,0.49551,0.41081,0.2034
7.6,33,5,MEAN,0.2032,0.43565,0.352,0.17835
7.6,39,5,MEAN,0.17054,0.38751,0.30391,0.15512
7.6,47,5,MEAN,0.13675,0.33027,0.25382,0.13272
7.6,56,5,MEAN,0.10828,0.27918,0.21224,0.11337
7.6,68,5,MEAN,0.08321,0.23761,0.17147,0.09558
7.6,82,5,MEAN,0.06117,0.19144,0.13769,0.07855
7.6,100,5,MEAN,0.04473,0.15245,0.10589,0.06313
