rup_hypo_depth,rup_mag,dist_rrup,result_type,component_type,damping,0.01,0.02,0.03,0.05,0.075,0.1,0.15,0.2,0.25,0.3003,0.4,0.5,0.75,1,1.4993,2,3.003,4,pga
5,4,0.0002,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,4,5,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,4,20,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,4,50,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,4,100,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,4,400,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,5,0.0002,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,5,5,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,5,20,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,5,50,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,5,100,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,5,400,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,6,0.0002,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,6,5,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,6,20,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,6,50,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,6,100,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
5,6,400,TOTAL_STDDEV,AVERAGE_HORIZONTAL,5,0.948665058,1.009223046,0.992414226,0.919652486,0.876133954,0.856561655,0.83745005,0.827549082,0.823174171,0.819250202,0.816036157,0.81097047,0.804753956,0.802911422,0.804061275,0.802220646,0.798300033,0.796003667,0.948665058
