PGA,SA0.2,SA0.5,SA1.0,SA2.0
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059318,0.245942813,0.152727788,0.107562555,0.12262229
0.241059317,0.245942813,0.152727788,0.107562555,0.12262229
0.241059317,0.245942813,0.152727788,0.107562555,0.12262229
0.241059317,0.245942813,0.152727788,0.107562555,0.12262229
0.241059317,0.245942813,0.152727788,0.107562555,0.12262229
0.241059316,0.245942813,0.152727788,0.107562555,0.12262229
0.241059316,0.245942813,0.152727788,0.107562555,0.12262229
0.241059315,0.245942813,0.152727788,0.107562555,0.12262229
0.241059315,0.245942813,0.152727788,0.107562555,0.12262229
0.241059314,0.245942813,0.152727788,0.107562555,0.12262229
0.241059313,0.245942813,0.152727788,0.107562555,0.12262229
0.241059312,0.245942813,0.152727788,0.107562555,0.12262229
0.241059311,0.245942813,0.152727788,0.107562555,0.12262229
0.24105931,0.245942813,0.152727788,0.107562554,0.12262229
0.241059308,0.245942813,0.152727788,0.107562554,0.12262229
0.241059306,0.245942813,0.152727788,0.107562554,0.12262229
0.241059303,0.245942813,0.152727788,0.107562554,0.12262229
0.2410593,0.245942813,0.152727788,0.107562554,0.12262229
0.241059296,0.245942813,0.152727788,0.107562553,0.12262229
0.241059291,0.245942813,0.152727788,0.107562553,0.12262229
0.241059286,0.245942813,0.152727788,0.107562552,0.12262229
0.241059279,0.245942813,0.152727788,0.107562552,0.12262229
0.24105927,0.245942813,0.152727788,0.107562551,0.12262229
0.241059259,0.245942813,0.152727788,0.10756255,0.12262229
0.241059246,0.245942813,0.152727788,0.107562549,0.12262229
0.241059229,0.245942813,0.152727788,0.107562547,0.12262229
0.241059209,0.245942813,0.152727788,0.107562546,0.12262229
0.241059183,0.245942813,0.152727788,0.107562543,0.12262229
0.241059151,0.245942813,0.152727788,0.10756254,0.12262229
0.24105911,0.245942813,0.152727788,0.107562536,0.12262229
0.24105906,0.245942813,0.152727788,0.107562531,0.12262229
0.241058996,0.245942812,0.152727788,0.107562524,0.12262229
0.241058916,0.245942812,0.152727788,0.107562516,0.12262229
0.241058815,0.245942811,0.152727788,0.107562505,0.12262229
0.241058687,0.24594281,0.152727788,0.107562491,0.12262229
0.241058526,0.245942809,0.152727788,0.107562473,0.122622289
0.241058322,0.245942806,0.152727788,0.10756245,0.122622289
0.241058065,0.245942804,0.152727788,0.10756242,0.122622289
0.24105774,0.245942799,0.152727788,0.107562381,0.122622288
0.241057328,0.245942794,0.152727788,0.107562331,0.122622287
0.241056808,0.245942785,0.152727788,0.107562266,0.122622286
0.24105615,0.245942773,0.152727788,0.107562182,0.122622284
0.241055319,0.245942757,0.152727788,0.107562074,0.122622282
0.241054268,0.245942733,0.152727788,0.107561933,0.122622278
0.241052941,0.2459427,0.152727788,0.107561752,0.122622273
0.241051267,0.245942653,0.152727788,0.107561518,0.122622265
0.241049157,0.245942587,0.152727788,0.107561217,0.122622255
0.241046498,0.245942493,0.152727788,0.107560829,0.12262224
0.241043154,0.245942362,0.152727788,0.107560331,0.12262222
0.24103895,0.245942179,0.152727787,0.107559691,0.12262219
0.241033675,0.245941922,0.152727787,0.107558869,0.122622149
0.241027065,0.245941562,0.152727786,0.107557818,0.122622091
0.241018795,0.245941062,0.152727785,0.107556475,0.122622009
0.241008469,0.245940366,0.152727783,0.107554763,0.122621895
0.240995602,0.245939402,0.15272778,0.107552583,0.122621736
0.240979603,0.24593807,0.152727774,0.107549817,0.122621515
0.240959761,0.245936235,0.152727766,0.107546315,0.122621208
0.240935221,0.245933717,0.152727752,0.107541895,0.122620784
0.240904966,0.245930276,0.152727729,0.107536336,0.122620201
0.240867792,0.245925594,0.152727694,0.107529368,0.122619404
0.240822296,0.245919259,0.152727637,0.107520671,0.122618318
0.240766853,0.245910732,0.152727549,0.107509867,0.122616848
0.24069962,0.24589933,0.152727412,0.107496513,0.12261487
0.240618538,0.245884191,0.152727201,0.107480104,0.122612229
0.240521363,0.245864252,0.152726879,0.107460075,0.122608731
