id;n_rec;Ev_lat;Ev_lon;mag;Be;be_std;stress;Main_ev;Cluster;Depth
090317011253;26;41.986;14.017;3.6;-0.089080736;0.657040682;1.7365;0;NaN;6.7
090329084310;23;41.985;14.002;3.7;-0.010938058;0.670903033;2.1586;0;1;8.1
090330133841;35;42.321;13.376;4;-0.111250817;0.727402063;1.4431;1;1;9.8
090330134329;23;42.315;13.378;3.5;-0.378664814;0.653672952;0.77363;0;1;9.7
090330215719;19;42.316;13.375;3.42;-0.57137149;0.772372032;0.47983;0;1;9.5
090405204856;34;42.325;13.382;3.9;-0.55011132;0.753341048;1.3046;0;1;9.5
090406013242;27;42.342;13.38;6.1;-0.776277506;0.862556718;10;1;1;8.3
090406022748;39;42.366;13.319;4.12;-0.644173849;0.793654443;1.5341;0;1;8.3
090406023706;42;42.36;13.328;4.9;-0.722568521;0.998300603;2.5754;0;1;8.7
090406035648;32;42.335;13.386;4.3;-0.731246571;0.819887269;1.3964;0;1;9.3
090406044756;28;42.356;13.356;3.8;-0.853796258;0.666948655;0.40454;0;1;9.1
090406071712;24;42.356;13.383;4.1;-0.420361727;0.822511417;1.096;0;1;9
090406073943;14;42.322;13.382;3.45;-0.512003694;0.724676894;0.64692;0;1;9.2
090406101238;33;42.317;13.384;3.6;-0.229151245;0.674963982;0.91915;0;1;9.7
090406131407;15;42.232;13.492;3.6;-0.478324125;0.762886691;0.76196;0;1;9.2
090406163812;39;42.363;13.339;4.3;-0.802873675;0.734051562;1.4419;0;1;10
090406215656;37;42.384;13.342;3.7;-0.301057167;0.685306821;1.1423;0;1;10
090406224716;39;42.326;13.303;3.6;-0.450823291;0.584850156;0.91266;0;1;10.2
090406231539;48;42.463;13.385;5;-0.560926845;0.77251154;4.3956;0;1;9.7
090407092459;30;42.343;13.391;3.71;-0.606487546;0.517081192;1.1473;0;1;9.5
090407092631;42;42.336;13.387;4.9;-0.891075856;0.729354934;1.9633;0;1;9.6
090407093059;25;42.332;13.371;3.68;-0.789484973;0.527837019;0.63646;0;1;9.8
090407122929;27;42.455;13.413;3.44;-0.412745479;1.065182949;0.691;0;1;8.7
090407174739;55;42.303;13.486;5.4;-0.09034509;0.653479461;9.0545;0;1;17.1
090407213432;51;42.364;13.365;4.3;-0.518437929;0.89887393;1.4531;0;1;9.6
090407213909;35;42.356;13.36;3.6;-0.452794121;0.649085773;0.6737;0;0;9.9
090408030037;33;42.293;13.462;3.6;-0.70174658;0.704995958;0.37766;0;1;0
090408042743;34;42.29;13.462;3.8;-0.446730647;0.674524354;0.88836;0;1;9
090408225652;50;42.497;13.367;3.9;0.066320828;0.790803258;2.4639;0;1;10.8
090408231809;35;42.386;13.331;3.4;-0.593208193;0.900243031;0.59667;0;0;11
090409005302;54;42.489;13.351;5.2;-0.255292997;0.832329763;5.0815;0;1;0
090409031454;47;42.335;13.444;4.2;-0.452456784;0.856339208;2.0896;0;1;17.1
090409043247;52;42.445;13.434;4.1;-0.21826146;0.850034309;2.0199;0;1;9.8
090409044312;46;42.502;13.373;3.7;-0.306700807;1.026978659;1.4244;0;1;9.6
090409131836;39;42.342;13.261;4;-0.434815364;0.854620999;1.4182;1;1;11.8
090409131936;50;42.341;13.259;3.8;-0.048671054;0.824544214;1.5255;0;1;9.7
090409193819;67;42.504;13.35;5;-0.188917493;0.720032346;6.0354;1;1;9.3
090409224008;60;42.477;13.312;3.6;-0.147662674;0.762069808;1.8502;0;1;11.1
090410032224;56;42.463;13.42;3.7;-0.237797197;0.804517613;1.0669;0;1;9.6
090410043306;44;42.45;13.378;3.46;-0.186518876;0.777756991;1.4349;0;1;11.2
090410154620;63;42.345;13.382;3.2;0.786714798;0.773826045;2.81;0;1;9.8
090411053902;48;42.386;13.418;3.5;-0.187448733;0.951687816;1.3102;0;1;10.6
090412094901;60;42.352;13.386;3.3;0.242719173;0.713994275;0.97745;0;1;9.6
090413133607;62;42.445;13.455;3.6;-0.262777103;0.815125597;0.81457;0;1;9.1
090413190951;60;42.351;13.346;3.7;-0.234123328;0.736394522;0.96681;0;1;9.6
090413191800;56;42.352;13.341;3.4;-0.413832047;0.874533502;0.47331;0;1;9.7
090413211426;75;42.498;13.377;4.8;-0.162998062;0.789061424;3.5181;0;1;9
090414135623;67;42.542;13.32;3.8;-0.104405779;0.821429762;1.0946;0;1;9.9
090414172733;47;42.528;13.313;3.6;-0.07434587;0.795586129;1.1385;0;1;7.8
090414201729;68;42.526;13.298;3.7;0.171785776;0.909034606;2.1252;0;1;10.3
090415225310;71;42.515;13.33;3.8;-0.024502803;0.973113648;2.0222;0;1;9.8
090416174932;57;42.535;13.291;3.7;0.33645383;0.78962918;2.6339;0;1;11.5
090418090558;59;42.436;13.359;3.8;-0.057236921;0.75656139;1.4431;0;1;14.5
090421154438;52;42.324;13.371;3.5;-0.467572471;0.802400395;0.54529;0;NaN;10
090422123227;53;42.576;12.833;3.49;-0.76497041;0.663114325;0.24542;0;NaN;8.9
090423151410;69;42.247;13.484;4.07;-0.534389334;0.693874189;1.2804;0;NaN;10.3
090423214903;72;42.228;13.486;4.2;-0.653741728;0.857156629;1.0939;0;NaN;9.7
090425111307;51;42.81;12.942;3.71;0.168719972;1.546336969;3.7437;0;1;12
090430130104;71;42.358;13.358;3.5;-0.335578004;0.740344871;0.85768;0;NaN;10.5
090501051254;70;42.287;13.462;3.6;-0.359385942;0.86150471;0.84819;0;1;9.6
090509090942;74;42.346;13.358;3.44;-0.45451769;0.742577608;0.77342;0;0;10.4
