rup_mag,dist_rhypo,result_type,damping,pgv,pga
2.00,1.00,MEAN,5.0,3.19363295e-01,8.48377856e-03
2.00,5.00,MEAN,5.0,3.70761725e-02,9.84916059e-04
2.00,10.00,MEAN,5.0,1.45135950e-02,3.85548772e-04
2.00,20.00,MEAN,5.0,5.59120101e-03,1.48528375e-04
2.00,50.00,MEAN,5.0,1.50156762e-03,3.98886390e-05
3.00,1.00,MEAN,5.0,3.51872235e+00,9.74965671e-02
3.00,5.00,MEAN,5.0,4.08502665e-01,1.13187696e-02
3.00,10.00,MEAN,5.0,1.59909771e-01,4.43077120e-03
3.00,20.00,MEAN,5.0,6.16034601e-02,1.70690531e-03
3.00,50.00,MEAN,5.0,1.65441666e-02,4.58404866e-04
4.00,1.00,MEAN,5.0,2.64657984e+01,6.70176700e-01
4.00,5.00,MEAN,5.0,3.07252124e+00,7.78035151e-02
4.00,10.00,MEAN,5.0,1.20274899e+00,3.04564531e-02
4.00,20.00,MEAN,5.0,4.63345667e-01,1.17330097e-02
4.00,50.00,MEAN,5.0,1.24435671e-01,3.15100592e-03
5.00,1.00,MEAN,5.0,1.35889218e+02,2.75542963e+00
5.00,5.00,MEAN,5.0,1.57759272e+01,3.19888935e-01
5.00,10.00,MEAN,5.0,6.17554087e+00,1.25221622e-01
5.00,20.00,MEAN,5.0,2.37905842e+00,4.82402367e-02
5.00,50.00,MEAN,5.0,6.38917663e-01,1.29553520e-02
6.00,1.00,MEAN,5.0,4.76304846e+02,6.77624850e+00
6.00,5.00,MEAN,5.0,5.52961500e+01,7.86682010e-01
6.00,10.00,MEAN,5.0,2.16458677e+01,3.07949373e-01
6.00,20.00,MEAN,5.0,8.33882972e+00,1.18634070e-01
6.00,50.00,MEAN,5.0,2.23946817e+00,3.18602529e-02
