rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
6.5,90.0,60.0,300.0,120.0,MEAN,5,2.06552717e-01,3.85790872e-01,4.81487411e-01,3.13449039e-01,1.41816968e-01,3.89948812e-02,5.39738406e-03
6.5,90.0,120.0,300.0,60.0,MEAN,5,6.45614397e-02,1.27779855e-01,1.60985940e-01,1.18112639e-01,5.99642613e-02,1.73547169e-02,2.39327383e-03
6.5,90.0,180.0,300.0,-0.0,MEAN,5,1.68505587e-02,2.94500215e-02,4.20860817e-02,4.16841431e-02,2.65182004e-02,8.87095407e-03,1.24747793e-03
6.5,90.0,240.0,300.0,-60.0,MEAN,5,3.42856085e-03,4.66798806e-03,8.28112051e-03,1.31489325e-02,1.17344656e-02,5.10861584e-03,7.59251459e-04
6.5,90.0,300.0,300.0,-120.0,MEAN,5,1.41721245e-03,1.75845063e-03,3.37503189e-03,6.53659979e-03,6.65790069e-03,3.22400189e-03,4.67896160e-04
6.5,90.0,60.0,600.0,120.0,MEAN,5,1.80549094e-01,4.02928816e-01,4.35129545e-01,2.11274299e-01,8.41787993e-02,2.33330158e-02,3.57083222e-03
6.5,90.0,120.0,600.0,60.0,MEAN,5,5.06613012e-02,1.12234117e-01,1.22291393e-01,7.28334760e-02,3.41454246e-02,1.03186431e-02,1.58335579e-03
6.5,90.0,180.0,600.0,-0.0,MEAN,5,1.27579704e-02,2.43742920e-02,3.02235063e-02,2.50109249e-02,1.49102847e-02,5.26422562e-03,8.25313581e-04
6.5,90.0,240.0,600.0,-60.0,MEAN,5,2.57004852e-03,3.79914004e-03,5.85511293e-03,7.83089574e-03,6.57521164e-03,3.02997252e-03,5.02309923e-04
6.5,90.0,300.0,600.0,-120.0,MEAN,5,1.06075660e-03,1.42755327e-03,2.38075728e-03,3.88858421e-03,3.72873531e-03,1.91203903e-03,3.09553418e-04
6.5,90.0,60.0,900.0,120.0,MEAN,5,1.59668035e-01,3.87779828e-01,3.72013430e-01,1.55849089e-01,5.99559035e-02,1.71881749e-02,2.80426502e-03
