rup_mag,dist_rrup,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
7.5,150.0,900.0,-0.0,MEAN,5,1.07725743e-02,2.08037075e-02,2.38197194e-02,2.32074657e-02,1.95252624e-02,9.80379817e-03,2.77791303e-03
7.5,250.0,900.0,-100.0,MEAN,5,1.02638253e-03,1.37809576e-03,1.87344470e-03,3.94826289e-03,6.92885339e-03,4.86717656e-03,1.34737135e-03
7.5,300.0,900.0,-150.0,MEAN,5,4.36963995e-04,5.49480815e-04,7.79975094e-04,1.97570499e-03,4.09716086e-03,3.09105144e-03,8.36868986e-04
8.5,30.0,300.0,120.0,MEAN,5,3.69690156e-01,5.14961181e-01,7.43225855e-01,8.27954650e-01,5.93933939e-01,2.46376950e-01,5.95781182e-02
8.5,50.0,300.0,100.0,MEAN,5,2.40998143e-01,3.58923004e-01,5.16825416e-01,5.73074639e-01,4.26696350e-01,1.79556105e-01,4.44693490e-02
8.5,80.0,300.0,70.0,MEAN,5,1.35548846e-01,2.13372835e-01,3.06881514e-01,3.48865385e-01,2.76622258e-01,1.20154966e-01,3.03617956e-02
8.5,120.0,300.0,30.0,MEAN,5,6.81231175e-02,1.10845597e-01,1.60590488e-01,1.93199720e-01,1.66467873e-01,7.56957762e-02,1.93188465e-02
8.5,150.0,300.0,-0.0,MEAN,5,4.24095868e-02,6.97976514e-02,1.02103733e-01,1.28711382e-01,1.17609145e-01,5.52877625e-02,1.41060914e-02
8.5,250.0,300.0,-100.0,MEAN,5,4.49844843e-03,5.30245435e-03,9.09416803e-03,2.38934713e-02,4.48231739e-02,2.91554647e-02,7.23306570e-03
8.5,300.0,300.0,-150.0,MEAN,5,1.96561232e-03,2.17511315e-03,3.89107829e-03,1.22422000e-02,2.70865136e-02,1.88986638e-02,4.58095193e-03
8.5,30.0,600.0,120.0,MEAN,5,3.65134741e-01,6.47706933e-01,8.23997767e-01,6.25445389e-01,3.72075697e-01,1.48643192e-01,3.94160322e-02
8.5,50.0,600.0,100.0,MEAN,5,2.16246343e-01,3.90444734e-01,4.87638433e-01,3.95326493e-01,2.56050853e-01,1.07618587e-01,2.94202863e-02
