id,lon,lat,number,nonstructural,structural,night,taxonomy,NAME_1,NAME_2,NAME_3,NAME_4,policy
a5817,81.96382,28.33617,183,19845,11340,893,Stone-Masonry,Mid-Western,Rapti,Salyan,KalimatiKalche,p_Mid-Western
a5818,80.68882,29.76117,183,19845,11340,893,Stone-Masonry,Far-Western,Mahakali,Darchula,Sipti,p_Far-Western
a5819,80.83882,29.23617,184,19845,11340,898,Stone-Masonry,Far-Western,Seti,Doti,Pachanali,p_Far-Western
a5820,86.61382,27.58617,184,19845,11340,898,Stone-Masonry,East,Sagarmatha,Solukhumbu,Takasindu,p_East
a5821,86.08882,27.58617,184,19845,11340,898,Stone-Masonry,Central,Janakpur,Dolakha,Bhirkot,p_Central_Dolakha
a5822,85.93882,27.73617,184,19845,11340,898,Stone-Masonry,Central,Bagmati,Sindhupalchok,Piskar,p_Central_Sindhupalchok
a5823,84.66382,27.96117,185,19845,11340,903,Stone-Masonry,West,Gandaki,Gorkha,Bunkot,p_West
a5824,82.63882,28.33617,185,19845,11340,903,Stone-Masonry,Mid-Western,Rapti,Rolpa,Bhawang,p_Mid-Western
a5825,83.31382,27.96117,185,19845,11340,903,Stone-Masonry,West,Lumbini,Gulmi,Kharjyang,p_West
a5826,82.03882,29.23617,185,19845,11340,903,Stone-Masonry,Mid-Western,Karnali,Jumla,Tatopani,p_Mid-Western
a5828,86.53882,27.58617,186,19845,11340,908,Stone-Masonry,East,Sagarmatha,Solukhumbu,Beni,p_East
a5829,80.46382,29.76117,187,19845,11340,913,Stone-Masonry,Far-Western,Mahakali,Darchula,Bhagawati,p_Far-Western
a5830,84.28882,28.18617,188,19845,11340,917,Stone-Masonry,West,Gandaki,Lamjung,Sindure,p_West
a5831,84.43882,28.33617,188,19845,11340,917,Stone-Masonry,West,Gandaki,Lamjung,Bahundanda,p_West
a5832,86.98882,27.21117,188,19845,11340,917,Stone-Masonry,East,Koshi,Bhojpur,Annapurna,p_East
a5833,84.81382,27.81117,189,19845,11340,922,Stone-Masonry,Central,Bagmati,Dhading,Benighat,p_Central_Dhading
a5834,86.23882,27.06117,189,19845,11340,922,Stone-Masonry,Central,Janakpur,Sindhuli,Arunthakur,p_Central_Sindhuli
a5835,80.61382,29.68617,189,19845,11340,922,Stone-Masonry,Far-Western,Mahakali,Baitadi,Rudreswor,p_Far-Western
a5836,86.46382,27.28617,190,19845,11340,927,Stone-Masonry,East,Sagarmatha,Okhaldhunga,Betini,p_East
a5837,85.86382,27.21117,190,19845,11340,927,Stone-Masonry,Central,Janakpur,Sindhuli,Dadiguranshe,p_Central_Sindhuli
a5838,85.93882,27.66117,190,19845,11340,927,Stone-Masonry,Central,Janakpur,Dolakha,Bhusaphedi,p_Central_Dolakha
a5839,82.26382,28.26117,191,19845,11340,932,Stone-Masonry,Mid-Western,Rapti,Salyan,Phalawang,p_Mid-Western
a5840,82.86382,28.26117,191,19845,11340,932,Stone-Masonry,Mid-Western,Rapti,Rolpa,Pang,p_Mid-Western
a5841,87.43882,27.13617,191,19845,11340,932,Stone-Masonry,East,Koshi,Terhathum,Basantapur,p_East
a5842,85.33882,27.13617,191,19845,11340,932,Stone-Masonry,Central,Narayani,Rautahat,Chandranigahapur,p_Central_Rautahat
a5843,87.58882,26.76117,191,19845,11340,932,Stone-Masonry,East,Koshi,Morang,Tandi,p_East
a5844,83.98882,27.81117,191,19845,11340,932,Stone-Masonry,West,Lumbini,Palpa,Gadakot,p_West
a5845,87.73882,27.36117,191,19845,11340,932,Stone-Masonry,East,Mechi,Taplejung,Tiringe,p_East
a5846,81.73882,28.56117,191,19845,11340,932,Stone-Masonry,Mid-Western,Bheri,Surkhet,Satakhani,p_Mid-Western
a5847,82.63882,28.18617,192,19845,11340,937,Stone-Masonry,Mid-Western,Rapti,Rolpa,Ghodagaun,p_Mid-Western
a5848,86.08882,27.43617,192,19845,11340,937,Stone-Masonry,Central,Janakpur,Ramechhap,Gelu,p_Central_Ramechhap
a5849,80.91382,28.71117,192,19845,11340,937,Stone-Masonry,Far-Western,Seti,Kailali,Pahalmanpur,p_Far-Western
a5850,80.98882,29.46117,193,19845,11340,942,Stone-Masonry,Far-Western,Seti,Bajhang,Parakatne,p_Far-Western
a5851,83.61382,27.66117,193,19845,11340,942,Stone-Masonry,West,Lumbini,Rupandehi,Devadaha,p_West
a5852,85.93882,27.13617,193,19845,11340,942,Stone-Masonry,Central,Janakpur,Sindhuli,KamalamiN.P.,p_Central_Sindhuli
a5853,87.28882,26.91117,193,19845,11340,942,Stone-Masonry,East,Koshi,Dhankuta,Mahabharat,p_East
a5854,84.73882,27.88617,194,19845,11340,947,Stone-Masonry,West,Gandaki,Gorkha,Fujel,p_West
a5855,85.78882,26.98617,194,19845,11340,947,Stone-Masonry,Central,Janakpur,Mahottari,Laximiniya,p_Central_Mahottari
a5856,86.16382,27.43617,194,19845,11340,947,Stone-Masonry,Central,Janakpur,Ramechhap,Khimti,p_Central_Ramechhap
a5857,87.81382,26.91117,194,19845,11340,947,Stone-Masonry,East,Mechi,Ilam,Jitpur,p_East
a5858,81.21382,29.31117,195,19845,11340,952,Stone-Masonry,Far-Western,Seti,Achham,Devisthan,p_Far-Western
a5859,82.41382,28.26117,195,19845,11340,952,Stone-Masonry,Mid-Western,Rapti,Rolpa,Budagaun,p_Mid-Western
a5860,82.11382,28.33617,196,19845,11340,956,Stone-Masonry,Mid-Western,Rapti,Salyan,Laxmipur,p_Mid-Western
a5861,86.68882,27.36117,196,19845,11340,956,Stone-Masonry,East,Sagarmatha,Khotang,R.Maheswori,p_East
a5862,83.53882,28.33617,196,19845,11340,956,Stone-Masonry,West,Dhaualagiri,Myagdi,Bhakilmi,p_West
a5863,81.73882,28.93617,196,19845,11340,956,Stone-Masonry,Mid-Western,Bheri,Dailekh,Bhawani,p_Mid-Western
a5864,81.21382,29.38617,196,19845,11340,956,Stone-Masonry,Far-Western,Seti,Bajura,Kanda,p_Far-Western
a5865,88.03882,26.91117,197,19845,11340,961,Stone-Masonry,East,Mechi,Ilam,PhikalBazar,p_East
a5866,80.53882,28.86117,198,19845,11340,966,Stone-Masonry,Far-Western,Seti,Kailali,Malakheti,p_Far-Western
a5867,85.11382,27.51117,198,19845,11340,966,Stone-Masonry,Central,Narayani,Makwanpur,Nibuwatar,p_Central_Makwanpur
a5868,83.61382,28.33617,198,19845,11340,966,Stone-Masonry,West,Dhaualagiri,Parbat,Lekhfant,p_West
a5869,82.78882,27.88617,198,19845,11340,966,Stone-Masonry,Mid-Western,Rapti,Dang,Lalmatiya,p_Mid-Western
a5870,86.46382,26.91117,199,19845,11340,971,Stone-Masonry,East,Sagarmatha,Udayapur,Risku,p_East
a5871,84.81382,28.11117,199,19845,11340,971,Stone-Masonry,West,Gandaki,Gorkha,Thumi,p_West
a5872,84.36382,27.73617,199,19845,11340,971,Stone-Masonry,West,Lumbini,Nawalparasi,Gaidakot,p_West
a5874,87.51382,26.98617,201,19845,11340,981,Stone-Masonry,East,Mechi,Panchthar,Mauwa,p_East
a5875,87.06382,27.36117,201,19845,11340,981,Stone-Masonry,East,Koshi,Bhojpur,Khartimchha,p_East
a5876,87.73882,26.98617,201,19845,11340,981,Stone-Masonry,East,Mechi,Ilam,Amchok,p_East
a5877,85.33882,27.51117,202,19845,11340,986,Stone-Masonry,Central,Bagmati,Lalitpur,Sankhu,p_Central_Lalitpur
a5878,86.61382,27.43617,202,19845,11340,986,Stone-Masonry,East,Sagarmatha,Solukhumbu,Garma,p_East
a5879,87.58882,26.98617,203,19845,11340,991,Stone-Masonry,East,Mechi,Panchthar,Mauwa,p_East
a5880,83.76382,27.96117,203,19845,11340,991,Stone-Masonry,West,Gandaki,Syangja,WalingN.P.,p_West
a5881,82.78882,27.81117,203,19845,11340,991,Stone-Masonry,West,Lumbini,Arghakhanchi,Juluke,p_West
a5882,81.81382,28.93617,206,19845,11340,1005,Stone-Masonry,Mid-Western,Bheri,Dailekh,Odhari,p_Mid-Western
a5883,87.51382,27.28617,206,19845,11340,1005,Stone-Masonry,East,Koshi,Terhathum,ShreeJung,p_East
a5884,82.48882,27.96117,206,19845,11340,1005,Stone-Masonry,Mid-Western,Rapti,Dang,Laxmipur,p_Mid-Western
