rup_mag,dist_rhypo,site_vs30,result_type,damping,PGA,0.05,0.1,0.2,0.5,1.0,2.0,10.0
4,10,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
4,20,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
4,50,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
4,100,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
4,150,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
4,200,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
5,10,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
5,20,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
5,50,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
5,100,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
5,150,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
5,200,500,TOTAL_STDDEV,5,0.67304562268216,0.692847854481908,0.695150439574902,0.748340155223065,0.818569000559383,0.860476049251875,0.927941792476601,0.963171344399409
