rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,4.0,5.0,7.5,10.0,pga
5.0,30.0,-90.0,0.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.30067215,0.30513818,0.31553607,0.32053390,0.32422128,0.30812827,0.29510905,0.28288005,0.27833907,0.27764973,0.27724167,0.28217177,0.29229291,0.31518219,0.33818952,0.36578238,0.39582626,0.43860084,0.47816687,0.50740000,0.53280000,0.55420000,0.30091599
5.0,30.0,-90.0,0.0,1.0,1.0,1.0,500.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.33320738,0.33739062,0.35009307,0.35921784,0.36838709,0.36296220,0.35525724,0.34472701,0.33651457,0.33189230,0.32657498,0.32247923,0.32564794,0.33746294,0.35411001,0.37453452,0.39989348,0.43938500,0.47825219,0.50740000,0.53280000,0.55420000,0.33326684
5.0,30.0,-90.0,0.0,1.0,1.0,1.0,700.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34121444,0.34491233,0.35803226,0.36880116,0.38050339,0.38038028,0.37486668,0.36394147,0.35354947,0.34685658,0.33948236,0.33217351,0.33318783,0.34185467,0.35705118,0.37640818,0.40145328,0.43992904,0.47831510,0.50740000,0.53280000,0.55420000,0.34122852
5.0,30.0,-90.0,5.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.32244769,0.32717328,0.33996727,0.34936767,0.35895679,0.35501460,0.34775428,0.33331400,0.32022589,0.31158550,0.30464755,0.30115917,0.30648517,0.32319055,0.34336333,0.36833896,0.39703229,0.43870042,0.47816530,0.50740000,0.53280000,0.55420000,0.32265213
5.0,30.0,-90.0,5.0,1.0,1.0,1.0,500.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.33851749,0.34248923,0.35566380,0.36629447,0.37779816,0.37757910,0.37207849,0.36012178,0.34859758,0.34113650,0.33366751,0.32700678,0.32883310,0.33903384,0.35506201,0.37507848,0.40034181,0.43944552,0.47825119,0.50740000,0.53280000,0.55420000,0.33856734
5.0,30.0,-90.0,5.0,1.0,1.0,1.0,700.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34247233,0.34606112,0.35926994,0.37048781,0.38296704,0.38474674,0.38000864,0.36845035,0.35690536,0.34928894,0.34126018,0.33322335,0.33388484,0.34215669,0.35722323,0.37652128,0.40161102,0.43996246,0.47831453,0.50740000,0.53280000,0.55420000,0.34248414
5.0,30.0,-90.0,10.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.33786432,0.34195346,0.35543174,0.36678280,0.37930986,0.38128632,0.37644701,0.36304942,0.34875692,0.33814527,0.32817410,0.31903269,0.32037299,0.33144674,0.34883284,0.37111086,0.39838511,0.43883064,0.47816400,0.50740000,0.53280000,0.55420000,0.33793668
5.0,30.0,-90.0,10.0,1.0,1.0,1.0,500.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34227693,0.34590916,0.35918995,0.37056864,0.38331253,0.38576935,0.38124642,0.36919840,0.35682788,0.34837145,0.33975608,0.33126874,0.33194994,0.34065336,0.35606841,0.37566825,0.40084470,0.43952466,0.47825037,0.50740000,0.53280000,0.55420000,0.34229458
5.0,30.0,-90.0,10.0,1.0,1.0,1.0,700.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34336289,0.34683169,0.36005337,0.37150652,0.38441061,0.38719339,0.38281112,0.37110874,0.35919121,0.35119262,0.34278635,0.33421161,0.33456690,0.34246806,0.35740512,0.37664390,0.40178796,0.44000616,0.47831406,0.50740000,0.53280000,0.55420000,0.34336707
5.0,30.0,-90.0,15.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34268449,0.34625424,0.35955651,0.37108299,0.38405434,0.38696852,0.38259573,0.37056444,0.35796052,0.34886785,0.33936250,0.32925668,0.32895407,0.33704506,0.35263208,0.37319768,0.39949060,0.43895794,0.47816271,0.50740000,0.53280000,0.55420000,0.34269796
