rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,4.0,5.0,7.5,10.0,pga
5.0,30.0,90.0,0.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.29134886,0.29583788,0.30552471,0.30910384,0.31088015,0.29073896,0.27507015,0.26170279,0.25976170,0.26259537,0.26503888,0.27314842,0.28539983,0.31152856,0.33594668,0.36502385,0.39563008,0.43858783,0.47816633,0.50740000,0.53280000,0.55420000,0.29155643
5.0,30.0,90.0,0.0,1.0,1.0,1.0,500.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.33093383,0.33523866,0.34781032,0.35641257,0.36477251,0.35754105,0.34885439,0.33826274,0.33115559,0.32779145,0.32341695,0.32032760,0.32410093,0.33674625,0.35369732,0.37437312,0.39982055,0.43937709,0.47825185,0.50740000,0.53280000,0.55420000,0.33098445
5.0,30.0,90.0,0.0,1.0,1.0,1.0,700.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34067586,0.34442746,0.35752508,0.36813255,0.37955715,0.37876084,0.37290944,0.36204819,0.35206109,0.34577755,0.33869077,0.33167459,0.33284930,0.34171688,0.35697659,0.37637463,0.40142763,0.43992467,0.47831491,0.50740000,0.53280000,0.55420000,0.34068786
5.0,30.0,90.0,5.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.31318627,0.31822825,0.33059632,0.33884384,0.34672703,0.33929783,0.33032801,0.31490637,0.30342296,0.29740037,0.29295523,0.29251802,0.29996919,0.31976736,0.34127006,0.36764173,0.39685152,0.43868764,0.47816475,0.50740000,0.53280000,0.55420000,0.31342862
5.0,30.0,90.0,5.0,1.0,1.0,1.0,500.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.33625903,0.34041948,0.35352706,0.36371162,0.37448469,0.37267936,0.36651043,0.35450292,0.34375047,0.33727243,0.33064159,0.32494629,0.32737072,0.33836236,0.35467684,0.37493013,0.40027461,0.43943776,0.47825085,0.50740000,0.53280000,0.55420000,0.33631813
5.0,30.0,90.0,5.0,1.0,1.0,1.0,700.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34193733,0.34559478,0.35879521,0.36987221,0.38209963,0.38328306,0.37830659,0.36680468,0.35555914,0.34827221,0.34050170,0.33274557,0.33356483,0.34202759,0.35715362,0.37649044,0.40158738,0.43995817,0.47831433,0.50740000,0.53280000,0.55420000,0.34195133
5.0,30.0,90.0,10.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.33409688,0.33858008,0.35219321,0.36340883,0.37559325,0.37684850,0.37163366,0.35714667,0.34202932,0.33122420,0.32165545,0.31347951,0.31592120,0.32892454,0.34722989,0.37055427,0.39823300,0.43881823,0.47816346,0.50740000,0.53280000,0.55420000,0.33420944
5.0,30.0,90.0,10.0,1.0,1.0,1.0,500.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34135822,0.34512861,0.35845152,0.36974057,0.38230557,0.38438585,0.37970845,0.36739660,0.35488718,0.34648613,0.33806908,0.32994458,0.33095082,0.34015861,0.35577347,0.37554983,0.40078815,0.43951712,0.47825002,0.50740000,0.53280000,0.55420000,0.34138566
5.0,30.0,90.0,10.0,1.0,1.0,1.0,700.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34314526,0.34665582,0.35988931,0.37130915,0.38414700,0.38678010,0.38234099,0.37058103,0.35865221,0.35069655,0.34236348,0.33390457,0.33434827,0.34237294,0.35735181,0.37661928,0.40176807,0.44000200,0.47831386,0.50740000,0.53280000,0.55420000,0.34315176
5.0,30.0,90.0,15.0,1.0,1.0,1.0,300.0,0,100.0,INTER_EVENT_STDDEV,5.0,0.34194889,0.34563927,0.35901393,0.37055839,0.38350790,0.38635951,0.38193464,0.36959896,0.35655339,0.34700440,0.33722595,0.32689667,0.32675084,0.33555833,0.35158712,0.37279977,0.39937093,0.43894596,0.47816217,0.50740000,0.53280000,0.55420000,0.34197188
