rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.15,0.2,0.25,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,4.0,5.0,7.5,10.0,pga
5.0,30.0,0.0,0.0,1.0,1.0,1.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.55075397,0.55216722,0.56039882,0.56199698,0.55985366,0.55104059,0.54688028,0.54895426,0.55629000,0.56342751,0.56947236,0.57786862,0.58290897,0.58664441,0.58605288,0.57742378,0.57614229,0.57645717,0.57666023,0.57629749,0.57577596,0.57551519,0.55094716
5.0,30.0,0.0,0.0,1.0,1.0,1.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.58622711,0.58717701,0.59716324,0.60208182,0.60396314,0.60478158,0.60654494,0.61307933,0.61877196,0.62235624,0.62389263,0.62325672,0.62014722,0.61044951,0.60235397,0.58585891,0.57980541,0.57709901,0.57672455,0.57629749,0.57577596,0.57551519,0.58627716
5.0,30.0,0.0,0.0,1.0,1.0,1.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59527234,0.59562710,0.60591498,0.61241537,0.61663357,0.62295657,0.62746867,0.63461116,0.63843278,0.63969312,0.63896015,0.63466286,0.62885776,0.61523607,0.60540415,0.58767639,0.58121465,0.57754459,0.57677198,0.57629749,0.57577596,0.57551519,0.59528435
5.0,30.0,0.0,5.0,1.0,1.0,1.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.57086105,0.57258987,0.58274606,0.58780106,0.58987595,0.59094288,0.59242731,0.59419755,0.59501650,0.59531571,0.59588670,0.59685069,0.59723233,0.59461999,0.59105004,0.57977841,0.57718648,0.57653536,0.57665909,0.57629749,0.57577596,0.57551519,0.57108154
5.0,30.0,0.0,5.0,1.0,1.0,1.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59135931,0.59211520,0.60249328,0.60873388,0.61255926,0.61815186,0.62235789,0.62821758,0.63099082,0.63180439,0.63127219,0.62807125,0.62352320,0.61206067,0.60329124,0.58636470,0.58019518,0.57714656,0.57672383,0.57629749,0.57577596,0.57551519,0.59141479
5.0,30.0,0.0,5.0,1.0,1.0,1.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59650023,0.59674994,0.60711009,0.61401784,0.61891349,0.62702704,0.63240917,0.63914650,0.64189840,0.64222634,0.64084074,0.63579349,0.62960376,0.61554749,0.60557411,0.58778175,0.58135200,0.57757087,0.57677157,0.57629749,0.57577596,0.57551519,0.59651347
5.0,30.0,0.0,10.0,1.0,1.0,1.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.58964689,0.59067842,0.60151613,0.60866383,0.61368276,0.62186820,0.62696224,0.63087727,0.62982020,0.62660201,0.62313470,0.61728371,0.61274992,0.60334694,0.59657037,0.58240525,0.57838075,0.57663813,0.57665815,0.57629749,0.57577596,0.57551519,0.58974665
5.0,30.0,0.0,10.0,1.0,1.0,1.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59603219,0.59637868,0.60685102,0.61395118,0.61914117,0.62803139,0.63369506,0.63977660,0.64139243,0.64065376,0.63859467,0.63311374,0.62710876,0.61380559,0.60432038,0.58692752,0.58064058,0.57720906,0.57672323,0.57629749,0.57577596,0.57551519,0.59605673
5.0,30.0,0.0,10.0,1.0,1.0,1.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59761228,0.59771449,0.60808209,0.61526680,0.62064552,0.62999958,0.63590289,0.64256249,0.64481441,0.64457662,0.64269254,0.63697155,0.63039318,0.61588417,0.60576054,0.58789894,0.58150891,0.57760540,0.57677123,0.57629749,0.57577596,0.57551519,0.59761811
5.0,30.0,0.0,15.0,1.0,1.0,1.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59656976,0.59683684,0.60734145,0.61464474,0.62013064,0.62966127,0.63556993,0.64171693,0.64293448,0.64118861,0.63786816,0.63025822,0.62316699,0.60957674,0.60055664,0.58443557,0.57937522,0.57673915,0.57665722,0.57629749,0.57577596,0.57551519,0.59658992
5.0,30.0,0.0,15.0,1.0,1.0,1.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59772917,0.59781019,0.60818482,0.61542500,0.62089532,0.63047200,0.63645905,0.64310752,0.64520987,0.64467347,0.64245888,0.63625324,0.62947942,0.61504056,0.60505965,0.58736151,0.58101115,0.57727050,0.57672264,0.57629749,0.57577596,0.57551519,0.59773409
5.0,30.0,0.0,15.0,1.0,1.0,1.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59801478,0.59803737,0.60837871,0.61561842,0.62110523,0.63072970,0.63674913,0.64354003,0.64587738,0.64563756,0.64366440,0.63770200,0.63091352,0.61612209,0.60589434,0.58798926,0.58163941,0.57763935,0.57677089,0.57629749,0.57577596,0.57551519,0.59801595
5.0,30.0,0.0,0.0,10.0,10.0,10.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.57340747,0.57443710,0.58386075,0.58821310,0.58963730,0.58965369,0.59126628,0.59722430,0.60339706,0.60784245,0.61069850,0.61277364,0.61198425,0.60525497,0.59880203,0.58444394,0.58004083,0.57755292,0.57677898,0.57629749,0.57577596,0.57551519,0.57361891
5.0,30.0,0.0,0.0,10.0,10.0,10.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59199904,0.59255495,0.60275485,0.60883818,0.61249234,0.61773222,0.62196867,0.62919110,0.63353672,0.63538941,0.63528374,0.63201170,0.62693342,0.61418474,0.60473464,0.58736329,0.58125901,0.57776530,0.57679984,0.57629749,0.57577596,0.57551519,0.59205207
5.0,30.0,0.0,0.0,10.0,10.0,10.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59665281,0.59684964,0.60716856,0.61404287,0.61889582,0.62690014,0.63228854,0.63943568,0.64261489,0.64318097,0.64185692,0.63671460,0.63035464,0.61595725,0.60583553,0.58798964,0.58172667,0.57791268,0.57681523,0.57629749,0.57577596,0.57551519,0.59666545
5.0,30.0,0.0,5.0,10.0,10.0,10.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.57079785,0.57194403,0.58132447,0.58547714,0.58662543,0.58601531,0.58733517,0.59324301,0.59964116,0.60438152,0.60756215,0.61027344,0.61005135,0.60420579,0.59817587,0.58418782,0.57993808,0.57753482,0.57677801,0.57629749,0.57577596,0.57551519,0.57101757
5.0,30.0,0.0,5.0,10.0,10.0,10.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59134341,0.59196120,0.60215915,0.60814459,0.61164611,0.61654409,0.62064628,0.62790973,0.63239934,0.63440497,0.63444084,0.63139822,0.62649009,0.61397635,0.60461851,0.58730860,0.58122076,0.57775430,0.57679923,0.57629749,0.57577596,0.57551519,0.59139869
5.0,30.0,0.0,5.0,10.0,10.0,10.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59649644,0.59671502,0.60703538,0.61387634,0.61867228,0.62654058,0.63187837,0.63905499,0.64229502,0.64291918,0.64164375,0.63657144,0.63025717,0.61591709,0.60581451,0.58797825,0.58171320,0.57790660,0.57681488,0.57629749,0.57577596,0.57551519,0.59650963
5.0,30.0,0.0,10.0,10.0,10.0,10.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.57043702,0.57170107,0.58123150,0.58556594,0.58692726,0.58688371,0.58861771,0.59473430,0.60087745,0.60528706,0.60818397,0.61055553,0.61019116,0.60426480,0.59822099,0.58422017,0.57995290,0.57752692,0.57677710,0.57629749,0.57577596,0.57551519,0.57065766
5.0,30.0,0.0,10.0,10.0,10.0,10.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59125258,0.59190324,0.60213728,0.60816713,0.61173106,0.61682819,0.62107849,0.62839052,0.63277435,0.63466297,0.63460822,0.63146753,0.62652219,0.61398808,0.60462688,0.58731551,0.58122628,0.57774949,0.57679865,0.57629749,0.57577596,0.57551519,0.59130812
5.0,30.0,0.0,10.0,10.0,10.0,10.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59647477,0.59670187,0.60703049,0.61388176,0.61869473,0.62662659,0.63201249,0.63919789,0.64240053,0.64298782,0.64168609,0.63658762,0.63026423,0.61591935,0.60581603,0.58797969,0.58171515,0.57790395,0.57681455,0.57629749,0.57577596,0.57551519,0.59648802
5.0,30.0,0.0,15.0,10.0,10.0,10.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.57529219,0.57653324,0.58644064,0.59154680,0.59390687,0.59628551,0.59938916,0.60593887,0.61108975,0.61368670,0.61492091,0.61474894,0.61268393,0.60525058,0.59861515,0.58440121,0.58002828,0.57752448,0.57677622,0.57629749,0.57577596,0.57551519,0.57549597
5.0,30.0,0.0,15.0,10.0,10.0,10.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59247120,0.59305270,0.60335881,0.60968006,0.61368646,0.61988362,0.62467962,0.63197242,0.63584905,0.63704198,0.63641335,0.63249508,0.62709366,0.61418387,0.60469999,0.58735417,0.58125434,0.57774801,0.57679810,0.57629749,0.57577596,0.57551519,0.59252218
5.0,30.0,0.0,15.0,10.0,10.0,10.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59676534,0.59696242,0.60730351,0.61424485,0.61921092,0.62755014,0.63312773,0.64026033,0.64326406,0.64361987,0.64214232,0.63682734,0.63038986,0.61595708,0.60582926,0.58798774,0.58172503,0.57790313,0.57681423,0.57629749,0.57577596,0.57551519,0.59677749
5.0,30.0,0.0,0.0,50.0,50.0,50.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59455953,0.59476147,0.60504952,0.61197182,0.61699070,0.62557969,0.63118102,0.63794053,0.64072284,0.64109120,0.63974173,0.63481875,0.62876582,0.61488099,0.60507926,0.58763684,0.58171024,0.57801753,0.57682791,0.57629749,0.57577596,0.57551519,0.59460369
5.0,30.0,0.0,0.0,50.0,50.0,50.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59723768,0.59732883,0.60766102,0.61476744,0.62004248,0.62919591,0.63505242,0.64195083,0.64456941,0.64464682,0.64294617,0.63734668,0.63074273,0.61608552,0.60589462,0.58804403,0.58188011,0.57804771,0.57683087,0.57629749,0.57577596,0.57551519,0.59724849
5.0,30.0,0.0,0.0,50.0,50.0,50.0,700.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59789828,0.59792886,0.60826227,0.61546161,0.62088182,0.63034815,0.63631873,0.64320090,0.64569930,0.64563054,0.64378670,0.63795587,0.63119030,0.61632316,0.60604534,0.58813123,0.58194527,0.57806865,0.57683305,0.57629749,0.57577596,0.57551519,0.59790084
5.0,30.0,0.0,5.0,50.0,50.0,50.0,300.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59361054,0.59386466,0.60414179,0.61098373,0.61588445,0.62421746,0.62972198,0.63648953,0.63938654,0.63990068,0.63870099,0.63404084,0.62818980,0.61457730,0.60489746,0.58756259,0.58168110,0.57801348,0.57682775,0.57629749,0.57577596,0.57551519,0.59366571
5.0,30.0,0.0,5.0,50.0,50.0,50.0,500.0,0,100.0,INTRA_EVENT_STDDEV,5.0,0.59700531,0.59712049,0.60745322,0.61452392,0.61974139,0.62876896,0.63458358,0.64150535,0.64418180,0.64432087,0.64267560,0.63716052,0.63061309,0.61602585,0.60586113,0.58802823,0.58186928,0.57804525,0.57683076,0.57629749,0.57577596,0.57551519,0.59701882
