rup_mag,dist_azimuth,dist_repi,result_type,damping,pga,pgv
4,0,5,MEAN,5,3.178057E-02,1.474093E+00
4,0,10,MEAN,5,2.631046E-02,1.751434E+00
4,0,15,MEAN,5,2.053234E-02,2.196235E+00
4,0,30,MEAN,5,9.470998E-03,4.450138E+00
4,0,50,MEAN,5,4.095449E-03,9.564663E+00
4,0,100,MEAN,5,1.008128E-03,3.362710E+01
4,0,200,MEAN,5,4.653759E-03,1.358196E+02
4,30,5,MEAN,5,2.124500E-02,1.640075E+00
4,30,10,MEAN,5,1.711507E-02,2.155896E+00
4,30,15,MEAN,5,1.319316E-02,2.888750E+00
4,30,30,MEAN,5,6.176746E-03,6.098547E+00
4,30,50,MEAN,5,2.801239E-03,1.270925E+01
4,30,100,MEAN,5,1.327166E-03,4.102808E+01
4,30,200,MEAN,5,5.409578E-03,1.492920E+02
4,60,5,MEAN,5,1.311841E-02,2.314104E+00
4,60,10,MEAN,5,1.067408E-02,3.269045E+00
4,60,15,MEAN,5,8.273111E-03,4.360109E+00
4,60,30,MEAN,5,3.927524E-03,8.884908E+00
4,60,50,MEAN,5,1.838326E-03,1.787095E+01
4,60,100,MEAN,5,1.857360E-03,5.314187E+01
4,60,200,MEAN,5,6.658222E-03,1.714290E+02
4,90,5,MEAN,5,1.115050E-02,3.398157E+00
4,90,10,MEAN,5,9.143509E-03,4.074553E+00
4,90,15,MEAN,5,7.103381E-03,5.133145E+00
4,90,30,MEAN,5,3.380009E-03,1.012612E+01
4,90,50,MEAN,5,1.594566E-03,2.013321E+01
4,90,100,MEAN,5,2.091000E-03,5.838303E+01
4,90,200,MEAN,5,7.196895E-03,1.808555E+02
4,120,5,MEAN,5,1.311841E-02,2.314104E+00
4,120,10,MEAN,5,1.067408E-02,3.269045E+00
4,120,15,MEAN,5,8.273111E-03,4.360109E+00
4,120,30,MEAN,5,3.927524E-03,8.884908E+00
4,120,50,MEAN,5,1.838326E-03,1.787095E+01
4,120,100,MEAN,5,1.857360E-03,5.314187E+01
4,120,200,MEAN,5,6.658222E-03,1.714290E+02
4,150,5,MEAN,5,2.124500E-02,1.640075E+00
4,150,10,MEAN,5,1.711507E-02,2.155896E+00
4,150,15,MEAN,5,1.319316E-02,2.888750E+00
4,150,30,MEAN,5,6.176746E-03,6.098547E+00
4,150,50,MEAN,5,2.801239E-03,1.270925E+01
4,150,100,MEAN,5,1.327166E-03,4.102808E+01
4,150,200,MEAN,5,5.409578E-03,1.492920E+02
4,180,5,MEAN,5,3.178057E-02,1.474093E+00
4,180,10,MEAN,5,2.631046E-02,1.751434E+00
4,180,15,MEAN,5,2.053234E-02,2.196235E+00
4,180,30,MEAN,5,9.470998E-03,4.450138E+00
4,180,50,MEAN,5,4.095449E-03,9.564663E+00
4,180,100,MEAN,5,1.008128E-03,3.362710E+01
4,180,200,MEAN,5,4.653759E-03,1.358196E+02
4,210,5,MEAN,5,2.124500E-02,1.640075E+00
4,210,10,MEAN,5,1.711507E-02,2.155896E+00
4,210,15,MEAN,5,1.319316E-02,2.888750E+00
4,210,30,MEAN,5,6.176746E-03,6.098547E+00
4,210,50,MEAN,5,2.801239E-03,1.270925E+01
4,210,100,MEAN,5,1.327166E-03,4.102808E+01
4,210,200,MEAN,5,5.409578E-03,1.492920E+02
4,240,5,MEAN,5,1.311841E-02,2.314104E+00
4,240,10,MEAN,5,1.067408E-02,3.269045E+00
4,240,15,MEAN,5,8.273111E-03,4.360109E+00
4,240,30,MEAN,5,3.927524E-03,8.884908E+00
4,240,50,MEAN,5,1.838326E-03,1.787095E+01
4,240,100,MEAN,5,1.857360E-03,5.314187E+01
4,240,200,MEAN,5,6.658222E-03,1.714290E+02
4,270,5,MEAN,5,1.115050E-02,3.398157E+00
4,270,10,MEAN,5,9.143509E-03,4.074553E+00
4,270,15,MEAN,5,7.103381E-03,5.133145E+00
4,270,30,MEAN,5,3.380009E-03,1.012612E+01
4,270,50,MEAN,5,1.594566E-03,2.013321E+01
4,270,100,MEAN,5,2.091000E-03,5.838303E+01
4,270,200,MEAN,5,7.196895E-03,1.808555E+02
4,300,5,MEAN,5,1.311841E-02,2.314104E+00
4,300,10,MEAN,5,1.067408E-02,3.269045E+00
4,300,15,MEAN,5,8.273111E-03,4.360109E+00
4,300,30,MEAN,5,3.927524E-03,8.884908E+00
4,300,50,MEAN,5,1.838326E-03,1.787095E+01
4,300,100,MEAN,5,1.857360E-03,5.314187E+01
4,300,200,MEAN,5,6.658222E-03,1.714290E+02
4,330,5,MEAN,5,2.124500E-02,1.640075E+00
4,330,10,MEAN,5,1.711507E-02,2.155896E+00
4,330,15,MEAN,5,1.319316E-02,2.888750E+00
4,330,30,MEAN,5,6.176746E-03,6.098547E+00
4,330,50,MEAN,5,2.801239E-03,1.270925E+01
4,330,100,MEAN,5,1.327166E-03,4.102808E+01
4,330,200,MEAN,5,5.409578E-03,1.492920E+02
5,0,5,MEAN,5,9.286127E-02,2.714003E+00
5,0,10,MEAN,5,7.910891E-02,2.344663E+00
5,0,15,MEAN,5,6.391970E-02,1.930084E+00
5,0,30,MEAN,5,3.227590E-02,9.666366E-01
5,0,50,MEAN,5,1.500879E-02,1.944260E+00
5,0,100,MEAN,5,4.094420E-03,6.362645E+00
5,0,200,MEAN,5,1.117545E-03,2.456965E+01
5,30,5,MEAN,5,6.736148E-02,1.775500E+00
5,30,10,MEAN,5,5.535968E-02,1.543005E+00
5,30,15,MEAN,5,4.373061E-02,1.256034E+00
5,30,30,MEAN,5,2.183703E-02,1.256214E+00
5,30,50,MEAN,5,1.043250E-02,2.523979E+00
5,30,100,MEAN,5,3.090090E-03,7.740081E+00
5,30,200,MEAN,5,1.322154E-03,2.722798E+01
5,60,5,MEAN,5,4.362551E-02,1.423199E+00
5,60,10,MEAN,5,3.605029E-02,1.216183E+00
5,60,15,MEAN,5,2.850838E-02,9.821413E-01
5,60,30,MEAN,5,1.424582E-02,1.790072E+00
5,60,50,MEAN,5,6.927247E-03,3.486527E+00
5,60,100,MEAN,5,2.193786E-03,1.001261E+01
5,60,200,MEAN,5,1.661712E-03,3.162027E+01
5,90,5,MEAN,5,3.713804E-02,1.350344E+00
5,90,10,MEAN,5,3.104136E-02,1.146049E+00
5,90,15,MEAN,5,2.464641E-02,9.280138E-01
5,90,30,MEAN,5,1.233194E-02,2.030207E+00
5,90,50,MEAN,5,6.023607E-03,3.910175E+00
5,90,100,MEAN,5,1.944279E-03,1.100126E+01
5,90,200,MEAN,5,1.809143E-03,3.350202E+01
5,120,5,MEAN,5,4.362551E-02,1.423199E+00
5,120,10,MEAN,5,3.605029E-02,1.216183E+00
5,120,15,MEAN,5,2.850838E-02,9.821413E-01
5,120,30,MEAN,5,1.424582E-02,1.790072E+00
5,120,50,MEAN,5,6.927247E-03,3.486527E+00
5,120,100,MEAN,5,2.193786E-03,1.001261E+01
5,120,200,MEAN,5,1.661712E-03,3.162027E+01
5,150,5,MEAN,5,6.736148E-02,1.775500E+00
5,150,10,MEAN,5,5.535968E-02,1.543005E+00
5,150,15,MEAN,5,4.373061E-02,1.256034E+00
5,150,30,MEAN,5,2.183703E-02,1.256214E+00
5,150,50,MEAN,5,1.043250E-02,2.523979E+00
5,150,100,MEAN,5,3.090090E-03,7.740081E+00
5,150,200,MEAN,5,1.322154E-03,2.722798E+01
5,180,5,MEAN,5,9.286127E-02,2.714003E+00
5,180,10,MEAN,5,7.910891E-02,2.344663E+00
5,180,15,MEAN,5,6.391970E-02,1.930084E+00
5,180,30,MEAN,5,3.227590E-02,9.666366E-01
5,180,50,MEAN,5,1.500879E-02,1.944260E+00
5,180,100,MEAN,5,4.094420E-03,6.362645E+00
5,180,200,MEAN,5,1.117545E-03,2.456965E+01
5,210,5,MEAN,5,6.736148E-02,1.775500E+00
5,210,10,MEAN,5,5.535968E-02,1.543005E+00
5,210,15,MEAN,5,4.373061E-02,1.256034E+00
5,210,30,MEAN,5,2.183703E-02,1.256214E+00
5,210,50,MEAN,5,1.043250E-02,2.523979E+00
5,210,100,MEAN,5,3.090090E-03,7.740081E+00
5,210,200,MEAN,5,1.322154E-03,2.722798E+01
5,240,5,MEAN,5,4.362551E-02,1.423199E+00
5,240,10,MEAN,5,3.605029E-02,1.216183E+00
5,240,15,MEAN,5,2.850838E-02,9.821413E-01
5,240,30,MEAN,5,1.424582E-02,1.790072E+00
5,240,50,MEAN,5,6.927247E-03,3.486527E+00
5,240,100,MEAN,5,2.193786E-03,1.001261E+01
5,240,200,MEAN,5,1.661712E-03,3.162027E+01
5,270,5,MEAN,5,3.713804E-02,1.350344E+00
5,270,10,MEAN,5,3.104136E-02,1.146049E+00
5,270,15,MEAN,5,2.464641E-02,9.280138E-01
5,270,30,MEAN,5,1.233194E-02,2.030207E+00
5,270,50,MEAN,5,6.023607E-03,3.910175E+00
5,270,100,MEAN,5,1.944279E-03,1.100126E+01
5,270,200,MEAN,5,1.809143E-03,3.350202E+01
5,300,5,MEAN,5,4.362551E-02,1.423199E+00
5,300,10,MEAN,5,3.605029E-02,1.216183E+00
5,300,15,MEAN,5,2.850838E-02,9.821413E-01
5,300,30,MEAN,5,1.424582E-02,1.790072E+00
5,300,50,MEAN,5,6.927247E-03,3.486527E+00
5,300,100,MEAN,5,2.193786E-03,1.001261E+01
5,300,200,MEAN,5,1.661712E-03,3.162027E+01
5,330,5,MEAN,5,6.736148E-02,1.775500E+00
5,330,10,MEAN,5,5.535968E-02,1.543005E+00
5,330,15,MEAN,5,4.373061E-02,1.256034E+00
5,330,30,MEAN,5,2.183703E-02,1.256214E+00
5,330,50,MEAN,5,1.043250E-02,2.523979E+00
5,330,100,MEAN,5,3.090090E-03,7.740081E+00
5,330,200,MEAN,5,1.322154E-03,2.722798E+01
6,0,5,MEAN,5,2.503681E-01,1.008945E+01
6,0,10,MEAN,5,2.195055E-01,8.947952E+00
6,0,15,MEAN,5,1.838330E-01,7.610766E+00
6,0,30,MEAN,5,1.024258E-01,4.462708E+00
6,0,50,MEAN,5,5.185223E-02,2.397597E+00
6,0,100,MEAN,5,1.560805E-02,1.247684E+00
6,0,200,MEAN,5,3.792153E-03,4.538410E+00
6,30,5,MEAN,5,1.919001E-01,8.325476E+00
6,30,10,MEAN,5,1.624551E-01,7.263748E+00
