ID,Sigma,Tau,Phi
ln(PGA),0.633705379108816,0.277511203051281,0.691805590704800
ln(PGV),0.561730997610097,0.253330225109376,0.616212557994400
ln(ARIAS),1.07491986361368,0.479296472148540,1.17693577624495
ln(D_5_75),0.433537533991295,0.203886554030688,0.479087174002563
ln(D_5_95),0.353786103605668,0.158052214581671,0.387485625073565
ln(Tm),0.339823310441401,0.162969768673824,0.376880654612243
ln(CAV),0.493184015039889,0.222363759783398,0.540995484598416
ln(PSA=0.03),0.643024328039207,0.279581521822127,0.701174809726255
ln(PSA=0.05),0.676637968346265,0.300619600921928,0.740412779918216
ln(PSA=0.075),0.714268616066976,0.316612179784312,0.781295672768003
ln(PSA=0.1),0.710132490954367,0.312098989083285,0.775689328079137
ln(PSA=0.15),0.698654532010513,0.309108330197685,0.763980441435794
ln(PSA=0.2),0.673469321657818,0.302882353525724,0.738443394778180
ln(PSA=0.25),0.655116924049268,0.297621875374223,0.719553309266967
ln(PSA=0.3),0.643790293649631,0.289070835604497,0.705710911205545
ln(PSA=0.4),0.630834977537894,0.278348364686234,0.689514743140954
ln(PSA=0.5),0.627148146334096,0.278921292789371,0.686375906498463
ln(PSA=0.75),0.628882719179483,0.282640305942605,0.689477350625754
ln(PSA=1.0),0.628501861930650,0.282678958477723,0.689145836537045
ln(PSA=1.5),0.638091056242723,0.306819368706579,0.708024237629234
ln(PSA=2.0),0.633575280645346,0.301298796681564,0.701568671711178
ln(PSA=2.5),0.623357126601016,0.293441232722256,0.688971599085066
ln(PSA=3.0),0.616895728008773,0.289116555046969,0.681284611331932
ln(PSA=3.5),0.612177232258038,0.287268314856332,0.676227808076175
ln(PSA=4.0),0.607082539197854,0.282765494525726,0.669705557908319
