rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pga,0.1,0.2,1,2
5,50,50.2493782,761,MEAN,5,0.0087401,0.0179317,0.0164197,0.0023818,0.0005471
5,50,52.2015343,761,MEAN,5,0.0080936,0.0165927,0.0152120,0.0022085,0.0005085
5,50,55.9016991,761,MEAN,5,0.0070433,0.0144186,0.0132493,0.0019267,0.0004457
5,50,61.0327797,761,MEAN,5,0.0058826,0.0120183,0.0110789,0.0016147,0.0003760
5,50,67.2681198,761,MEAN,5,0.0048061,0.0097952,0.0090646,0.0013247,0.0003109
5,50,74.3303452,761,MEAN,5,0.0038936,0.0079136,0.0073555,0.0010783,0.0002553
5,50,82.0060959,761,MEAN,5,0.003154,0.0063911,0.0059688,0.0008779,0.0002099
5,50,90.1387787,761,MEAN,5,0.0025663,0.0051837,0.0048657,0.0007182,0.0001735
5,50,98.6154175,761,MEAN,5,0.0021022,0.0042321,0.0039935,0.0005917,0.0001445
5,50,107.354553,761,MEAN,5,0.0017351,0.0034813,0.0033029,0.0004912,0.0001213
5,50,116.297035,761,MEAN,5,0.0014433,0.0028857,0.0027531,0.0004111,0.0001027
5,50,125.399361,761,MEAN,5,0.0012097,0.0024100,0.0023123,0.0003466,0.0000876
5,50,134.62912,761,MEAN,5,0.0010211,0.0020270,0.0019560,0.0002944,0.0000752
5,50,143.961807,761,MEAN,5,0.0008677,0.0017161,0.0016657,0.0002517,0.0000651
5,50,153.378616,761,MEAN,5,0.0007419,0.0014618,0.0014272,0.0002166,0.0000567
5,50,162.864975,761,MEAN,5,0.0006378,0.0012522,0.0012298,0.0001874,0.0000496
5,50,172.409393,761,MEAN,5,0.0005513,0.0010782,0.0010652,0.0001630,0.0000437
5,50,182.002747,761,MEAN,5,0.0004787,0.0009328,0.0009270,0.0001425,0.0000387
5,50,191.63768,761,MEAN,5,0.0004175,0.0008105,0.0008104,0.0001250,0.0000344
5,50,201.308228,761,MEAN,5,0.0003656,0.0007071,0.0007112,0.0001102,0.0000307
5.5,50,50.2493782,761,MEAN,5,0.0208619,0.0416259,0.0392373,0.0070597,0.0018568
5.5,50,52.2015343,761,MEAN,5,0.019341,0.0385618,0.0363930,0.0065535,0.0017279
5.5,50,55.9016991,761,MEAN,5,0.0168647,0.0335761,0.0317604,0.0057285,0.0015175
5.5,50,61.0327797,761,MEAN,5,0.01412,0.0280553,0.0266228,0.0048126,0.0012831
5.5,50,67.2681198,761,MEAN,5,0.0115662,0.0229252,0.0218389,0.0039586,0.0010638
5.5,50,74.3303452,761,MEAN,5,0.0093942,0.0185689,0.0177667,0.0032304,0.0008759
5.5,50,82.0060959,761,MEAN,5,0.0076282,0.0150330,0.0144522,0.0026366,0.0007219
5.5,50,90.1387787,761,MEAN,5,0.0062209,0.0122207,0.0118081,0.0021619,0.0005980
5.5,50,98.6154175,761,MEAN,5,0.0051065,0.0099984,0.0097118,0.0017847,0.0004990
5.5,50,107.354553,761,MEAN,5,0.0042232,0.0082406,0.0080479,0.0014846,0.0004197
5.5,50,116.297035,761,MEAN,5,0.0035193,0.0068432,0.0067204,0.0012445,0.0003558
5.5,50,125.399361,761,MEAN,5,0.0029546,0.0057247,0.0056539,0.0010512,0.0003040
5.5,50,134.62912,761,MEAN,5,0.002498,0.0048225,0.0047902,0.0008942,0.0002617
5.5,50,143.961807,761,MEAN,5,0.0021257,0.0040889,0.0040852,0.0007657,0.0002267
5.5,50,153.378616,761,MEAN,5,0.0018199,0.0034878,0.0035051,0.0006597,0.0001977
5.5,50,162.864975,761,MEAN,5,0.0015668,0.0029916,0.0030242,0.0005716,0.0001733
5.5,50,172.409393,761,MEAN,5,0.0013558,0.0025790,0.0026226,0.0004977,0.0001528
5.5,50,182.002747,761,MEAN,5,0.0011787,0.0022338,0.0022851,0.0004355,0.0001353
5.5,50,191.63768,761,MEAN,5,0.0010292,0.0019431,0.0019997,0.0003827,0.0001204
5.5,50,201.308228,761,MEAN,5,0.0009022,0.0016970,0.0017569,0.0003377,0.0001075
6,50,50.2493782,761,MEAN,5,0.0491835,0.0954289,0.0926163,0.0206716,0.0062280
6,50,52.2015343,761,MEAN,5,0.0456851,0.0885742,0.0860667,0.0192260,0.0058066
6,50,55.9016991,761,MEAN,5,0.0399651,0.0773735,0.0753543,0.0168600,0.0051157
6,50,61.0327797,761,MEAN,5,0.0335892,0.0649002,0.0634067,0.0142184,0.0043420
6,50,67.2681198,761,MEAN,5,0.0276211,0.0532396,0.0522149,0.0117405,0.0036135
6,50,74.3303452,761,MEAN,5,0.0225162,0.0432810,0.0426335,0.0096156,0.0029859
6,50,82.0060959,761,MEAN,5,0.0183442,0.0351563,0.0347951,0.0078740,0.0024689
6,50,90.1387787,761,MEAN,5,0.0150046,0.0286650,0.0285137,0.0064754,0.0020513
6,50,98.6154175,761,MEAN,5,0.0123497,0.0235152,0.0235143,0.0053598,0.0017162
6,50,107.354553,761,MEAN,5,0.0102379,0.0194277,0.0195324,0.0044692,0.0014469
6,50,116.297035,761,MEAN,5,0.0085502,0.0161685,0.0163461,0.0037548,0.0012294
6,50,125.399361,761,MEAN,5,0.0071924,0.0135526,0.0137790,0.0031777,0.0010525
6,50,134.62912,761,MEAN,5,0.0060918,0.0114373,0.0116952,0.0027080,0.0009074
6,50,143.961807,761,MEAN,5,0.0051926,0.0097137,0.0099904,0.0023227,0.0007876
6,50,153.378616,761,MEAN,5,0.0044525,0.0082985,0.0085850,0.0020042,0.0006877
6,50,162.864975,761,MEAN,5,0.0038387,0.0071280,0.0074176,0.0017389,0.0006039
6,50,172.409393,761,MEAN,5,0.0033261,0.0061533,0.0064414,0.0015163,0.0005330
6,50,182.002747,761,MEAN,5,0.0028953,0.0053363,0.0056195,0.0013284,0.0004726
6,50,191.63768,761,MEAN,5,0.0025311,0.0046474,0.0049234,0.0011688,0.0004209
6,50,201.308228,761,MEAN,5,0.0022213,0.0040632,0.0043305,0.0010324,0.0003764
6.5,50,50.2493782,761,MEAN,5,0.1118752,0.2110024,0.2109688,0.0584365,0.0201910
6.5,50,52.2015343,761,MEAN,5,0.1043506,0.1966660,0.1968645,0.0545746,0.0189016
6.5,50,55.9016991,761,MEAN,5,0.0919205,0.1729969,0.1735572,0.0481888,0.0167657
6.5,50,61.0327797,761,MEAN,5,0.0778738,0.1462751,0.1472043,0.0409610,0.0143412
6.5,50,67.2681198,761,MEAN,5,0.0645373,0.1209358,0.1221654,0.0340843,0.0120259
6.5,50,74.3303452,761,MEAN,5,0.0529797,0.0990095,0.1004475,0.0281100,0.0100053
6.5,50,82.0060959,761,MEAN,5,0.0434266,0.0809171,0.0824785,0.0231578,0.0083219
6.5,50,90.1387787,761,MEAN,5,0.0357064,0.0663234,0.0679412,0.0191432,0.0069494
6.5,50,98.6154175,761,MEAN,5,0.0295202,0.0546532,0.0562788,0.0159154,0.0058393
6.5,50,107.354553,761,MEAN,5,0.0245665,0.0453281,0.0469282,0.0133214,0.0049415
6.5,50,116.297035,761,MEAN,5,0.0205854,0.0378508,0.0394037,0.0112290,0.0042123
6.5,50,125.399361,761,MEAN,5,0.0173671,0.0318206,0.0333127,0.0095308,0.0036165
6.5,50,134.62912,761,MEAN,5,0.0147477,0.0269242,0.0283480,0.0081430,0.0031260
6.5,50,143.961807,761,MEAN,5,0.0126001,0.0229200,0.0242717,0.0070005,0.0027192
6.5,50,153.378616,761,MEAN,5,0.0108266,0.0196218,0.0209005,0.0060529,0.0023792
6.5,50,162.864975,761,MEAN,5,0.0093518,0.0168864,0.0180927,0.0052615,0.0020930
6.5,50,172.409393,761,MEAN,5,0.0081172,0.0146026,0.0157386,0.0045960,0.0018504
6.5,50,182.002747,761,MEAN,5,0.0070771,0.0126840,0.0137523,0.0040328,0.0016434
6.5,50,191.63768,761,MEAN,5,0.0061959,0.0110629,0.0120665,0.0035533,0.0014658
6.5,50,201.308228,761,MEAN,5,0.005445,0.0096856,0.0106277,0.0031429,0.0013124
7,50,50.2493782,761,MEAN,5,0.2205743,0.4077615,0.4207422,0.1500022,0.0596503
7,50,52.2015343,761,MEAN,5,0.2089336,0.3855086,0.3982131,0.1414313,0.0563664
7,50,55.9016991,761,MEAN,5,0.1888828,0.3473391,0.3595321,0.1268944,0.0507874
7,50,61.0327797,761,MEAN,5,0.1649108,0.3019701,0.3134848,0.1098714,0.0442367
7,50,67.2681198,761,MEAN,5,0.1407572,0.2565489,0.2672918,0.0930867,0.0377546
7,50,74.3303452,761,MEAN,5,0.1181894,0.2145716,0.2244816,0.0780152,0.0319090
7,50,82.0060959,761,MEAN,5,0.0982368,0.1778394,0.1868983,0.0651613,0.0268989
7,50,90.1387787,761,MEAN,5,0.0817224,0.1474927,0.1557586,0.0544901,0.0227169
7,50,98.6154175,761,MEAN,5,0.0682268,0.1227420,0.1302817,0.0457407,0.0192679
7,50,107.354553,761,MEAN,5,0.0572436,0.1026417,0.1095227,0.0385953,0.0164335
7,50,116.297035,761,MEAN,5,0.0482984,0.0863074,0.0925937,0.0327543,0.0141012
7,50,125.399361,761,MEAN,5,0.0409868,0.0729869,0.0787376,0.0279615,0.0121744
7,50,134.62912,761,MEAN,5,0.0349799,0.0620698,0.0673384,0.0240083,0.0105737
7,50,143.961807,761,MEAN,5,0.0300163,0.0530711,0.0579054,0.0207282,0.0092358
7,50,153.378616,761,MEAN,5,0.0258897,0.0456090,0.0500514,0.0179896,0.0081104
7,50,162.864975,761,MEAN,5,0.022438,0.0393838,0.0434722,0.0156890,0.0071576
7,50,172.409393,761,MEAN,5,0.0195339,0.0341600,0.0379280,0.0137448,0.0063459
7,50,182.002747,761,MEAN,5,0.0170766,0.0297520,0.0332294,0.0120922,0.0056505
7,50,191.63768,761,MEAN,5,0.0149862,0.0260126,0.0292258,0.0106798,0.0050512
7,50,201.308228,761,MEAN,5,0.0131989,0.0228244,0.0257971,0.0094665,0.0045320
7.5,50,50.2493782,761,MEAN,5,0.3418345,0.6202166,0.6635318,0.3104162,0.1434273
7.5,50,52.2015343,761,MEAN,5,0.3299148,0.5973933,0.6396923,0.2978498,0.1378747
7.5,50,55.9016991,761,MEAN,5,0.308266,0.5561581,0.5965825,0.2754755,0.1279736
7.5,50,61.0327797,761,MEAN,5,0.2803592,0.5034043,0.5413502,0.2474370,0.1155369
7.5,50,67.2681198,761,MEAN,5,0.2497545,0.4460517,0.4811878,0.2176493,0.1022825
7.5,50,74.3303452,761,MEAN,5,0.2192704,0.3894314,0.4216574,0.1888964,0.0894385
7.5,50,82.0060959,761,MEAN,5,0.1907147,0.3368422,0.3662191,0.1627217,0.0776936
7.5,50,90.1387787,761,MEAN,5,0.1650051,0.2898646,0.3165531,0.1397319,0.0673257
7.5,50,98.6154175,761,MEAN,5,0.1424352,0.2489175,0.2731269,0.1199625,0.0583608
7.5,50,107.354553,761,MEAN,5,0.1227011,0.2134431,0.2353671,0.1031604,0.0506965
7.5,50,116.297035,761,MEAN,5,0.1052286,0.1824573,0.2022356,0.0889603,0.0441784
7.5,50,125.399361,761,MEAN,5,0.0905415,0.1564693,0.1743502,0.0769799,0.0386430
7.5,50,134.62912,761,MEAN,5,0.0781882,0.1346614,0.1508642,0.0668643,0.0339370
7.5,50,143.961807,761,MEAN,5,0.0677755,0.1163237,0.1310400,0.0583037,0.0299261
7.5,50,153.378616,761,MEAN,5,0.0589711,0.1008567,0.1142537,0.0510354,0.0264956
7.5,50,162.864975,761,MEAN,5,0.0514994,0.0877645,0.0999871,0.0448411,0.0235498
7.5,50,172.409393,761,MEAN,5,0.0451338,0.0766397,0.0878140,0.0395408,0.0210097
7.5,50,182.002747,761,MEAN,5,0.0396887,0.0671492,0.0773853,0.0349868,0.0188098
7.5,50,191.63768,761,MEAN,5,0.0350126,0.0590211,0.0684148,0.0310580,0.0168967
7.5,50,201.308228,761,MEAN,5,0.0309808,0.0520326,0.0606682,0.0276550,0.0152258
8,50,50.2493782,761,MEAN,5,0.3914043,0.6872939,0.7703401,0.4632036,0.2539967
8,50,52.2015343,761,MEAN,5,0.3843567,0.6740350,0.7559637,0.4532216,0.2488474
8,50,55.9016991,761,MEAN,5,0.3709099,0.6488293,0.7286137,0.4344258,0.2391413
8,50,61.0327797,761,MEAN,5,0.3522254,0.6140028,0.6907784,0.4088304,0.2258997
8,50,67.2681198,761,MEAN,5,0.3297522,0.5724089,0.6455191,0.3788050,0.2103269
8,50,74.3303452,761,MEAN,5,0.3049892,0.5269358,0.5959407,0.3466156,0.1935790
8,50,82.0060959,761,MEAN,5,0.2792892,0.4801286,0.5447901,0.3141291,0.1766133
8,50,90.1387787,761,MEAN,5,0.2537468,0.4339881,0.4942372,0.2827007,0.1601303
8,50,98.6154175,761,MEAN,5,0.2291607,0.3899262,0.4458248,0.2531972,0.1445829
8,50,107.354553,761,MEAN,5,0.2060529,0.3488255,0.4005272,0.2260863,0.1302223
8,50,116.297035,761,MEAN,5,0.1847156,0.3111421,0.3588609,0.2015456,0.1171504
8,50,125.399361,761,MEAN,5,0.1652691,0.2770258,0.3210095,0.1795613,0.1053705
8,50,134.62912,761,MEAN,5,0.1477136,0.2464177,0.2869293,0.1600038,0.0948253
8,50,143.961807,761,MEAN,5,0.1319731,0.2191330,0.2564362,0.1426829,0.0854248
8,50,153.378616,761,MEAN,5,0.1174419,0.1942841,0.2285244,0.1273827,0.0770642
8,50,162.864975,761,MEAN,5,0.1044088,0.1721557,0.2035580,0.1138845,0.0696360
8,50,172.409393,761,MEAN,5,0.0929611,0.1527666,0.1815968,0.1019792,0.0630365
8,50,182.002747,761,MEAN,5,0.0829021,0.1357733,0.1622719,0.0914744,0.0571695
8,50,191.63768,761,MEAN,5,0.0740563,0.1208682,0.1452516,0.0821963,0.0519476
8,50,201.308228,761,MEAN,5,0.0662678,0.1077795,0.1302426,0.0739910,0.0472931
