rup_mag,dist_repi,rup_hypo_depth,result_type,mmi 
4.5,63,40,MEAN,4.647
4.5,71,5,MEAN,2.941
4.5,71,10,MEAN,3.496
4.5,71,15,MEAN,3.819
4.5,71,20,MEAN,4.045
4.5,71,30,MEAN,4.352
4.5,71,40,MEAN,4.554
4.5,79,5,MEAN,2.83
4.5,79,10,MEAN,3.386
4.5,79,15,MEAN,3.711
4.5,79,20,MEAN,3.94
4.5,79,30,MEAN,4.255
4.5,79,40,MEAN,4.464
4.5,89,5,MEAN,2.703
4.5,89,10,MEAN,3.259
4.5,89,15,MEAN,3.587
4.5,89,20,MEAN,3.818
4.5,89,30,MEAN,4.139
4.5,89,40,MEAN,4.357
4.5,100,5,MEAN,2.574
4.5,100,10,MEAN,3.131
4.5,100,15,MEAN,3.46
4.5,100,20,MEAN,3.694
4.5,100,30,MEAN,4.02
4.5,100,40,MEAN,4.244
4.5,112,5,MEAN,2.443
4.5,112,10,MEAN,3.002
4.5,112,15,MEAN,3.332
4.5,112,20,MEAN,3.567
4.5,112,30,MEAN,3.898
4.5,112,40,MEAN,4.128
4.5,126,5,MEAN,2.303
4.5,126,10,MEAN,2.862
4.5,126,15,MEAN,3.193
4.5,126,20,MEAN,3.429
4.5,126,30,MEAN,3.764
4.5,126,40,MEAN,3.999
4.5,141,5,MEAN,2.163
4.5,141,10,MEAN,2.722
4.5,141,15,MEAN,3.054
4.5,141,20,MEAN,3.292
4.5,141,30,MEAN,3.629
4.5,141,40,MEAN,3.868
4.5,158,5,MEAN,2.015
4.5,158,10,MEAN,2.575
4.5,158,15,MEAN,2.907
4.5,158,20,MEAN,3.146
4.5,158,30,MEAN,3.486
4.5,158,40,MEAN,3.728
4.5,178,5,MEAN,1.853
4.5,178,10,MEAN,2.413
4.5,178,15,MEAN,2.746
4.5,178,20,MEAN,2.985
4.5,178,30,MEAN,3.327
4.5,178,40,MEAN,3.573
4.5,200,5,MEAN,1.685
4.5,200,10,MEAN,2.246
