rup_mag,dist_repi,rup_hypo_depth,result_type,mmi 
4.8,22,20,MEAN,5.18
4.8,22,30,MEAN,5.332
4.8,22,40,MEAN,5.402
4.8,25,5,MEAN,4.175
4.8,25,10,MEAN,4.689
4.8,25,15,MEAN,4.954
4.8,25,20,MEAN,5.114
4.8,25,30,MEAN,5.287
4.8,25,40,MEAN,5.371
4.8,28,5,MEAN,4.079
4.8,28,10,MEAN,4.601
4.8,28,15,MEAN,4.878
4.8,28,20,MEAN,5.049
4.8,28,30,MEAN,5.241
4.8,28,40,MEAN,5.338
4.8,32,5,MEAN,3.963
4.8,32,10,MEAN,4.494
4.8,32,15,MEAN,4.782
4.8,32,20,MEAN,4.965
4.8,32,30,MEAN,5.179
4.8,32,40,MEAN,5.292
4.8,35,5,MEAN,3.884
4.8,35,10,MEAN,4.419
4.8,35,15,MEAN,4.714
4.8,35,20,MEAN,4.905
4.8,35,30,MEAN,5.132
4.8,35,40,MEAN,5.257
4.8,40,5,MEAN,3.764
4.8,40,10,MEAN,4.305
4.8,40,15,MEAN,4.608
4.8,40,20,MEAN,4.808
4.8,40,30,MEAN,5.055
4.8,40,40,MEAN,5.196
4.8,45,5,MEAN,3.656
4.8,45,10,MEAN,4.2
4.8,45,15,MEAN,4.509
4.8,45,20,MEAN,4.717
4.8,45,30,MEAN,4.979
4.8,45,40,MEAN,5.134
4.8,50,5,MEAN,3.557
4.8,50,10,MEAN,4.104
4.8,50,15,MEAN,4.417
4.8,50,20,MEAN,4.631
4.8,50,30,MEAN,4.906
4.8,50,40,MEAN,5.073
4.8,56,5,MEAN,3.448
4.8,56,10,MEAN,3.998
4.8,56,15,MEAN,4.315
4.8,56,20,MEAN,4.533
4.8,56,30,MEAN,4.82
4.8,56,40,MEAN,5
4.8,63,5,MEAN,3.332
4.8,63,10,MEAN,3.884
4.8,63,15,MEAN,4.205
4.8,63,20,MEAN,4.427
4.8,63,30,MEAN,4.725
4.8,63,40,MEAN,4.916
4.8,71,5,MEAN,3.211
4.8,71,10,MEAN,3.765
4.8,71,15,MEAN,4.088
4.8,71,20,MEAN,4.315
4.8,71,30,MEAN,4.622
4.8,71,40,MEAN,4.823
4.8,79,5,MEAN,3.1
4.8,79,10,MEAN,3.655
4.8,79,15,MEAN,3.981
4.8,79,20,MEAN,4.21
4.8,79,30,MEAN,4.524
4.8,79,40,MEAN,4.734
4.8,89,5,MEAN,2.972
4.8,89,10,MEAN,3.529
4.8,89,15,MEAN,3.856
4.8,89,20,MEAN,4.088
4.8,89,30,MEAN,4.408
4.8,89,40,MEAN,4.626
4.8,100,5,MEAN,2.843
4.8,100,10,MEAN,3.401
4.8,100,15,MEAN,3.729
4.8,100,20,MEAN,3.963
4.8,100,30,MEAN,4.289
4.8,100,40,MEAN,4.514
4.8,112,5,MEAN,2.713
4.8,112,10,MEAN,3.271
4.8,112,15,MEAN,3.601
4.8,112,20,MEAN,3.836
4.8,112,30,MEAN,4.167
4.8,112,40,MEAN,4.397
4.8,126,5,MEAN,2.572
4.8,126,10,MEAN,3.131
4.8,126,15,MEAN,3.462
4.8,126,20,MEAN,3.699
4.8,126,30,MEAN,4.033
4.8,126,40,MEAN,4.268
4.8,141,5,MEAN,2.432
4.8,141,10,MEAN,2.992
4.8,141,15,MEAN,3.324
4.8,141,20,MEAN,3.561
4.8,141,30,MEAN,3.899
4.8,141,40,MEAN,4.138
4.8,158,5,MEAN,2.284
4.8,158,10,MEAN,2.844
4.8,158,15,MEAN,3.177
4.8,158,20,MEAN,3.415
4.8,158,30,MEAN,3.755
4.8,158,40,MEAN,3.998
4.8,178,5,MEAN,2.122
4.8,178,10,MEAN,2.682
4.8,178,15,MEAN,3.015
4.8,178,20,MEAN,3.255
4.8,178,30,MEAN,3.597
4.8,178,40,MEAN,3.842
4.8,200,5,MEAN,1.955
4.8,200,10,MEAN,2.515
4.8,200,15,MEAN,2.849
4.8,200,20,MEAN,3.089
4.8,200,30,MEAN,3.433
4.8,200,40,MEAN,3.68
4.8,224,5,MEAN,1.783
4.8,224,10,MEAN,2.344
4.8,224,15,MEAN,2.677
4.8,224,20,MEAN,2.918
4.8,224,30,MEAN,3.263
4.8,224,40,MEAN,3.513
4.8,250,5,MEAN,1.607
4.8,250,10,MEAN,2.168
4.8,250,15,MEAN,2.502
4.8,250,20,MEAN,2.743
4.8,250,30,MEAN,3.09
4.8,250,40,MEAN,3.341
4.9,1.00E-01,5,MEAN,5.615
4.9,1.00E-01,10,MEAN,5.615
4.9,1.00E-01,15,MEAN,5.615
4.9,1.00E-01,20,MEAN,5.615
4.9,1.00E-01,30,MEAN,5.615
4.9,1.00E-01,40,MEAN,5.615
4.9,1,5,MEAN,5.599
4.9,1,10,MEAN,5.611
4.9,1,15,MEAN,5.613
4.9,1,20,MEAN,5.614
4.9,1,30,MEAN,5.615
4.9,1,40,MEAN,5.615
4.9,2,5,MEAN,5.556
4.9,2,10,MEAN,5.599
4.9,2,15,MEAN,5.608
4.9,2,20,MEAN,5.611
4.9,2,30,MEAN,5.613
4.9,2,40,MEAN,5.614
4.9,3,5,MEAN,5.492
4.9,3,10,MEAN,5.58
4.9,3,15,MEAN,5.599
4.9,3,20,MEAN,5.606
4.9,3,30,MEAN,5.611
4.9,3,40,MEAN,5.613
4.9,4,5,MEAN,5.416
4.9,4,10,MEAN,5.554
4.9,4,15,MEAN,5.586
4.9,4,20,MEAN,5.598
4.9,4,30,MEAN,5.607
4.9,4,40,MEAN,5.611
4.9,5,5,MEAN,5.336
4.9,5,10,MEAN,5.523
4.9,5,15,MEAN,5.571
4.9,5,20,MEAN,5.589
4.9,5,30,MEAN,5.603
4.9,5,40,MEAN,5.608
4.9,6,5,MEAN,5.255
4.9,6,10,MEAN,5.489
4.9,6,15,MEAN,5.553
4.9,6,20,MEAN,5.578
4.9,6,30,MEAN,5.598
4.9,6,40,MEAN,5.605
4.9,7,5,MEAN,5.176
4.9,7,10,MEAN,5.451
4.9,7,15,MEAN,5.532
4.9,7,20,MEAN,5.566
4.9,7,30,MEAN,5.592
4.9,7,40,MEAN,5.601
4.9,8,5,MEAN,5.101
4.9,8,10,MEAN,5.411
4.9,8,15,MEAN,5.51
4.9,8,20,MEAN,5.552
4.9,8,30,MEAN,5.585
4.9,8,40,MEAN,5.597
4.9,9,5,MEAN,5.029
4.9,9,10,MEAN,5.37
4.9,9,15,MEAN,5.486
4.9,9,20,MEAN,5.536
4.9,9,30,MEAN,5.577
4.9,9,40,MEAN,5.592
4.9,10,5,MEAN,4.962
4.9,10,10,MEAN,5.329
4.9,10,15,MEAN,5.46
4.9,10,20,MEAN,5.519
4.9,10,30,MEAN,5.568
4.9,10,40,MEAN,5.587
4.9,11,5,MEAN,4.898
4.9,11,10,MEAN,5.287
4.9,11,15,MEAN,5.434
4.9,11,20,MEAN,5.502
4.9,11,30,MEAN,5.559
4.9,11,40,MEAN,5.581
4.9,12,5,MEAN,4.837
4.9,12,10,MEAN,5.245
4.9,12,15,MEAN,5.406
4.9,12,20,MEAN,5.483
4.9,12,30,MEAN,5.549
4.9,12,40,MEAN,5.575
4.9,14,5,MEAN,4.725
4.9,14,10,MEAN,5.164
4.9,14,15,MEAN,5.35
4.9,14,20,MEAN,5.443
4.9,14,30,MEAN,5.527
4.9,14,40,MEAN,5.562
4.9,16,5,MEAN,4.624
4.9,16,10,MEAN,5.086
4.9,16,15,MEAN,5.293
4.9,16,20,MEAN,5.402
4.9,16,30,MEAN,5.503
4.9,16,40,MEAN,5.546
4.9,18,5,MEAN,4.532
4.9,18,10,MEAN,5.011
4.9,18,15,MEAN,5.236
4.9,18,20,MEAN,5.358
4.9,18,30,MEAN,5.477
4.9,18,40,MEAN,5.529
4.9,20,5,MEAN,4.448
4.9,20,10,MEAN,4.94
4.9,20,15,MEAN,5.179
4.9,20,20,MEAN,5.314
4.9,20,30,MEAN,5.45
4.9,20,40,MEAN,5.511
4.9,22,5,MEAN,4.371
4.9,22,10,MEAN,4.873
4.9,22,15,MEAN,5.124
4.9,22,20,MEAN,5.27
4.9,22,30,MEAN,5.421
4.9,22,40,MEAN,5.492
4.9,25,5,MEAN,4.265
4.9,25,10,MEAN,4.779
4.9,25,15,MEAN,5.044
4.9,25,20,MEAN,5.204
4.9,25,30,MEAN,5.377
4.9,25,40,MEAN,5.461
4.9,28,5,MEAN,4.169
4.9,28,10,MEAN,4.691
4.9,28,15,MEAN,4.968
4.9,28,20,MEAN,5.139
4.9,28,30,MEAN,5.331
4.9,28,40,MEAN,5.428
4.9,32,5,MEAN,4.053
4.9,32,10,MEAN,4.584
4.9,32,15,MEAN,4.872
4.9,32,20,MEAN,5.055
4.9,32,30,MEAN,5.269
4.9,32,40,MEAN,5.382
4.9,35,5,MEAN,3.974
4.9,35,10,MEAN,4.509
4.9,35,15,MEAN,4.804
4.9,35,20,MEAN,4.995
4.9,35,30,MEAN,5.222
4.9,35,40,MEAN,5.347
4.9,40,5,MEAN,3.854
4.9,40,10,MEAN,4.395
4.9,40,15,MEAN,4.697
4.9,40,20,MEAN,4.898
4.9,40,30,MEAN,5.145
4.9,40,40,MEAN,5.286
4.9,45,5,MEAN,3.745
4.9,45,10,MEAN,4.29
4.9,45,15,MEAN,4.599
4.9,45,20,MEAN,4.806
4.9,45,30,MEAN,5.069
4.9,45,40,MEAN,5.224
4.9,50,5,MEAN,3.646
4.9,50,10,MEAN,4.194
4.9,50,15,MEAN,4.507
4.9,50,20,MEAN,4.72
4.9,50,30,MEAN,4.996
4.9,50,40,MEAN,5.163
4.9,56,5,MEAN,3.537
4.9,56,10,MEAN,4.088
4.9,56,15,MEAN,4.405
4.9,56,20,MEAN,4.623
4.9,56,30,MEAN,4.91
4.9,56,40,MEAN,5.09
4.9,63,5,MEAN,3.422
4.9,63,10,MEAN,3.974
4.9,63,15,MEAN,4.295
4.9,63,20,MEAN,4.517
4.9,63,30,MEAN,4.815
4.9,63,40,MEAN,5.006
4.9,71,5,MEAN,3.301
4.9,71,10,MEAN,3.855
4.9,71,15,MEAN,4.178
4.9,71,20,MEAN,4.405
4.9,71,30,MEAN,4.712
4.9,71,40,MEAN,4.913
4.9,79,5,MEAN,3.19
4.9,79,10,MEAN,3.745
4.9,79,15,MEAN,4.071
4.9,79,20,MEAN,4.3
4.9,79,30,MEAN,4.614
4.9,79,40,MEAN,4.824
4.9,89,5,MEAN,3.062
4.9,89,10,MEAN,3.619
4.9,89,15,MEAN,3.946
4.9,89,20,MEAN,4.177
4.9,89,30,MEAN,4.498
4.9,89,40,MEAN,4.716
4.9,100,5,MEAN,2.933
4.9,100,10,MEAN,3.49
4.9,100,15,MEAN,3.819
4.9,100,20,MEAN,4.053
4.9,100,30,MEAN,4.379
4.9,100,40,MEAN,4.604
4.9,112,5,MEAN,2.803
4.9,112,10,MEAN,3.361
4.9,112,15,MEAN,3.691
4.9,112,20,MEAN,3.926
4.9,112,30,MEAN,4.257
4.9,112,40,MEAN,4.487
4.9,126,5,MEAN,2.662
4.9,126,10,MEAN,3.221
4.9,126,15,MEAN,3.552
4.9,126,20,MEAN,3.789
4.9,126,30,MEAN,4.123
4.9,126,40,MEAN,4.358
4.9,141,5,MEAN,2.522
4.9,141,10,MEAN,3.082
4.9,141,15,MEAN,3.413
4.9,141,20,MEAN,3.651
4.9,141,30,MEAN,3.988
4.9,141,40,MEAN,4.228
4.9,158,5,MEAN,2.374
4.9,158,10,MEAN,2.934
4.9,158,15,MEAN,3.266
4.9,158,20,MEAN,3.505
4.9,158,30,MEAN,3.845
4.9,158,40,MEAN,4.088
4.9,178,5,MEAN,2.212
4.9,178,10,MEAN,2.772
4.9,178,15,MEAN,3.105
4.9,178,20,MEAN,3.344
4.9,178,30,MEAN,3.686
4.9,178,40,MEAN,3.932
4.9,200,5,MEAN,2.044
4.9,200,10,MEAN,2.605
4.9,200,15,MEAN,2.938
4.9,200,20,MEAN,3.178
4.9,200,30,MEAN,3.522
4.9,200,40,MEAN,3.77
4.9,224,5,MEAN,1.873
4.9,224,10,MEAN,2.433
4.9,224,15,MEAN,2.767
4.9,224,20,MEAN,3.008
4.9,224,30,MEAN,3.353
4.9,224,40,MEAN,3.603
4.9,250,5,MEAN,1.697
4.9,250,10,MEAN,2.258
4.9,250,15,MEAN,2.592
4.9,250,20,MEAN,2.833
4.9,250,30,MEAN,3.179
4.9,250,40,MEAN,3.431
5,1.00E-01,5,MEAN,5.705
5,1.00E-01,10,MEAN,5.705
5,1.00E-01,15,MEAN,5.705
5,1.00E-01,20,MEAN,5.705
5,1.00E-01,30,MEAN,5.705
5,1.00E-01,40,MEAN,5.705
5,1,5,MEAN,5.689
5,1,10,MEAN,5.701
5,1,15,MEAN,5.703
5,1,20,MEAN,5.704
5,1,30,MEAN,5.705
5,1,40,MEAN,5.705
5,2,5,MEAN,5.645
5,2,10,MEAN,5.689
5,2,15,MEAN,5.698
5,2,20,MEAN,5.701
5,2,30,MEAN,5.703
5,2,40,MEAN,5.704
5,3,5,MEAN,5.581
5,3,10,MEAN,5.67
5,3,15,MEAN,5.689
5,3,20,MEAN,5.695
5,3,30,MEAN,5.701
5,3,40,MEAN,5.702
5,4,5,MEAN,5.506
5,4,10,MEAN,5.644
5,4,15,MEAN,5.676
5,4,20,MEAN,5.688
5,4,30,MEAN,5.697
5,4,40,MEAN,5.7
5,5,5,MEAN,5.426
5,5,10,MEAN,5.613
5,5,15,MEAN,5.661
5,5,20,MEAN,5.679
5,5,30,MEAN,5.693
5,5,40,MEAN,5.698
5,6,5,MEAN,5.345
5,6,10,MEAN,5.578
5,6,15,MEAN,5.643
5,6,20,MEAN,5.668
5,6,30,MEAN,5.688
5,6,40,MEAN,5.695
5,7,5,MEAN,5.266
5,7,10,MEAN,5.541
5,7,15,MEAN,5.622
5,7,20,MEAN,5.656
5,7,30,MEAN,5.681
5,7,40,MEAN,5.691
5,8,5,MEAN,5.191
5,8,10,MEAN,5.501
5,8,15,MEAN,5.6
5,8,20,MEAN,5.641
5,8,30,MEAN,5.674
5,8,40,MEAN,5.687
5,9,5,MEAN,5.119
5,9,10,MEAN,5.46
5,9,15,MEAN,5.576
5,9,20,MEAN,5.626
5,9,30,MEAN,5.667
5,9,40,MEAN,5.682
5,10,5,MEAN,5.051
5,10,10,MEAN,5.418
5,10,15,MEAN,5.55
5,10,20,MEAN,5.609
5,10,30,MEAN,5.658
5,10,40,MEAN,5.677
5,11,5,MEAN,4.987
5,11,10,MEAN,5.377
5,11,15,MEAN,5.524
5,11,20,MEAN,5.591
5,11,30,MEAN,5.649
5,11,40,MEAN,5.671
5,12,5,MEAN,4.927
5,12,10,MEAN,5.335
5,12,15,MEAN,5.496
5,12,20,MEAN,5.573
5,12,30,MEAN,5.639
5,12,40,MEAN,5.665
5,14,5,MEAN,4.815
5,14,10,MEAN,5.254
5,14,15,MEAN,5.44
5,14,20,MEAN,5.533
5,14,30,MEAN,5.617
5,14,40,MEAN,5.651
5,16,5,MEAN,4.714
5,16,10,MEAN,5.176
5,16,15,MEAN,5.383
5,16,20,MEAN,5.491
5,16,30,MEAN,5.593
5,16,40,MEAN,5.636
5,18,5,MEAN,4.622
5,18,10,MEAN,5.101
5,18,15,MEAN,5.326
5,18,20,MEAN,5.448
5,18,30,MEAN,5.567
5,18,40,MEAN,5.619
5,20,5,MEAN,4.538
5,20,10,MEAN,5.03
5,20,15,MEAN,5.269
5,20,20,MEAN,5.404
5,20,30,MEAN,5.54
5,20,40,MEAN,5.601
5,22,5,MEAN,4.461
5,22,10,MEAN,4.963
5,22,15,MEAN,5.214
5,22,20,MEAN,5.36
5,22,30,MEAN,5.511
5,22,40,MEAN,5.582
5,25,5,MEAN,4.355
5,25,10,MEAN,4.868
5,25,15,MEAN,5.134
5,25,20,MEAN,5.294
5,25,30,MEAN,5.467
5,25,40,MEAN,5.551
5,28,5,MEAN,4.258
5,28,10,MEAN,4.781
5,28,15,MEAN,5.058
5,28,20,MEAN,5.229
5,28,30,MEAN,5.421
5,28,40,MEAN,5.518
5,32,5,MEAN,4.143
5,32,10,MEAN,4.673
5,32,15,MEAN,4.962
5,32,20,MEAN,5.145
5,32,30,MEAN,5.359
5,32,40,MEAN,5.472
5,35,5,MEAN,4.064
5,35,10,MEAN,4.599
5,35,15,MEAN,4.894
5,35,20,MEAN,5.084
5,35,30,MEAN,5.312
5,35,40,MEAN,5.436
5,40,5,MEAN,3.944
5,40,10,MEAN,4.484
5,40,15,MEAN,4.787
5,40,20,MEAN,4.988
5,40,30,MEAN,5.235
5,40,40,MEAN,5.376
5,45,5,MEAN,3.835
5,45,10,MEAN,4.38
5,45,15,MEAN,4.689
5,45,20,MEAN,4.896
5,45,30,MEAN,5.159
5,45,40,MEAN,5.314
5,50,5,MEAN,3.736
5,50,10,MEAN,4.284
5,50,15,MEAN,4.597
5,50,20,MEAN,4.81
5,50,30,MEAN,5.085
5,50,40,MEAN,5.253
5,56,5,MEAN,3.627
5,56,10,MEAN,4.178
5,56,15,MEAN,4.495
5,56,20,MEAN,4.713
5,56,30,MEAN,5
5,56,40,MEAN,5.179
5,63,5,MEAN,3.511
5,63,10,MEAN,4.064
5,63,15,MEAN,4.384
5,63,20,MEAN,4.607
5,63,30,MEAN,4.905
5,63,40,MEAN,5.096
5,71,5,MEAN,3.39
5,71,10,MEAN,3.945
5,71,15,MEAN,4.268
5,71,20,MEAN,4.494
5,71,30,MEAN,4.801
5,71,40,MEAN,5.003
5,79,5,MEAN,3.279
5,79,10,MEAN,3.835
5,79,15,MEAN,4.16
5,79,20,MEAN,4.389
5,79,30,MEAN,4.704
5,79,40,MEAN,4.913
5,89,5,MEAN,3.152
5,89,10,MEAN,3.708
5,89,15,MEAN,4.036
5,89,20,MEAN,4.267
5,89,30,MEAN,4.588
5,89,40,MEAN,4.806
5,100,5,MEAN,3.023
5,100,10,MEAN,3.58
5,100,15,MEAN,3.909
5,100,20,MEAN,4.143
5,100,30,MEAN,4.469
5,100,40,MEAN,4.693
5,112,5,MEAN,2.892
5,112,10,MEAN,3.451
5,112,15,MEAN,3.781
5,112,20,MEAN,4.016
5,112,30,MEAN,4.347
5,112,40,MEAN,4.577
5,126,5,MEAN,2.752
5,126,10,MEAN,3.311
5,126,15,MEAN,3.642
5,126,20,MEAN,3.878
5,126,30,MEAN,4.213
5,126,40,MEAN,4.448
5,141,5,MEAN,2.612
5,141,10,MEAN,3.171
5,141,15,MEAN,3.503
5,141,20,MEAN,3.741
5,141,30,MEAN,4.078
5,141,40,MEAN,4.317
5,158,5,MEAN,2.464
5,158,10,MEAN,3.024
5,158,15,MEAN,3.356
5,158,20,MEAN,3.595
5,158,30,MEAN,3.935
5,158,40,MEAN,4.177
5,178,5,MEAN,2.302
5,178,10,MEAN,2.862
5,178,15,MEAN,3.195
5,178,20,MEAN,3.434
5,178,30,MEAN,3.776
5,178,40,MEAN,4.022
5,200,5,MEAN,2.134
5,200,10,MEAN,2.695
5,200,15,MEAN,3.028
5,200,20,MEAN,3.268
5,200,30,MEAN,3.612
5,200,40,MEAN,3.86
5,224,5,MEAN,1.963
5,224,10,MEAN,2.523
5,224,15,MEAN,2.857
5,224,20,MEAN,3.098
5,224,30,MEAN,3.443
5,224,40,MEAN,3.693
5,250,5,MEAN,1.787
5,250,10,MEAN,2.348
5,250,15,MEAN,2.682
5,250,20,MEAN,2.923
5,250,30,MEAN,3.269
5,250,40,MEAN,3.52
5.1,1.00E-01,5,MEAN,5.795
5.1,1.00E-01,10,MEAN,5.795
5.1,1.00E-01,15,MEAN,5.795
5.1,1.00E-01,20,MEAN,5.795
5.1,1.00E-01,30,MEAN,5.795
5.1,1.00E-01,40,MEAN,5.795
5.1,1,5,MEAN,5.779
5.1,1,10,MEAN,5.791
5.1,1,15,MEAN,5.793
5.1,1,20,MEAN,5.794
5.1,1,30,MEAN,5.794
5.1,1,40,MEAN,5.795
5.1,2,5,MEAN,5.735
5.1,2,10,MEAN,5.779
5.1,2,15,MEAN,5.787
5.1,2,20,MEAN,5.791
5.1,2,30,MEAN,5.793
5.1,2,40,MEAN,5.794
5.1,3,5,MEAN,5.671
5.1,3,10,MEAN,5.759
5.1,3,15,MEAN,5.778
5.1,3,20,MEAN,5.785
5.1,3,30,MEAN,5.79
5.1,3,40,MEAN,5.792
5.1,4,5,MEAN,5.596
5.1,4,10,MEAN,5.734
5.1,4,15,MEAN,5.766
5.1,4,20,MEAN,5.778
5.1,4,30,MEAN,5.787
5.1,4,40,MEAN,5.79
5.1,5,5,MEAN,5.515
5.1,5,10,MEAN,5.703
5.1,5,15,MEAN,5.751
5.1,5,20,MEAN,5.769
5.1,5,30,MEAN,5.783
5.1,5,40,MEAN,5.788
5.1,6,5,MEAN,5.435
5.1,6,10,MEAN,5.668
5.1,6,15,MEAN,5.733
5.1,6,20,MEAN,5.758
5.1,6,30,MEAN,5.777
5.1,6,40,MEAN,5.785
5.1,7,5,MEAN,5.356
5.1,7,10,MEAN,5.631
5.1,7,15,MEAN,5.712
5.1,7,20,MEAN,5.745
5.1,7,30,MEAN,5.771
5.1,7,40,MEAN,5.781
5.1,8,5,MEAN,5.281
5.1,8,10,MEAN,5.591
5.1,8,15,MEAN,5.69
5.1,8,20,MEAN,5.731
5.1,8,30,MEAN,5.764
5.1,8,40,MEAN,5.777
5.1,9,5,MEAN,5.209
5.1,9,10,MEAN,5.55
5.1,9,15,MEAN,5.665
5.1,9,20,MEAN,5.716
5.1,9,30,MEAN,5.756
5.1,9,40,MEAN,5.772
5.1,10,5,MEAN,5.141
5.1,10,10,MEAN,5.508
5.1,10,15,MEAN,5.64
5.1,10,20,MEAN,5.699
5.1,10,30,MEAN,5.748
5.1,10,40,MEAN,5.767
5.1,11,5,MEAN,5.077
5.1,11,10,MEAN,5.467
5.1,11,15,MEAN,5.613
5.1,11,20,MEAN,5.681
5.1,11,30,MEAN,5.739
5.1,11,40,MEAN,5.761
5.1,12,5,MEAN,5.017
5.1,12,10,MEAN,5.425
5.1,12,15,MEAN,5.586
5.1,12,20,MEAN,5.663
5.1,12,30,MEAN,5.729
5.1,12,40,MEAN,5.755
5.1,14,5,MEAN,4.905
5.1,14,10,MEAN,5.344
5.1,14,15,MEAN,5.53
5.1,14,20,MEAN,5.623
5.1,14,30,MEAN,5.707
5.1,14,40,MEAN,5.741
5.1,16,5,MEAN,4.804
5.1,16,10,MEAN,5.265
5.1,16,15,MEAN,5.472
5.1,16,20,MEAN,5.581
5.1,16,30,MEAN,5.683
5.1,16,40,MEAN,5.726
5.1,18,5,MEAN,4.712
5.1,18,10,MEAN,5.191
5.1,18,15,MEAN,5.415
5.1,18,20,MEAN,5.538
5.1,18,30,MEAN,5.657
5.1,18,40,MEAN,5.709
5.1,20,5,MEAN,4.628
5.1,20,10,MEAN,5.12
5.1,20,15,MEAN,5.359
5.1,20,20,MEAN,5.494
5.1,20,30,MEAN,5.629
5.1,20,40,MEAN,5.691
5.1,22,5,MEAN,4.55
5.1,22,10,MEAN,5.053
5.1,22,15,MEAN,5.304
5.1,22,20,MEAN,5.45
5.1,22,30,MEAN,5.601
5.1,22,40,MEAN,5.672
5.1,25,5,MEAN,4.444
5.1,25,10,MEAN,4.958
5.1,25,15,MEAN,5.224
5.1,25,20,MEAN,5.384
5.1,25,30,MEAN,5.556
5.1,25,40,MEAN,5.641
5.1,28,5,MEAN,4.348
5.1,28,10,MEAN,4.871
5.1,28,15,MEAN,5.148
5.1,28,20,MEAN,5.319
5.1,28,30,MEAN,5.511
5.1,28,40,MEAN,5.608
5.1,32,5,MEAN,4.233
5.1,32,10,MEAN,4.763
5.1,32,15,MEAN,5.051
5.1,32,20,MEAN,5.235
5.1,32,30,MEAN,5.449
5.1,32,40,MEAN,5.562
5.1,35,5,MEAN,4.153
5.1,35,10,MEAN,4.689
5.1,35,15,MEAN,4.983
5.1,35,20,MEAN,5.174
5.1,35,30,MEAN,5.402
5.1,35,40,MEAN,5.526
5.1,40,5,MEAN,4.033
5.1,40,10,MEAN,4.574
5.1,40,15,MEAN,4.877
5.1,40,20,MEAN,5.077
5.1,40,30,MEAN,5.325
5.1,40,40,MEAN,5.465
5.1,45,5,MEAN,3.925
5.1,45,10,MEAN,4.47
5.1,45,15,MEAN,4.778
5.1,45,20,MEAN,4.986
5.1,45,30,MEAN,5.249
5.1,45,40,MEAN,5.404
5.1,50,5,MEAN,3.826
5.1,50,10,MEAN,4.374
5.1,50,15,MEAN,4.687
5.1,50,20,MEAN,4.9
5.1,50,30,MEAN,5.175
5.1,50,40,MEAN,5.342
5.1,56,5,MEAN,3.717
5.1,56,10,MEAN,4.267
5.1,56,15,MEAN,4.585
5.1,56,20,MEAN,4.803
5.1,56,30,MEAN,5.09
5.1,56,40,MEAN,5.269
5.1,63,5,MEAN,3.601
5.1,63,10,MEAN,4.154
5.1,63,15,MEAN,4.474
5.1,63,20,MEAN,4.697
5.1,63,30,MEAN,4.995
5.1,63,40,MEAN,5.186
5.1,71,5,MEAN,3.48
5.1,71,10,MEAN,4.034
5.1,71,15,MEAN,4.358
5.1,71,20,MEAN,4.584
5.1,71,30,MEAN,4.891
5.1,71,40,MEAN,5.093
5.1,79,5,MEAN,3.369
5.1,79,10,MEAN,3.925
5.1,79,15,MEAN,4.25
5.1,79,20,MEAN,4.479
5.1,79,30,MEAN,4.793
5.1,79,40,MEAN,5.003
5.1,89,5,MEAN,3.242
5.1,89,10,MEAN,3.798
5.1,89,15,MEAN,4.125
5.1,89,20,MEAN,4.357
5.1,89,30,MEAN,4.678
5.1,89,40,MEAN,4.896
5.1,100,5,MEAN,3.112
5.1,100,10,MEAN,3.67
5.1,100,15,MEAN,3.999
5.1,100,20,MEAN,4.232
5.1,100,30,MEAN,4.559
5.1,100,40,MEAN,4.783
5.1,112,5,MEAN,2.982
5.1,112,10,MEAN,3.541
5.1,112,15,MEAN,3.871
5.1,112,20,MEAN,4.106
5.1,112,30,MEAN,4.436
5.1,112,40,MEAN,4.667
5.1,126,5,MEAN,2.842
5.1,126,10,MEAN,3.401
5.1,126,15,MEAN,3.732
5.1,126,20,MEAN,3.968
5.1,126,30,MEAN,4.303
5.1,126,40,MEAN,4.538
5.1,141,5,MEAN,2.702
5.1,141,10,MEAN,3.261
5.1,141,15,MEAN,3.593
5.1,141,20,MEAN,3.831
5.1,141,30,MEAN,4.168
5.1,141,40,MEAN,4.407
5.1,158,5,MEAN,2.554
5.1,158,10,MEAN,3.114
5.1,158,15,MEAN,3.446
5.1,158,20,MEAN,3.685
5.1,158,30,MEAN,4.025
5.1,158,40,MEAN,4.267
5.1,178,5,MEAN,2.391
5.1,178,10,MEAN,2.951
5.1,178,15,MEAN,3.285
5.1,178,20,MEAN,3.524
5.1,178,30,MEAN,3.866
5.1,178,40,MEAN,4.112
5.1,200,5,MEAN,2.224
5.1,200,10,MEAN,2.784
5.1,200,15,MEAN,3.118
5.1,200,20,MEAN,3.358
5.1,200,30,MEAN,3.702
5.1,200,40,MEAN,3.95
5.1,224,5,MEAN,2.052
5.1,224,10,MEAN,2.613
5.1,224,15,MEAN,2.947
5.1,224,20,MEAN,3.187
5.1,224,30,MEAN,3.533
5.1,224,40,MEAN,3.783
5.1,250,5,MEAN,1.877
5.1,250,10,MEAN,2.437
5.1,250,15,MEAN,2.771
5.1,250,20,MEAN,3.012
5.1,250,30,MEAN,3.359
5.1,250,40,MEAN,3.61
5.2,1.00E-01,5,MEAN,5.884
5.2,1.00E-01,10,MEAN,5.885
5.2,1.00E-01,15,MEAN,5.885
5.2,1.00E-01,20,MEAN,5.885
5.2,1.00E-01,30,MEAN,5.885
5.2,1.00E-01,40,MEAN,5.885
5.2,1,5,MEAN,5.869
5.2,1,10,MEAN,5.881
5.2,1,15,MEAN,5.883
5.2,1,20,MEAN,5.884
5.2,1,30,MEAN,5.884
