rup_mag,rup_rake,dist_rjb,site_vs30,result_type,damping,0.04,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.25,1.5,1.75,2,2.5,2.75,4,pga,pgv
5.5000000E+00,0.0000000E+00,1.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689480E-01,7.4603472E-01,7.5525117E-01,7.3222448E-01,7.3682680E-01,7.0919412E-01,6.6775349E-01,6.5162932E-01,6.4242430E-01,6.5393075E-01,6.5162831E-01,6.5163102E-01,6.5163217E-01,6.5393396E-01,6.5853902E-01,6.5163181E-01,6.6774597E-01,6.9768279E-01,7.0228550E-01,7.0919177E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775245E-01,6.2169749E-01
6.0000000E+00,0.0000000E+00,1.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689726E-01,7.4603760E-01,7.5524740E-01,7.3222425E-01,7.3682543E-01,7.0919570E-01,6.6774797E-01,6.5163226E-01,6.4242459E-01,6.5393194E-01,6.5163144E-01,6.5163112E-01,6.5163326E-01,6.5393140E-01,6.5853914E-01,6.5163516E-01,6.6774832E-01,6.9768213E-01,7.0228540E-01,7.0919620E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774953E-01,6.2170219E-01
6.5000000E+00,0.0000000E+00,1.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689546E-01,7.4604056E-01,7.5524778E-01,7.3222316E-01,7.3682823E-01,7.0919573E-01,6.6775085E-01,6.5163302E-01,6.4242018E-01,6.5393400E-01,6.5163009E-01,6.5163216E-01,6.5162978E-01,6.5393186E-01,6.5853768E-01,6.5163623E-01,6.6774886E-01,6.9768463E-01,7.0228758E-01,7.0919792E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774829E-01,6.2169443E-01
6.9000000E+00,0.0000000E+00,1.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689287E-01,7.4603797E-01,7.5524858E-01,7.3222229E-01,7.3682358E-01,7.0919728E-01,6.6775035E-01,6.5163202E-01,6.4242144E-01,6.5393469E-01,6.5163087E-01,6.5163230E-01,6.5163203E-01,6.5393450E-01,6.5853844E-01,6.5163178E-01,6.6774969E-01,6.9768496E-01,7.0228773E-01,7.0919767E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774660E-01,6.2170168E-01
4.0000000E+00,0.0000000E+00,3.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689559E-01,7.4603806E-01,7.5524717E-01,7.3222211E-01,7.3683006E-01,7.0919640E-01,6.6774976E-01,6.5162880E-01,6.4241845E-01,6.5393811E-01,6.5162960E-01,6.5162531E-01,6.5162994E-01,6.5393454E-01,6.5853850E-01,6.5163220E-01,6.6774859E-01,6.9767808E-01,7.0229089E-01,7.0919264E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774969E-01,6.2169366E-01
4.5000000E+00,0.0000000E+00,3.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689407E-01,7.4603701E-01,7.5524802E-01,7.3222038E-01,7.3682492E-01,7.0919656E-01,6.6774906E-01,6.5163089E-01,6.4242076E-01,6.5393298E-01,6.5163339E-01,6.5163036E-01,6.5163496E-01,6.5393179E-01,6.5854068E-01,6.5163172E-01,6.6774881E-01,6.9768382E-01,7.0228715E-01,7.0919761E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774952E-01,6.2169733E-01
5.0000000E+00,0.0000000E+00,3.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0688959E-01,7.4604013E-01,7.5524775E-01,7.3222429E-01,7.3682485E-01,7.0919419E-01,6.6775191E-01,6.5163173E-01,6.4242603E-01,6.5393572E-01,6.5163051E-01,6.5163212E-01,6.5163038E-01,6.5393293E-01,6.5853805E-01,6.5163268E-01,6.6774676E-01,6.9768743E-01,7.0228974E-01,7.0919624E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6775091E-01,6.2169707E-01
5.5000000E+00,0.0000000E+00,3.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689106E-01,7.4603992E-01,7.5524893E-01,7.3222181E-01,7.3682768E-01,7.0919669E-01,6.6775094E-01,6.5163393E-01,6.4241911E-01,6.5393423E-01,6.5162937E-01,6.5163025E-01,6.5163372E-01,6.5393108E-01,6.5854130E-01,6.5162962E-01,6.6775122E-01,6.9768210E-01,7.0228702E-01,7.0919755E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774606E-01,6.2169553E-01
6.0000000E+00,0.0000000E+00,3.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689370E-01,7.4603883E-01,7.5524843E-01,7.3222244E-01,7.3682530E-01,7.0919852E-01,6.6774908E-01,6.5162731E-01,6.4241703E-01,6.5393311E-01,6.5163198E-01,6.5163287E-01,6.5163378E-01,6.5393239E-01,6.5853951E-01,6.5162972E-01,6.6774704E-01,6.9768229E-01,7.0229160E-01,7.0919461E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774885E-01,6.2169946E-01
6.5000000E+00,0.0000000E+00,3.0000000E+01,8.0000000E+02,INTRA_EVENT_STDDEV,5.0000000E+00,7.0689766E-01,7.4603547E-01,7.5524972E-01,7.3221918E-01,7.3683046E-01,7.0919431E-01,6.6775234E-01,6.5163252E-01,6.4242063E-01,6.5392840E-01,6.5162678E-01,6.5162904E-01,6.5162929E-01,6.5393435E-01,6.5854298E-01,6.5163552E-01,6.6774971E-01,6.9768240E-01,7.0228910E-01,7.0919468E-01,7.1149879E-01,7.1380138E-01,6.9077553E-01,6.6774978E-01,6.2169729E-01
