rup_mag,dist_rrup,result_type,damping,pga,0.1,0.2,0.3,0.5,1.0,2.0,5.0
5,1,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,5,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,10,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,20,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,50,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,100,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,200,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,500,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
5,1000,TOTAL_STDDEV,5,0.62927910,0.68639786,0.68136576,0.67981751,0.67890327,0.69226707,0.71289587,0.74769322,
6,1,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,5,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,10,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,20,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,50,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,100,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,200,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,500,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
6,1000,TOTAL_STDDEV,5,0.58095855,0.63453263,0.63431835,0.63758645,0.64313662,0.66518313,0.69120433,0.73188322,
7,1,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,5,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,10,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,20,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,50,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,100,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,200,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,500,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
7,1000,TOTAL_STDDEV,5,0.53266516,0.58269534,0.58728065,0.59536361,0.60737721,0.63810574,0.66951613,0.71607664,
8,1,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,5,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,10,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,20,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,50,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,100,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,200,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,500,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
8,1000,TOTAL_STDDEV,5,0.51670711,0.56673533,0.57128346,0.57936748,0.59138686,0.62213473,0.65353513,0.70013770,
